source,target,stds,path,dis,sl,weight
001339db8ced4cf78829ebe8b145449d,001339db8ced4cf78829ebe8b145449d,32,214,0,1,2.86421348
001339db8ced4cf78829ebe8b145449d,452745e0366e42ae81561bfddebcc6c3,31,32,1,0,1.10597288
001339db8ced4cf78829ebe8b145449d,4660ff2089114e8db82ceb26a4f329e3,1,1,2,0,0.806492338
001339db8ced4cf78829ebe8b145449d,901e92500aea43c79f19f1b279050668,1,1,-1,0,0.806492338
00ae5f0c51874a73a41ebea838d95682,00ae5f0c51874a73a41ebea838d95682,15,30,0,1,1.086651555
00ae5f0c51874a73a41ebea838d95682,08111f75e22d409998cf8b85bd431f0a,6,8,7,0,0.874116977
00ae5f0c51874a73a41ebea838d95682,2d4e0ab0ef3b4d73b82c72d4621a7579,1,1,5,0,0.806492338
00ae5f0c51874a73a41ebea838d95682,37319e88176d4aefa91d7a9980dbae91,2,2,11,0,0.816153001
00ae5f0c51874a73a41ebea838d95682,4280927ec4d643238aa49c32f9e06c6c,5,6,8,0,0.854795651
00ae5f0c51874a73a41ebea838d95682,6111116566fc4fd9abba409322bea245,2,2,3,0,0.816153001
00ae5f0c51874a73a41ebea838d95682,67a089198fcb4e1c8f2385786c2b296f,2,2,-62,0,0.816153001
00ae5f0c51874a73a41ebea838d95682,73039f8c1eb9409cb4caee2cf968001e,6,12,-1,0,0.912759627
00ae5f0c51874a73a41ebea838d95682,8bdebf492ebd4e62b0d522e8ab5e5197,1,1,6,0,0.806492338
00ae5f0c51874a73a41ebea838d95682,a81b2235cb9c499eb9ea8ee0a8dd9725,2,2,4,0,0.816153001
00ae5f0c51874a73a41ebea838d95682,b1cd0e7dc3ad4a8eb91a4bfdbeb025b0,1,1,17,0,0.806492338
00ae5f0c51874a73a41ebea838d95682,d391c8b6e56a43a7b654e9dee02d904b,32,88,2,0,1.646969987
00ae5f0c51874a73a41ebea838d95682,d646286c8051419bbc2e31dd1db55ca8,1,1,-34,0,0.806492338
00ae5f0c51874a73a41ebea838d95682,e20db35ced8544ddac5bc3839145e463,19,37,-10,0,1.154276193
00f61990949545828dd12f1303d47504,00f61990949545828dd12f1303d47504,17,30,0,1,1.086651555
00f61990949545828dd12f1303d47504,0c7262dff33c4087bc660ccf40f92f9c,4,5,-87,0,0.845134989
00f61990949545828dd12f1303d47504,1ebf23f9d994469a85206e4c7b1bf5f5,1,1,-11,0,0.806492338
00f61990949545828dd12f1303d47504,2ae94c0cea4d480a9d5dca8fb1d7b542,6,7,-14,0,0.864456314
00f61990949545828dd12f1303d47504,3434c10e561d488a914e0f7d71907abd,1,1,49,0,0.806492338
00f61990949545828dd12f1303d47504,6e83e23f56544a19b94067c1c558d9c0,23,29,-9,0,1.076990892
00f61990949545828dd12f1303d47504,78adeee1fa2c4fe0bc73f7bca9fcee86,1,1,-96,0,0.806492338
00f61990949545828dd12f1303d47504,7aa76d3e993840d8805f097cbdbcd44b,1,1,5,0,0.806492338
00f61990949545828dd12f1303d47504,94cecc3f1e7d484b8e068e79241dfd73,1,1,25,0,0.806492338
00f61990949545828dd12f1303d47504,d546341988904f069cfa86b21457d9d9,16,35,-5,0,1.134954868
00f61990949545828dd12f1303d47504,d989ebcfc12a4b669f0100dc1aa14f1e,7,11,-1,0,0.903098964
00f61990949545828dd12f1303d47504,ead7bb4b64e247d2ae632ab8a296b091,30,30,2,0,1.086651555
00f61990949545828dd12f1303d47504,fa235f0f364d47e4ae1c87f47bf8e6ba,2,2,-4,0,0.816153001
017d7ca8e0394b91aaadc9574df2202c,07b44a7a51e94c78b411c753fc39dab0,1,1,-4,0,0.806492338
017d7ca8e0394b91aaadc9574df2202c,0c7262dff33c4087bc660ccf40f92f9c,1,1,-24,0,0.806492338
017d7ca8e0394b91aaadc9574df2202c,1c6721b1f63f4d30ba7746ea8af02a52,1,1,28,0,0.806492338
017d7ca8e0394b91aaadc9574df2202c,334c2344009840079b1d0e1b7ce3d5a7,1,1,12,0,0.806492338
017d7ca8e0394b91aaadc9574df2202c,54e8e9f0ea3e45c4bf3b8ac799ee31b1,32,32,7,0,1.10597288
017d7ca8e0394b91aaadc9574df2202c,a6c21bd8b95249c7972820a7a7d76aff,3,3,9,0,0.825813663
017d7ca8e0394b91aaadc9574df2202c,ab11d94c6c8948ea90b88f19d2cd502b,2,2,-3,0,0.816153001
017d7ca8e0394b91aaadc9574df2202c,bb329d880ab54120adaf203a693bb203,10,12,10,0,0.912759627
017d7ca8e0394b91aaadc9574df2202c,c8e371568a0c4391b25796ae4e91952e,4,4,-7,0,0.835474326
017d7ca8e0394b91aaadc9574df2202c,d7f13c8d63ec4e2aa673fbb9cf9c6933,1,1,13,0,0.806492338
017d7ca8e0394b91aaadc9574df2202c,f9170dd6bc6442b4acd832747609b09a,18,35,6,0,1.134954868
01b2051f8941460d89945e3b02d1ce78,09400e101c5d4b439cf9a26b03aae558,1,1,-7,0,0.806492338
