source,target,stds,path,dis,sl,weight
00ae5f0c51874a73a41ebea838d95682,00ae5f0c51874a73a41ebea838d95682,11,20,0,1,0.730635964
00ae5f0c51874a73a41ebea838d95682,08111f75e22d409998cf8b85bd431f0a,2,3,7,0,0.680478928
00ae5f0c51874a73a41ebea838d95682,37319e88176d4aefa91d7a9980dbae91,1,1,11,0,0.705557446
00ae5f0c51874a73a41ebea838d95682,4280927ec4d643238aa49c32f9e06c6c,2,2,8,0,0.680478928
00ae5f0c51874a73a41ebea838d95682,62bff51286ef4f348717a3cf6fe2318f,1,1,19,0,0.705557446
00ae5f0c51874a73a41ebea838d95682,73039f8c1eb9409cb4caee2cf968001e,2,2,-1,0,0.680478928
00ae5f0c51874a73a41ebea838d95682,a9ae0a3c070d455bb4369a8996313336,1,1,13,0,1.80901224
00ae5f0c51874a73a41ebea838d95682,d391c8b6e56a43a7b654e9dee02d904b,24,46,2,0,1.232206325
00ae5f0c51874a73a41ebea838d95682,e20db35ced8544ddac5bc3839145e463,16,23,-10,0,0.730635964
00f61990949545828dd12f1303d47504,00f61990949545828dd12f1303d47504,2,3,0,1,0.705557446
00f61990949545828dd12f1303d47504,6e83e23f56544a19b94067c1c558d9c0,2,2,-9,0,0.730635964
00f61990949545828dd12f1303d47504,d546341988904f069cfa86b21457d9d9,1,3,-5,0,0.730635964
00f61990949545828dd12f1303d47504,ead7bb4b64e247d2ae632ab8a296b091,3,3,2,0,0.680478928
017d7ca8e0394b91aaadc9574df2202c,334c2344009840079b1d0e1b7ce3d5a7,1,1,12,0,0.906185591
017d7ca8e0394b91aaadc9574df2202c,54e8e9f0ea3e45c4bf3b8ac799ee31b1,10,10,7,0,0.705557446
017d7ca8e0394b91aaadc9574df2202c,f9170dd6bc6442b4acd832747609b09a,2,2,6,0,0.780793
01b2051f8941460d89945e3b02d1ce78,91125ca626c5470eb145501f8c37f8db,5,5,3,0,0.680478928
01b2051f8941460d89945e3b02d1ce78,be502a7a43c44bf7b682698de79d9369,1,1,-3,0,0.705557446
01b2051f8941460d89945e3b02d1ce78,d7f13c8d63ec4e2aa673fbb9cf9c6933,2,2,-11,0,0.680478928
02b3a1bead9244c1ba2f857c7da8f82a,02b3a1bead9244c1ba2f857c7da8f82a,1,1,0,1,0.680478928
02b3a1bead9244c1ba2f857c7da8f82a,6a5f020451db426dacba9e2ea3fcc62a,1,1,2,0,2.109954456
0680571d4698477995e41842c36a54b2,0680571d4698477995e41842c36a54b2,45,58,0,1,0.755714482
0680571d4698477995e41842c36a54b2,56586aa865414f538729c7f7735d2bc6,4,4,2,0,0.705557446
0680571d4698477995e41842c36a54b2,66b5e16f4f75454fb5b8172079f0fa83,2,2,-1,0,1.658541132
0680571d4698477995e41842c36a54b2,9112f2bffece48e08c6d2287be204085,39,40,1,0,0.705557446
0680571d4698477995e41842c36a54b2,dd5cf0b9fe4c4f1d8f5ff8e4c04879cb,2,2,-3,0,0.755714482
0680571d4698477995e41842c36a54b2,e2911e79efc2420eac45d9f671463d4b,4,4,-8,0,0.680478928
