source,target,stds,path,dis,sl,weight
001339db8ced4cf78829ebe8b145449d,001339db8ced4cf78829ebe8b145449d,32,216,0,1,1.138716174
001339db8ced4cf78829ebe8b145449d,452745e0366e42ae81561bfddebcc6c3,32,33,1,0,1.458776901
00ae5f0c51874a73a41ebea838d95682,00ae5f0c51874a73a41ebea838d95682,21,63,0,1,0.818655448
00ae5f0c51874a73a41ebea838d95682,08111f75e22d409998cf8b85bd431f0a,3,3,7,0,0.797318066
00ae5f0c51874a73a41ebea838d95682,2d4e0ab0ef3b4d73b82c72d4621a7579,1,1,5,0,0.818655448
00ae5f0c51874a73a41ebea838d95682,4280927ec4d643238aa49c32f9e06c6c,3,3,8,0,0.807986757
00ae5f0c51874a73a41ebea838d95682,6111116566fc4fd9abba409322bea245,2,2,3,0,0.797318066
00ae5f0c51874a73a41ebea838d95682,67a089198fcb4e1c8f2385786c2b296f,1,1,-62,0,0.85066152
00ae5f0c51874a73a41ebea838d95682,73039f8c1eb9409cb4caee2cf968001e,6,6,-1,0,0.797318066
00ae5f0c51874a73a41ebea838d95682,8d7e0b55cf9849cda222a0f2440cec55,1,1,217,0,0.797318066
00ae5f0c51874a73a41ebea838d95682,a81b2235cb9c499eb9ea8ee0a8dd9725,1,1,4,0,0.807986757
00ae5f0c51874a73a41ebea838d95682,ae5ac430ea254e708a6f5deaaf7464ae,2,2,-17,0,1.629475955
00ae5f0c51874a73a41ebea838d95682,d391c8b6e56a43a7b654e9dee02d904b,34,79,2,0,1.08537272
00ae5f0c51874a73a41ebea838d95682,e20db35ced8544ddac5bc3839145e463,22,28,-10,0,1.224065701
00f61990949545828dd12f1303d47504,00f61990949545828dd12f1303d47504,17,41,0,1,0.839992829
00f61990949545828dd12f1303d47504,0c7262dff33c4087bc660ccf40f92f9c,4,5,-87,0,0.807986757
00f61990949545828dd12f1303d47504,0d987bed3ffa4ed0b9a2e62e97b7b30f,2,2,16,0,0.797318066
00f61990949545828dd12f1303d47504,1c6721b1f63f4d30ba7746ea8af02a52,1,1,-35,0,0.807986757
00f61990949545828dd12f1303d47504,1ebf23f9d994469a85206e4c7b1bf5f5,2,2,-11,0,0.797318066
00f61990949545828dd12f1303d47504,2ae94c0cea4d480a9d5dca8fb1d7b542,1,1,-14,0,0.818655448
00f61990949545828dd12f1303d47504,41b0048dde734bb280bac6116baa8e27,3,3,3,0,0.797318066
00f61990949545828dd12f1303d47504,4a29443515bb404cb8924e1c60a63b73,1,1,29,0,0.797318066
00f61990949545828dd12f1303d47504,66baf19b6b904b70922329068c63746d,1,1,120,0,1.149384865
00f61990949545828dd12f1303d47504,6e83e23f56544a19b94067c1c558d9c0,22,34,-9,0,0.797318066
00f61990949545828dd12f1303d47504,7aa76d3e993840d8805f097cbdbcd44b,1,1,5,0,0.797318066
00f61990949545828dd12f1303d47504,b41c5a094a604ee0915327da5cc0beb7,1,1,4,0,1.010691884
00f61990949545828dd12f1303d47504,d546341988904f069cfa86b21457d9d9,15,21,-5,0,0.797318066
00f61990949545828dd12f1303d47504,d6d02b6ef04e4f17805504500b8ce441,1,1,119,0,0.85066152
00f61990949545828dd12f1303d47504,d989ebcfc12a4b669f0100dc1aa14f1e,6,6,-1,0,1.08537272
00f61990949545828dd12f1303d47504,ead7bb4b64e247d2ae632ab8a296b091,28,28,2,0,0.797318066
00f61990949545828dd12f1303d47504,fab84b4fab5940efb4ea868ef8d09396,1,1,28,0,0.818655448
017d7ca8e0394b91aaadc9574df2202c,017d7ca8e0394b91aaadc9574df2202c,2,3,0,1,0.807986757
017d7ca8e0394b91aaadc9574df2202c,07b44a7a51e94c78b411c753fc39dab0,2,2,-4,0,0.797318066
017d7ca8e0394b91aaadc9574df2202c,0c7262dff33c4087bc660ccf40f92f9c,1,1,-24,0,0.797318066
017d7ca8e0394b91aaadc9574df2202c,1c6721b1f63f4d30ba7746ea8af02a52,1,1,28,0,0.818655448
017d7ca8e0394b91aaadc9574df2202c,334c2344009840079b1d0e1b7ce3d5a7,3,3,12,0,1.160053556
017d7ca8e0394b91aaadc9574df2202c,54e8e9f0ea3e45c4bf3b8ac799ee31b1,34,35,7,0,0.861330211
017d7ca8e0394b91aaadc9574df2202c,6cd2dcaac46847d4a0bc53f296d90375,7,7,1,0,0.797318066
017d7ca8e0394b91aaadc9574df2202c,7d932b23e1c84326ae5aa4d3c0d813d1,1,1,-5,0,0.797318066
017d7ca8e0394b91aaadc9574df2202c,a6c21bd8b95249c7972820a7a7d76aff,1,1,9,0,0.861330211
017d7ca8e0394b91aaadc9574df2202c,ab11d94c6c8948ea90b88f19d2cd502b,5,7,-3,0,0.829324139
