cluster id,user id
7,3185286
0,3198738
6,4396150
1,5638709
6,6258725
3,7542749
1,8685800
2,10682767
2,11209053
2,11381737
5,11382474
0,11385589
0,11405163
2,11407214
2,11615808
2,11686401
2,11764856
2,11776687
2,11817705
2,11863087
2,11888112
4,11899953
2,11913213
2,11932916
2,11969892
6,13831471
1,14092396
1,15044247
1,15603897
2,15604417
1,15719564
4,15916291
0,16010095
0,17456436
2,18461474
4,18524205
2,18922232
2,19103096
5,19556365
1,19558289
2,20162872
3,20260339
1,20387421
2,20722395
1,20757153
2,21235938
0,21937630
3,22071696
1,22136774
1,22298983
4,22368716
4,22850074
0,22850075
3,22850084
0,22850106
2,22850109
7,22850121
1,22850136
0,22850177
2,22850235
1,22850298
4,22850355
1,22850502
2,22850531
3,22850542
3,22850590
2,22850595
0,22850817
2,22850911
2,22850958
1,22851025
2,22851258
1,22851296
1,22851301
2,22851445
3,22851474
2,22851525
0,22851593
0,22851664
1,22851681
2,22851714
1,22851736
0,22851744
2,22851757
0,22851777
1,22851876
4,22851902
4,22851949
2,22852086
3,22852517
0,22852637
3,22852678
0,22852816
1,22852834
4,22852860
2,22853320
0,22853418
2,22853513
1,22853622
4,22853626
3,22853670
4,22853789
1,22853821
4,22854375
2,22854388
1,22854389
4,22854502
0,22854564
2,22854604
2,22854633
2,22854679
2,22854891
3,22854917
2,22854969
7,22855013
0,22855139
4,22855176
2,22855182
2,22855186
7,22855232
4,22855361
6,22855366
0,22855392
4,22855438
4,22855491
2,22855511
1,22855575
2,22855577
2,22855588
2,22855678
4,22855679
1,22855683
1,22855693
2,22855757
3,22855791
2,22856019
3,22856027
2,22856039
2,22856073
0,22856155
4,22856177
1,22856184
2,22856213
5,22856220
7,22856227
2,22856228
2,22856237
7,22856273
2,22856294
4,22856350
5,22856354
7,22856366
3,22856446
2,22856466
2,22856473
2,22856497
4,22856528
7,22856572
5,22856578
4,22856637
2,22856730
0,22856815
4,22856849
2,22856931
2,22857042
0,22857180
3,22857219
2,22857301
4,22857335
2,22857398
2,22857549
1,22857573
3,22857661
0,22857747
1,22857837
2,22857843
2,22858105
2,22858192
1,22858690
2,22859033
3,22859250
0,22859334
1,22860074
3,22860165
0,22860435
2,22860715
4,22862565
6,22866133
3,22877758
5,22878634
1,22880621
0,22882512
2,22883218
2,22883254
2,22884496
2,22884602
1,22884842
2,22885048
2,22885323
4,22886094
2,22886186
1,22886492
0,22886652
2,22886946
2,22887025
0,22887498
1,22887794
6,22888374
2,22889201
2,22889244
3,22889675
1,22890823
2,22890827
4,22891963
3,22899445
0,22899628
2,22900204
1,22900214
0,22900437
2,22900463
3,22900468
5,22900626
1,22900813
2,22900977
4,22901385
1,22901585
3,22901783
1,22901966
4,22902417
2,22902623
1,22903543
3,22905304
1,22906796
2,22908148
1,22909863
1,22913375
2,22916934
2,22924037
3,22928179
4,22930920
1,23023961
