id,x,y
b613861cecf84ffcab01afb23f660475,-882.02423f,2054.1257f
e2911e79efc2420eac45d9f671463d4b,-758.68823f,2250.8474f
519d1b8c59404d67b54e96c5c8a830b2,-902.5562f,2516.3157f
531db53f81f646edb0cdcfe0085b03b7,-943.9201f,2620.5632f
4f5f94b2f95141e0a9d53a61da2276da,-963.7683f,2726.7637f
6d541c89590949f99af293c4f2333f67,-938.30414f,2832.7026f
dd5cf0b9fe4c4f1d8f5ff8e4c04879cb,-854.4911f,2909.4714f
f96261861edc426abe2248be4f0a709a,-735.36957f,2890.4758f
66b5e16f4f75454fb5b8172079f0fa83,-662.53107f,2803.362f
0680571d4698477995e41842c36a54b2,-636.71423f,2694.941f
9112f2bffece48e08c6d2287be204085,-636.78925f,2572.013f
56586aa865414f538729c7f7735d2bc6,-530.782f,2068.7922f
b7f2b31585d94eb3bf86376714aa7070,-411.85645f,2177.3916f
3f1c815879794b929260d224becaff7e,-289.77197f,2154.0527f
81c864a886d54a6b8ff85f7d736f4f95,-264.0443f,2040.4062f
eb2a0eb537344a9e891c761662e400b6,-158.67128f,1910.0199f
5c5ceeee4562457ba6d41515aeebfbb1,-342.94745f,1975.0068f
9afd71a5298d4333b6849dfce1b9422c,-462.9938f,1661.4784f
daf8890a3c354459b8a962529aceb072,-699.2249f,1571.3026f
b7719e26494940efa49512aedd0aac79,-390.83884f,1127.1227f
a49d1bb4328949299686242fd0be5584,-240.51755f,1250.1812f
d4c3b003e8274e429d2fa688d73fde6d,-494.42987f,1303.4738f
b3323dfcc2d246d599e1c43b6be7751c,-884.5601f,1250.509f
d4f45188d3c84a02ba08454e6403a818,-376.77124f,1319.816f
a8f52a1637e44afd96e621bf9efb473f,-879.8314f,50.034958f
5bc03c8f16354d04bd51f5bb93559ad3,-493.14594f,1423.5538f
a23ae40d7a9e4ee4828cc06415a3218c,29.82773f,760.49097f
afbf7250b99d47bea07172749483ca97,-359.86566f,937.4222f
4e51676dc72045d99c19b9fa7b22f8bc,-355.377f,754.9117f
78ff5a07ecb5453ca82361aabca7c5ba,940.52094f,-836.07135f
51970cfa30e643e894e66ae85c8024cc,-310.136f,666.89703f
c9c52446b6294aa5a9c2abaed536c37e,-526.22876f,755.1157f
0c253dd0ca8e4fc3893a27d753757ef5,-454.7823f,1017.62665f
c33c17be71ae4d588da7369472e5bb1b,-406.7097f,565.7859f
93679be414554a11b1893002f2229a93,-534.9566f,524.1879f
7040a13096d746ac84b8fac8d9752058,-647.9163f,513.15f
9a0dc646f934470daf08c4b56ccf73db,-760.65265f,529.37463f
fc0e049d56024bc9a02c9a9c435c3df7,-889.0196f,563.16693f
67a089198fcb4e1c8f2385786c2b296f,-1344.4308f,615.0425f
64d48c6c9c7940639a932219a6c87198,-1236.0428f,831.5842f
b534b89233134e30a9b5645138bfa9ee,-1702.3512f,1316.9302f
fc5d3a81023c41d8ab70b19d4c5c50eb,-1857.6392f,1688.6023f
296fbfa7fce5408484f55d759d80d7b7,-1163.4855f,1381.4379f
0e37b720d23b4e7f8b313e79313fd107,-1493.5278f,1223.4491f
6875d67fdd5f48168b62719df449bebd,-1506.9172f,1317.0549f
d9c8d8c444a64dadbbb508652c721e17,-1568.3347f,1813.6472f
6e13d61a7bdb44bca949c9f86fab3be5,-1621.8794f,1535.1986f
7ddaf94446db4e3d8f70d0ed3883700d,-393.51212f,-1064.7415f
195f78799f984cc2b06c48dfe36be751,-1580.308f,1678.87f
f924752d8a1149668870b1e7698486f7,-1728.9265f,2292.8818f
d0c74f735e024943943e40333d6d337f,-1571.8699f,1965.6831f
2b160a91c44d44c89ba74b6b07b25629,1099.5453f,-454.47833f
983f8ff320594b279a7f4a6fe132f9c5,-1492.955f,2123.5615f
35adfa5d923046aebabfefd98f35ff05,-1462.6436f,2238.7554f
b6f8a98476224da1b40e555ececc7ed8,-1503.2716f,2346.391f
86e22cb5fe0e4b47a9489ecddf7ed78f,-1603.4957f,2375.458f
12aa6e1672ac4e7aa6449a7a8609cd72,-2116.4795f,2144.7341f
