id,x,y
a1f2f12debe5432fb7a70bcd12bacfb9,-1880.6107f,2432.7615f
78f30e4dcac84e3cbea8b2cc6e0d62b3,-1942.2825f,2249.299f
309ccf3cc4fe429d9bfbaef53d3fa479,-2147.3142f,1767.7023f
4c943503763e4e349906eea3ed3c8e86,-2175.713f,1905.6139f
bee9f506f4a845b0bc68b6b1caee58a2,574.2684f,352.04904f
bc42d26810654ea9a1df1efe1e58c7d5,-2096.5308f,1996.4136f
a0a418b8540d479fa6e0f653b701da8b,-2233.1804f,2025.8232f
7af822066add4e7f8e007e4eee31a8bf,-1988.336f,1705.4803f
0c9dea3b3a84482fbc9ce8487ef5ae94,-461.78482f,975.55457f
d646286c8051419bbc2e31dd1db55ca8,-2199.85f,1017.7771f
5ae019b6b8404464a9b33b495b971f1d,254.88158f,215.65681f
b78502985aa44be295c7f910dbf6d461,-1229.0734f,-472.09467f
12c07ec131f6403eaff4fe6e306f3630,125.90709f,174.69656f
267f883678b24aed855fde42524975d9,-2346.1875f,1028.8207f
88fff56d0342490dbef9040750a20f6c,-2397.8296f,1091.7809f
adb17b12b66c4a49a85fd34322f7df70,-2334.0571f,1139.9713f
140d5b27b8574befad82c0a013b59dfa,-2701.6414f,1109.811f
a2becd407db34b189200a32546d9d569,-2435.7585f,1228.5718f
190fc0dbe34c41668fe10597f5802ed4,-1215.4374f,-564.4239f
58c22b011d0f4c2ea6d13615edbb9eeb,-2575.0015f,1321.5616f
dd76e1861dc9461c830888729d091ee0,-2689.5078f,1372.6049f
cd1d828f1a694b87913a7ea66c23803e,-2809.0105f,1375.3275f
9176a3c2b4d2465fa8b0c67096c2a97e,-2886.5457f,1277.8954f
f8ec6445f7194e25b9101d4fbcb07a18,-2813.8513f,1177.7775f
d18a9ea32855445f8736581f5cb119ce,-2672.947f,993.60547f
38376f961ebc414db8f3b8f244f6d5ed,-1167.815f,-628.5986f
ae5ac430ea254e708a6f5deaaf7464ae,-2483.2065f,801.575f
f564483cbd7a407681aa2fcca518cf5f,-2705.1719f,880.7163f
18fd01350bd5434ca636d59a599d768a,-2619.1782f,783.3771f
42fb58708eaf4e5daa82bfca61b6f5fd,-2575.7954f,1569.3362f
c681290961c94c4caf23b529d1ae6b9a,-2299.2847f,696.8638f
515683b5ec554c5b816324fc98691834,561.99176f,302.3471f
6a9f0ef185fb47f0937e29daa1c71ed5,-2356.809f,792.65045f
e20db35ced8544ddac5bc3839145e463,-2431.4124f,25.896494f
c2a008e1e5ca4287bd8ecea2932360aa,-983.7118f,-923.97565f
231c15562ab8497daeb55e56acf3b35c,-1891.8033f,-48.972626f
1febb706d7a34005ae8711ed49c76e64,-2125.6821f,157.82066f
8f73ba6f5a0042f2850356ac38ac6f24,-2022.6315f,205.82704f
e2260b86653c46d7b14a41fb419dbf8c,-2009.343f,316.17413f
35eb641ad1d845bbba54915bce75a962,-2106.5137f,370.65744f
08be90ffbeea4795a138cd42ed8db56f,-2224.4783f,350.80508f
3007433c8f584dcbb5ac159c1c5f2be3,-2330.5789f,289.5136f
73039f8c1eb9409cb4caee2cf968001e,-3030.3147f,67.11418f
00ae5f0c51874a73a41ebea838d95682,-2638.2598f,173.38539f
b38af1a65bd14ea886d608e701505bcf,-1798.3878f,82.294556f
d391c8b6e56a43a7b654e9dee02d904b,-2797.872f,248.95619f
6111116566fc4fd9abba409322bea245,-2967.2808f,350.99268f
a81b2235cb9c499eb9ea8ee0a8dd9725,-3077.5723f,370.32953f
2d4e0ab0ef3b4d73b82c72d4621a7579,-3164.438f,302.9743f
8bdebf492ebd4e62b0d522e8ab5e5197,-3162.4448f,193.54776f
08111f75e22d409998cf8b85bd431f0a,-2982.1729f,-236.63359f
4280927ec4d643238aa49c32f9e06c6c,-3038.7788f,-60.280376f
6e1c7c431db64442b1a7ca15b87a61bd,-983.3317f,-953.349f
fc44e6a5f7654430af1227838224dceb,-3078.9644f,-175.07878f
37319e88176d4aefa91d7a9980dbae91,-2692.4863f,-412.45627f
9f83d4de28e64c5b81825f4e58892ac7,-333.2366f,-1065.525f
a9ae0a3c070d455bb4369a8996313336,-2882.5308f,-316.9883f
f3c44bf91f85487caa6400dfe774e63b,-753.25867f,-1135.4569f
71cec822bcff4f30a20e75dc63ef7b65,-2824.5293f,-441.4453f
3ec3a3563847406fa73338f9e9999cf3,-2678.8928f,-208.13408f
b1cd0e7dc3ad4a8eb91a4bfdbeb025b0,-2540.0815f,-481.3472f
1b532c6a5d0c48ba8cfa09591141b4df,-710.5741f,-1140.3413f
62bff51286ef4f348717a3cf6fe2318f,-2547.337f,-355.3316f
779f9ddd1fd14d1e9e69f72219a1fdbd,-2269.8086f,-738.81647f
b37e701092c444e8a0009767edc5f622,-1860.0494f,-385.35895f
bd7c391260c74863ad031cabd6ae5cbb,-2145.7969f,-650.9161f
386a0044b3b843cc96cfd11f7f889fda,-464.243f,-1161.9536f
ae26e6cda8ad4a3f81bd347560d9579f,-2121.793f,-577.9599f
ee48df95832b4374aa273ceb27ec1315,-2079.3835f,-653.5204f
7a439da90b394756ad1777fc4c6dead5,-2117.8953f,-724.7243f
579338175e0b4bbb8ef3b712b5d8b54e,-2589.5962f,-1045.1682f
a8dd5213034441ac92724b4e83eb0bb2,-2316.1636f,-900.557f
1e7836a9d0494f13b156aa0cc1135796,-5.0657973f,289.14688f
8115eab6556b45f5b415c3b8c26a12e5,-2369.729f,-1022.5579f
ec34b06efd844b46a4c4818ecdb9b8f4,-2430.7957f,-1113.2966f
c2e1c2b9eac64109b343a088584b576b,-2536.51f,-1130.7689f
b416d47c56a742199b5d7c7f19d6503a,-2551.2952f,-912.53033f
8bc5795d6a984a3eace4e2811e52dd4f,-2630.7646f,-961.5619f
f661500307d74c908e9207d949ceb4aa,-2688.5457f,-1255.6095f
cd4532ad48034873ba8bce2aac0c9808,-2463.9287f,-859.0497f
e449fc6047844f2eb8caee5c269d5c1c,-2812.2776f,-1479.9513f
df1de691dafe4549a18a4398ee9dfaf9,-1879.4365f,-1131.9668f
e9312892f6234d46afcb2e1369d2d4ed,-1515.2566f,-1429.0823f
7570bc806234456aa66b290fb5c10af2,-179.8258f,-1092.5779f
5fb9ca36a17e4e5aafb629116db68537,-438.96674f,941.9166f
6c5ad271a44743479bfaea29b1db8d02,-2058.2703f,-1078.7494f
83d311bed5374fee83d8d67a7d9d82dc,-2087.668f,-1191.9332f
402bba41861d43acb52a5abb89e8831e,-2016.1803f,-1250.8175f
f902b0f41b544d4dbf79664fd233648d,-2140.351f,-1748.2358f
8aae34f5ddbb4052a709b12e6b0d40fa,-2047.3484f,-1397.852f
6cb6ef2fb4224f9f94891094577870fd,-1869.4238f,-2190.7002f
645b3f0249f64f76af2e19eb4d0e55b7,-2168.6719f,-1505.9626f
7e7b8db5064d4369805ab370aac5ddfb,-2239.7446f,-1594.5443f
8956d210ae7f41968fada86d4c979d6a,-2236.0322f,-1697.4539f
f03480cf4eba413194d7af52fc0e7f28,-1811.0093f,-1680.1323f
ae781e8b775e4ccd93bc800dad5c8376,-2099.0417f,-1855.4757f
06882a8492d9499aa31555567f575ecb,-2022.4309f,-1912.3844f
f293c508f409466a8f27ddd7d1e40b20,-1925.5352f,-1886.535f
cc4ddef5bbbe48ebb605141b347c4ed1,-1860.7067f,-1806.1512f
f4ce60b4a944484082ccb701b48b3da1,-1960.9465f,-1711.255f
d313cec988a84645bee413e8d4724a4b,-1784.2783f,-1556.6188f
dc60696c76a74368a60f72246e47700d,-1755.5325f,-1429.5947f
78adeee1fa2c4fe0bc73f7bca9fcee86,-1257.7241f,-535.79175f
6fdb4db5d6dd41b296c156e9e31f6ae8,1066.6217f,-655.5809f
f8c6e9dd315640039488619b16128971,-1573.4829f,-23.491999f
8959e6304a0348309a771e4d08d1b64a,-1429.1855f,-261.51663f
65202579580f4ad38d734b4ee39d22a8,-1207.8329f,-304.71982f
3cbcea2be0984e7dbd5a48195af10ce7,-904.35614f,-469.31757f
26836bccf4174cc5af819c2e237f9300,-692.7085f,-10.26167f
82e6285962b8400d9d6fc32436022a94,-809.0026f,-367.62894f
a9ac840f098c4bd0a2ee896214ce29cd,-702.5477f,-671.3837f
0c7262dff33c4087bc660ccf40f92f9c,-532.0179f,-1344.6451f
1202ed221196417faa16c4348aed3971,426.94577f,-146.72783f
416cdfda278442dd9bcb1046bd1bf0ec,-77.38549f,-1107.0742f
b2275c3fad834f8d90737a2d9a6927d6,-624.7191f,-1048.9811f
eb515a26030b41f8a82a1e6114420bad,-732.38025f,-1185.7568f
362fcb0699a14845ab29b2340093e528,-1098.5784f,-1405.9761f
b42cc17b7de840f181a704558d0bc845,-827.3169f,-1334.9725f
93ebcbc0b45f4e73acd412264327a4f7,-491.01404f,994.439f
801f9e9135034f49bf5f8b4bdefedb41,-974.5904f,-1350.4615f
139b097acfca451689d80c9c6eebdf7b,-1092.9612f,-1671.9719f
ea38cc0e6e6e41edbabf210220808bf9,-1054.3743f,-1512.0469f
d9db4a4ebcd8499daa5e84d534b523ac,-294.85635f,-1046.7201f
b87c552dd247427abe6ab5795b9c9d43,-1176.4226f,-1561.4011f
2024b4885bd14338a39b7b509acbbd02,-909.726f,-1753.1285f
30f660a1feb34582a739722532524f79,-1027.0928f,-1769.5088f
cf4c280bad6a43e6b131d8385ef9ef3f,-629.15643f,-1813.3842f
c3f63fe50d8e487c86bf8ef76c9cadd3,-796.13556f,-1743.1064f
c8e371568a0c4391b25796ae4e91952e,-721.07666f,-2214.3406f
2d075b03782c4bef9bed2913b6534e8e,-364.90082f,-1065.3033f
7d932b23e1c84326ae5aa4d3c0d813d1,-809.17114f,-2118.1887f
07b44a7a51e94c78b411c753fc39dab0,-1100.7819f,-2295.387f
ab11d94c6c8948ea90b88f19d2cd502b,-890.2872f,-2236.1292f
950c1931570b4fb39512a9540816b913,845.9263f,891.97833f
f992451ed6ad4e68bb9e68ad6be7c4be,-1001.87726f,-2264.0857f
017d7ca8e0394b91aaadc9574df2202c,-1263.0446f,-2527.5005f
6cd2dcaac46847d4a0bc53f296d90375,-1197.6432f,-2342.871f
c92c45e0e81148bfab292a3c1a573ca6,-328.43802f,-1023.85205f
2d2580c9411c4972909db508d6956a58,-1326.5336f,-2330.1865f
5bddb3d9ed264f3984702f048c7e5340,-1401.5564f,-2397.9587f
d5e8e2bd12a2466b9d6d90855f0eb079,-1364.2948f,-2482.5527f
f9170dd6bc6442b4acd832747609b09a,-1002.9196f,-2608.3533f
54e8e9f0ea3e45c4bf3b8ac799ee31b1,-1270.5769f,-2620.473f
c614a00911be4877a075f19315530fb0,-1257.9928f,-2723.4062f
a6c21bd8b95249c7972820a7a7d76aff,-1149.8867f,-2752.501f
bb329d880ab54120adaf203a693bb203,-1071.593f,-2699.18f
b54257a550b94ebc9538f3a90eee9d7e,-1485.8102f,-2670.283f
334c2344009840079b1d0e1b7ce3d5a7,-856.5207f,-2534.229f
d7f13c8d63ec4e2aa673fbb9cf9c6933,-190.4726f,-2503.8909f
b9e80f77c3a44349863b19875725c384,-356.78882f,-2330.2292f
7108f0e4c2584f1f9c471689ae4c885c,-401.40768f,-2504.253f
a875096404ef4a9984b62d74cda916f9,-390.01355f,-2946.1296f
09400e101c5d4b439cf9a26b03aae558,-281.23907f,-2674.456f
1998bef364384a34ad2306761033cedc,-1130.8115f,-3068.168f
a88efa7e50ce47159810ab553afa6d3a,-339.09805f,-2808.9033f
ec341f459285443b8361f7f15638ff08,-71.41167f,-3090.9805f
be502a7a43c44bf7b682698de79d9369,-266.55206f,-2975.2244f
f7fb1952f56b4189b86a9f8b7862d2b8,-310.2092f,-3120.4902f
b860ee85d8bc4a2f97958cfb71be3533,-163.74744f,-3141.8738f
01b2051f8941460d89945e3b02d1ce78,71.53928f,-2859.6382f
363837c182e04711840d896ae1e0339c,58.129574f,-3013.9507f
be95c065e45447c1bd8215ea6f130c7a,272.87976f,-3064.2083f
91125ca626c5470eb145501f8c37f8db,67.68585f,-2740.1572f
1c6721b1f63f4d30ba7746ea8af02a52,455.69785f,-2318.5085f
77ecef8eff6b4a2caea7707669bf7475,323.6468f,-2441.278f
f7906d6f59b9489a91d2ef40db5a474d,840.54987f,-2707.3425f
d03cb855c70044cf8c35d9ec0de696e3,541.2145f,-2511.4546f
71aaf76e8b8941088a4073e9032a44b4,-527.66113f,1010.5296f
a49a937d6896486d9a5396654abcf2e1,532.7735f,-2631.2952f
8b9ae98743bd4d4a8a87dff1c1244211,686.5317f,-2591.778f
5152833676bf4c6cb317060be10f68db,1231.4012f,-2677.287f
2ab1535aac1346ba8801535bf729ef37,960.94244f,-2739.0542f
779143882c9042b383843beddf87b3fa,1014.64984f,-647.107f
a4f40fb48a8542c8949bae1f002cd9bc,1055.5496f,-2838.1064f
8972c23e32044edb8a78fa1eed4e5947,1151.185f,-2852.8037f
92feb4a40f8344d38b6f722e42a53295,1230.5101f,-2804.1936f
0b04c8e2f86d48c7aeb7e225819cd32b,1072.6589f,-2367.8877f
ca3e28f290354c08aefe5b0f769604e6,1374.3582f,-2635.7378f
79a35eea833e4c2c9d22fc53c3c6445c,1458.4901f,-2531.7903f
8f68228b1518449e9615cdafee41a2bd,1417.5256f,-2427.563f
cab89fa5c3ed45a5aa550fc0352d6a42,1322.0157f,-2378.2568f
66d4fad4f1cf4b46be0750a99ad7a35a,1204.0012f,-2372.1035f
64dbedb3ce544f6aae8e10e0cf10f16d,979.6233f,-2211.2454f
f53da5fd9bfe412da4b80d4742563b6c,750.0634f,-2225.483f
2ae94c0cea4d480a9d5dca8fb1d7b542,431.31583f,-1444.3524f
b48100e167b24c7782f6f5ba968c9fdb,69.4688f,-1113.0627f
ba660431f382464f9801f95858171daa,-547.2829f,-249.34705f
1ebf23f9d994469a85206e4c7b1bf5f5,328.3129f,-1673.1993f
85ae675b83e8422da842cfd25596af99,456.8931f,-1617.0259f
6e83e23f56544a19b94067c1c558d9c0,801.3904f,-1719.5896f
cb682a0863c547cdb3eae22ea90cdde7,4.690083f,262.2155f
8ac16c1e05274e32b10f3e287911426a,-494.65054f,1029.1827f
30c9ba177afc49a695625d2bdec40207,676.0414f,-1766.4258f
d546341988904f069cfa86b21457d9d9,1101.4353f,-1572.0005f
fa235f0f364d47e4ae1c87f47bf8e6ba,602.16034f,-1578.5707f
8376e91a1246496385cb17058ce0facb,-332.8416f,762.222f
79f7845465cc4ed19d8e4f1429541be0,710.60706f,-1624.405f
d989ebcfc12a4b669f0100dc1aa14f1e,916.6644f,-1292.8297f
00f61990949545828dd12f1303d47504,934.56494f,-1727.9756f
b2389297ba624efebda5a6e711d70572,478.12735f,130.21275f
ead7bb4b64e247d2ae632ab8a296b091,1080.9988f,-1797.1049f
41b0048dde734bb280bac6116baa8e27,1178.1808f,-1774.7069f
b41c5a094a604ee0915327da5cc0beb7,1196.5604f,-1674.8429f
7aa76d3e993840d8805f097cbdbcd44b,638.1735f,-1126.4402f
bc35c50e57414592b7d27a7d7c34bc3e,795.2275f,-751.8738f
3c16bacf5b4b4f8aacff9b2e59e24bca,898.0227f,-833.3854f
28c171777c52431ab6b925073bd63d46,1106.916f,-1438.2532f
ccf8015cc62548eda46f85490c6b2084,-418.9439f,-1068.2665f
ac160db940cb49ae8579162b1d52bb5d,1022.974f,-1344.5925f
7028800abe7d4e27b613d1d6cbe26bf7,406.52252f,-1086.9247f
c6fd49b485cc4874b0bbdd9c6171e09c,847.8758f,-1181.9905f
44240778a97c4af0937817499b75707b,749.9056f,-1128.6359f
590fb7d4bca1466bacd357c1a234907c,17.461895f,-1531.5167f
865a4d3b43374da7944dc7d397f566d9,539.9363f,-1167.3376f
0d987bed3ffa4ed0b9a2e62e97b7b30f,295.94217f,-616.5866f
10c616d641cd42729083e0a5575fb8ea,-424.75067f,1081.8873f
ecf5f1a3754c487589496d10a397f977,666.5353f,-598.6017f
82ae07bc0c9b4570a41799290d1ef399,122.361946f,-553.8258f
a39da0ce33404aa7aeef29af014da204,967.8409f,75.5507f
f3c2cd4abb7a4fa8bfb9ebadecb9203d,770.7225f,862.17584f
4b783ddfe6334f7ba5d08e3f2bf275e4,-448.31393f,1040.6122f
bc5524e78a8544e2ae2fdc2f3462bbec,0.92989266f,-475.5286f
bb5a47f5ea01454a8b79455422d3b9da,183.86655f,-378.93707f
94cecc3f1e7d484b8e068e79241dfd73,490.9249f,-310.2186f
d720793a14624748903a1f7f817b7ca6,-325.7919f,1226.8335f
a37477c4e4c14169ad44b06b493007f6,496.4166f,-185.473f
fab84b4fab5940efb4ea868ef8d09396,835.77515f,-129.44446f
4a29443515bb404cb8924e1c60a63b73,1505.3463f,-365.47598f
572ece25224b40438864a7f65e24a4c9,904.421f,257.46774f
a44e39b057914e0fb4fa95d0fd6b8060,1029.1981f,246.0426f
208c9b2796c944db8dacaa96082520ea,1308.1517f,-234.04874f
6a9a3b5bde4a48daa896fe8c06eca56f,1204.3839f,-510.3127f
b9fbcb8c33b14f58925572b0b81e8e17,1049.1926f,281.0747f
7669a956527947d0add87455277e80b4,1299.57f,-486.1856f
34a6e49023fc4465bd5ca604330bbd1c,1240.7959f,-801.7984f
869e967078f04da18dd0b0b9389a7424,1183.9851f,-611.38873f
430ed830a139406187ccf193f509331a,-284.42905f,-1106.8815f
51ab6291537748fab90d519aa09889d6,1151.7888f,-732.1923f
21592f2a9e9c4b2f8c66ec5dbcbf6a2b,1306.8306f,-918.64233f
8c994ada7d934fc1b1b89f3119ffb7a4,-378.81564f,-1037.7784f
7646a919d7e64fa990bca9b024ff089d,1620.0276f,-852.06f
ba0e59461bfb4a44b7b1c28a01f8d3b3,1411.8811f,-910.6649f
c6697655493e4e5aba80361043e386ff,-953.9206f,636.0636f
0e0b36e731a645e7b1b8a88f5031ca38,1495.7924f,-1001.02014f
a66a144637284c21afc6de17fea4bfb8,1591.4143f,-955.7035f
2c5bb2cbd0014420ad8c95d40e38efd1,1537.7899f,-713.074f
e390b575229748ea8aac9364efe2bf00,1701.9401f,-773.1916f
3434c10e561d488a914e0f7d71907abd,2115.6836f,-1131.3232f
56348f6a70c0486ab1d54c21766d6ae5,-557.3798f,1024.0935f
53e7e900392747ccad52e711ab0f80d8,1941.909f,-1119.1881f
141c0df6cd1946539aadd1c9b7068cd4,1975.9467f,-1701.3055f
130acc2aeb0448fdbb2de63bc5cebe5b,2010.0968f,-1347.7506f
39869ddb0f894074961f83a3a2139b3f,120.21142f,131.22495f
9c062b3251034ebe90f5054e2a3b5120,1933.5072f,-1449.8954f
ea859f8207e44537889daeaba13ac2e8,1879.045f,-1536.5879f
56d94971a7a94257aa330183a8ebd0ea,1895.476f,-1634.3193f
0c787d16c9504873b1a4d903cec09948,2093.576f,-1893.8892f
da2a7bc1998b4d48be46c050a1ac8ff7,340.08032f,199.09395f
16593e49f7584ef286ebbfc96d4cbfcc,414.7289f,664.77106f
13255e63e0aa4abf85e5211bf613d43e,2026.6315f,-1803.7358f
8d7e0b55cf9849cda222a0f2440cec55,2351.212f,-1821.015f
86c27d40179e419c8e9d150fb6afa5d0,2204.8533f,-1866.8309f
b4659dfbe6fc4d06b35fb87a1a148359,1078.5504f,-422.33063f
053a7bf6d872441097591e7a7a049be5,-385.75446f,921.2346f
3628bdce1dd2429ba924d2d4d09448d2,2388.2236f,-1546.512f
24f1363179ad4aaa965484a78471912b,2400.444f,-1699.897f
7371136bec7e48e7895eedb6138e1ce1,762.3718f,-1016.4721f
b29c33c1a91e4c4796f5de5feef0e06b,-498.9332f,-226.99377f
47edbb64109243e6b0f8f64cdef90c6c,2467.5242f,-1797.6123f
43ea1b823a4b4e51b7c694c10725db82,2673.4468f,-1591.7354f
56b3fd1a212a4764be39d979fde3326e,2340.155f,-1342.1145f
0c4079457ede49e3aeb5e86ed84bdf35,2546.4136f,-659.7034f
e3d8dd3e10e64c87b04e410b519c4680,1148.0173f,837.0395f
38aea304b4fa46e1b29bb72f5cea4c93,2360.4265f,-581.7658f
c002a3c1652d496eb39622d2602116e4,-489.40076f,958.4645f
e36d261332f14e79bb4b467aceaeb9b5,2238.5237f,-632.4624f
c7e89b9d04744d2eab742fc24e3ef1ae,2233.2512f,-724.2084f
fe49f8054b374a0ea4bb266ed135ff62,2312.9036f,-778.14813f
d0a8f74af98642fe8360d22c42e45117,2405.5378f,-764.7763f
b8b9418ab322418d9db9b40d96af873a,2777.1606f,-865.6926f
c1d727a16f6d4e499496009622516e42,2671.9092f,-364.60852f
a7c6339ca1da4368a18d471f0519f877,2692.879f,-791.2696f
c2490bc612d146edbe786556fab3651b,2904.2124f,-678.25653f
bbc5139ca9024389a94db3a6f47dcff6,2891.3645f,-857.03827f
19893fec4c0d434cbd1f12a347c991a1,-586.30695f,1029.6688f
4ee6ca9019ab4a1ab323f98094a9bd77,3016.465f,-856.05725f
b37947176785476f8b29d49a851366dc,3067.337f,-776.32367f
fcea5b10d5a14a3b9324ffece8f6e1e5,3006.9382f,-702.93744f
4a92daef4d504e1792575a26502bb7b7,2920.8738f,-1035.9905f
6ac8bb048b854999a47edb35fe627f11,2804.1992f,-580.8435f
30ead9794d4847abaf222ca966cc8630,2539.2974f,97.060616f
568fab6c935d4be6925c261344494c53,959.2765f,1096.807f
658eea055f3b4a25b77736d6ce95d29a,36.497597f,241.65953f
c20993c944444fe085345591a8bd837e,2854.6006f,-137.73578f
897b7f51242c44aab2205c72fdcbf4cd,2947.7493f,-21.951185f
09b9678ddc3d452ea4a3d46e15826065,2996.0164f,-148.9539f
eff0de7f2dbb42dfa1a2e686efab5b6d,2799.568f,-2.1224926f
1ba8fef685d74a8194b9db252eb704fb,2968.9978f,633.5879f
82662996e73d4e4c812e65ddf0fc99c1,954.9298f,1137.5433f
2fe14166dc9642c3bc666b86a57f943d,2796.495f,272.32248f
b7e414253181435db7d63b239030934a,837.03973f,-985.82697f
44421dd1e13a47a388c4a19834b744c7,2999.5608f,341.5791f
cb5fc7ef85d547c4be1a7439d0bf6052,3092.6265f,392.97742f
0a8f150a4cf747acbde62f4721823da3,3145.207f,483.34747f
ab8fdad974ae471f9f24c3f9dd04462e,3109.1816f,577.02704f
f00179e251a045b39c3f7a54f9aa4acc,2725.595f,736.67737f
52580888dadb4fe3baa795683ea227bd,2842.6597f,676.584f
072a190fd302456290895f9f04d6940a,2539.1343f,614.6182f
492a3bc6a1254f23a7998587961b22a4,2640.7107f,677.4844f
c76574d21bc14aeea7ecd0b027f39858,2627.2056f,456.19022f
4894febf79464162afc4924745282de4,1103.6622f,-419.3434f
cfa457d1743848e4bb5e4beced6448ed,2408.5754f,414.21198f
b71bac264efb4abd97015447bd490db6,1763.8684f,339.22534f
0c4193e7b92640a8bed63453172d333b,421.29648f,-717.7469f
fc0771786a1e405986933843fdfd7eda,2039.8596f,26.021809f
1b4550d0dab04078b3bf08a655345bdc,1556.0553f,271.60355f
8d448d625b024c82a5eb240bbd7431d6,1852.9171f,546.1978f
d6d02b6ef04e4f17805504500b8ce441,1480.0948f,563.5745f
66baf19b6b904b70922329068c63746d,1603.0422f,1483.1989f
a355d80f03d64640b19cd1f1c5ea01fc,774.8795f,632.611f
7f544639412e40a9ba27f43b415362ab,1384.3949f,1316.9094f
1f80a3186d46467197068c785d785510,-590.4309f,996.56195f
d5ae8642e15b46b8bd298b02274d4e9c,1393.4624f,1156.365f
a0d10309a2dd456289147f84be9d37f9,1486.8892f,1149.1224f
0fcbc3ca07b144138b8d85da581f09a8,1545.9612f,1222.1237f
c2fca3669923477ab966ded303dea31c,2103.312f,1533.593f
da8bc5547a9941a8b30bf4af81f0c9b5,-431.9619f,922.58844f
ea7da9aa77de47aeb8418dc489d62bb4,-1006.8101f,667.4541f
471e8615e87449fda771b9f8dad09342,518.5738f,276.4651f
18d3b836dd804224883cc9180b60a8e1,2328.9275f,1518.9819f
