id,percent_grade,date_joined,enroll_created_date,cert_status,in_analysis
a958661,0.65,03/24/2017 14:25,03/08/2018 17:31,Pass,1
a140847,0.79,03/08/2018 17:49,03/08/2018 17:49,Pass,1
a756553,0.8,08/28/2017 20:48,03/08/2018 18:07,Pass,1
a117596,0.91,03/08/2018 18:08,03/08/2018 18:08,Pass,1
a747164,0.16,03/08/2018 18:15,03/08/2018 18:15,,1
a814112,0.97,03/08/2018 18:27,03/08/2018 18:27,Pass,1
a791319,0.9,03/08/2018 19:45,03/08/2018 19:51,Pass,1
a844904,0.93,03/08/2018 18:36,03/08/2018 19:53,Pass,1
a527900,0.81,03/08/2018 18:43,03/08/2018 19:53,Pass,1
a167448,0.88,03/08/2018 19:24,03/08/2018 19:53,Pass,1
a327839,0.94,03/08/2018 19:11,03/08/2018 19:54,Pass,1
a841238,0.26,03/08/2018 19:07,03/08/2018 19:54,,1
a115086,0.05,09/09/2016 20:09,03/08/2018 19:56,,1
a709966,0.74,10/13/2017 20:03,03/08/2018 19:57,Pass,1
a136921,0.99,03/08/2018 19:33,03/08/2018 19:57,Pass,1
a296907,0.85,07/21/2016 19:08,03/08/2018 19:58,Pass,1
a766819,0.79,08/18/2015 14:32,03/08/2018 20:22,Pass,1
a532715,0.95,08/22/2017 18:09,03/08/2018 20:39,Pass,1
a777932,0.57,06/30/2014 03:34,03/08/2018 20:55,,1
a500668,0.97,03/08/2018 20:56,03/08/2018 20:56,Pass,1
a746533,0.4,10/20/2014 21:47,03/08/2018 20:57,,1
a153441,0.63,09/02/2016 17:31,03/08/2018 21:01,Pass,1
a907027,0.73,08/01/2016 21:01,03/08/2018 21:03,Pass,1
a747653,0.98,03/08/2018 21:16,03/08/2018 21:16,Pass,1
a705854,0.98,03/08/2018 21:19,03/08/2018 21:19,Pass,1
a313261,0.12,03/08/2018 21:19,03/08/2018 21:19,,1
a284377,0.97,03/08/2018 21:27,03/08/2018 21:27,Pass,1
a911466,0.96,03/08/2018 21:28,03/08/2018 21:28,Pass,1
a724433,0.98,03/08/2018 21:28,03/08/2018 21:28,Pass,1
a339318,0.98,07/11/2017 18:26,03/08/2018 21:29,Pass,1
a557384,0.94,03/08/2018 21:31,03/08/2018 21:31,Pass,1
a899115,0.89,07/22/2016 13:09,03/08/2018 21:48,Pass,1
a979118,0.98,03/08/2018 21:53,03/08/2018 21:53,Pass,1
a286916,0.92,03/08/2018 22:02,03/08/2018 22:02,Pass,1
a228608,0.91,03/08/2018 22:12,03/08/2018 22:12,Pass,1
a439214,0.94,03/08/2018 22:21,03/08/2018 22:21,Pass,1
a588912,0.26,03/08/2018 23:17,03/08/2018 23:17,,1
a819352,0.99,03/09/2018 00:56,03/09/2018 00:56,Pass,1
a219062,0.79,03/09/2018 01:05,03/09/2018 01:05,Pass,1
a128289,0.89,07/17/2017 19:21,03/09/2018 03:00,Pass,1
a223063,0,03/09/2018 03:23,03/09/2018 03:26,,0
a601840,0.94,08/22/2016 15:26,03/09/2018 04:02,Pass,1
a938791,0.83,09/14/2016 13:49,03/09/2018 04:05,Pass,1
a413311,0.89,09/06/2016 12:29,03/09/2018 04:10,Pass,1
a373755,0.9,03/09/2018 11:20,03/09/2018 11:20,Pass,1
a460013,0.75,03/09/2018 12:55,03/09/2018 12:55,Pass,1
a221027,0.13,03/09/2018 13:04,03/09/2018 13:04,,1
a893416,0.62,03/09/2018 13:37,03/09/2018 13:37,Pass,1
a298814,0.92,09/15/2017 18:13,03/09/2018 14:29,Pass,1
a962173,0.62,08/24/2016 01:22,03/09/2018 14:38,Pass,1
a319383,0.91,03/09/2018 14:55,03/09/2018 14:55,Pass,1
a738537,0.95,03/09/2018 14:56,03/09/2018 14:56,Pass,1
a199888,0.62,09/01/2016 20:52,03/09/2018 14:59,Pass,1
a671736,0.91,09/14/2016 21:10,03/09/2018 15:01,Pass,1
a402862,0.44,03/09/2018 14:57,03/09/2018 15:02,,1
a495077,1,03/09/2018 15:17,03/09/2018 15:17,Pass,1
a413827,0.91,03/09/2018 15:23,03/09/2018 15:23,Pass,1
a985407,0.68,03/09/2018 15:27,03/09/2018 15:27,Pass,1
a489196,0.88,03/09/2018 15:30,03/09/2018 15:30,Pass,1
a391454,0.71,03/09/2018 15:38,03/09/2018 15:38,Pass,1
a729272,0.96,09/12/2016 21:00,03/09/2018 15:40,Pass,1
a689670,0.79,09/01/2016 00:20,03/09/2018 15:59,Pass,1
a250521,0.88,07/25/2016 21:12,03/09/2018 16:01,Pass,1
a183773,0.93,03/09/2018 16:05,03/09/2018 16:05,Pass,1
a834318,0.68,03/09/2018 16:23,03/09/2018 16:23,Pass,1
a433201,0.88,03/09/2018 16:27,03/09/2018 16:27,Pass,1
a667324,0.98,03/09/2018 16:28,03/09/2018 16:28,Pass,1
a813145,0.78,03/09/2018 16:43,03/09/2018 16:43,Pass,1
a118355,0.88,03/09/2018 16:46,03/09/2018 16:46,Pass,1
a730225,0.98,03/09/2018 16:54,03/09/2018 16:54,Pass,1
a551478,0.8,03/09/2018 16:55,03/09/2018 16:55,Pass,1
a292904,0.72,09/12/2016 08:28,03/09/2018 16:56,Pass,1
a568014,0.95,08/30/2016 19:48,03/09/2018 16:58,Pass,1
a248527,0.82,03/09/2018 16:58,03/09/2018 16:58,Pass,1
a802745,0.97,03/09/2018 17:08,03/09/2018 17:08,Pass,1
a580263,0.81,03/09/2018 17:32,03/09/2018 17:32,Pass,1
a685212,1,08/23/2017 18:04,03/09/2018 17:53,Pass,1
a181237,0,12/14/2017 17:14,03/09/2018 17:57,,0
a859373,0.96,07/22/2016 11:45,03/09/2018 18:09,Pass,1
a847253,0.99,03/09/2018 18:22,03/09/2018 18:22,Pass,1
a793157,0.89,03/09/2018 18:29,03/09/2018 18:29,Pass,1
a606534,0.97,03/08/2018 22:33,03/09/2018 18:42,Pass,1
a520629,0.79,09/12/2016 18:57,03/09/2018 18:44,Pass,1
a773026,0.31,08/30/2016 12:34,03/09/2018 18:51,,1
a431571,1,03/09/2018 18:51,03/09/2018 18:51,Pass,1
a777757,0.98,03/09/2018 19:35,03/09/2018 19:35,Pass,1
a553753,0.66,08/30/2016 17:43,03/09/2018 19:54,Pass,1
a361753,0.96,03/09/2018 20:01,03/09/2018 20:01,Pass,1
a785167,0.92,03/09/2018 20:05,03/09/2018 20:05,Pass,1
a386426,0.9,03/09/2018 20:07,03/09/2018 20:07,Pass,1
a248253,0.85,03/09/2018 20:12,03/09/2018 20:12,Pass,1
a405030,0.97,03/09/2018 20:17,03/09/2018 20:17,Pass,1
a824037,1,03/09/2018 21:03,03/09/2018 21:03,Pass,1
a177654,0,03/09/2018 21:16,03/09/2018 21:16,,0
a677022,0.98,03/09/2018 21:52,03/09/2018 21:52,Pass,1
a911091,0.95,03/09/2018 22:29,03/09/2018 22:29,Pass,1
a187852,0.9,03/10/2018 00:32,03/10/2018 00:32,Pass,1
a307221,0.05,04/02/2012 12:13,03/10/2018 22:52,,1
a946392,0,09/13/2013 19:44,03/10/2018 22:54,,0
a683127,0.97,08/10/2017 14:38,03/11/2018 18:38,Pass,1
a591341,0.95,09/02/2016 16:05,03/11/2018 18:49,Pass,1
a222057,0.6,07/27/2016 19:31,03/11/2018 19:21,Pass,1
a813400,0.79,08/11/2016 15:19,03/11/2018 19:24,Pass,1
a838363,0.81,07/22/2016 19:23,03/11/2018 19:25,Pass,1
a113396,0.99,09/15/2016 16:37,03/11/2018 19:30,Pass,1
a616420,0,07/18/2013 20:18,03/11/2018 19:49,,0
a548541,0.7,03/11/2018 21:12,03/11/2018 21:12,Pass,1
a824498,0.99,03/12/2018 08:54,03/12/2018 08:54,Pass,1
a475895,0.67,03/12/2018 12:06,03/12/2018 12:06,Pass,1
a632012,0.92,03/12/2018 12:26,03/12/2018 12:26,Pass,1
a629621,0.99,03/12/2018 13:18,03/12/2018 13:18,Pass,1
a758837,0.66,03/12/2018 13:22,03/12/2018 13:22,Pass,1
a879535,0.92,03/12/2018 14:13,03/12/2018 14:13,Pass,1
a302604,0.67,03/12/2018 14:50,03/12/2018 14:50,Pass,1
a629148,0.86,03/12/2018 14:54,03/12/2018 14:54,Pass,1
a398369,1,03/12/2018 15:14,03/12/2018 15:14,Pass,1
a485980,0,12/14/2017 20:26,03/12/2018 15:27,,0
a596641,0.79,03/12/2018 15:29,03/12/2018 15:29,Pass,1
a581024,0.79,09/07/2017 18:33,03/12/2018 15:31,Pass,1
