"mod_hex_id","courseID","module.type","desc","L2","L2label","L1","L1label","order","unq_stu","sessions","days","events","totalTime","progress_i","recurse_i","forward_o","backward_o","sl","attempts","points","loads","load_time","plays","play_time","pauses","pause_time","seeks","seek_time","user_id"
"b613861cecf84ffcab01afb23f660475","MITxPRO+LASERxB1+1T2019","problem","Informed Consent Form","c1b52a1ef69a404ea9132e95ad25093a","Informed Consent (1 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",5,1,3,3,10,0.9,0,9,4,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"e2911e79efc2420eac45d9f671463d4b","MITxPRO+LASERxB1+1T2019","problem","Question #1","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",8,1,3,3,14,3.73333333333333,2,12,6,8,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"519d1b8c59404d67b54e96c5c8a830b2","MITxPRO+LASERxB1+1T2019","problem","Question #2","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",9,1,1,1,3,1.01666666666667,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"531db53f81f646edb0cdcfe0085b03b7","MITxPRO+LASERxB1+1T2019","problem","Question #3","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",10,1,1,1,3,0.133333333333333,1,2,0,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"4f5f94b2f95141e0a9d53a61da2276da","MITxPRO+LASERxB1+1T2019","problem","Question #4","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",11,1,1,1,3,0.3,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"6d541c89590949f99af293c4f2333f67","MITxPRO+LASERxB1+1T2019","problem","Question #5","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",12,1,1,1,3,0.716666666666667,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"dd5cf0b9fe4c4f1d8f5ff8e4c04879cb","MITxPRO+LASERxB1+1T2019","problem","Question #6","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",13,1,1,1,6,2.06666666666667,1,5,1,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"f96261861edc426abe2248be4f0a709a","MITxPRO+LASERxB1+1T2019","problem","Question #7","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",14,1,1,1,3,0.75,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"66b5e16f4f75454fb5b8172079f0fa83","MITxPRO+LASERxB1+1T2019","problem","Question #8","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",15,1,1,1,3,2.01666666666666,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
"0680571d4698477995e41842c36a54b2","MITxPRO+LASERxB1+1T2019","problem","Question #9","c07316dff77348caa08e94ddaed4bec3","Pre-Assessment (10 min)","41ad78dff2594088a4eb8b6b7ce406f3","Week 0: Get Started (40 min)",16,1,1,1,3,0.833333333333333,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a471709"
