source,target,weight
0120d60dd7c74a658f369244cc09a745,af0046c8954e4c4dacf9446dd407d0f6,5
0388b15dc0a94dd4a553c1df67123109,ab522985e16d436a970f0eda5c9a1591,5
043d02d4e89541cdb2c73ca0d2eca377,1afa468dc7ce4b91a590366c2a697707,5
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,5
043d02d4e89541cdb2c73ca0d2eca377,3763b9f526ae44f2ac2ac49749c15661,5
043d02d4e89541cdb2c73ca0d2eca377,5fe15241fc4840f1a7fb294182265c39,5
043d02d4e89541cdb2c73ca0d2eca377,9e07d9bd17d84172858e4e2d7c7f3e4b,5
043d02d4e89541cdb2c73ca0d2eca377,c076a6e427c34d0c99c5bb95cbce05e5,5
043d02d4e89541cdb2c73ca0d2eca377,d1676d2cecee4010a1bfe838e2e963e0,5
043d02d4e89541cdb2c73ca0d2eca377,f3cfda7ffa804facb0183da6497283a6,5
04d85100616943f8a3d2b084f403ba5f,2ad839c226ab44539d98e2a1e84e439f,5
04d85100616943f8a3d2b084f403ba5f,d538c2a9c6004cc3b62a2514ff7d24f5,10
0552f7dc52d14cf5b15daed9c4229342,0cd55e8d087d4dd7b4abe0c9eeb53ee9,5
0552f7dc52d14cf5b15daed9c4229342,151ff258d4a74e6dbe9efde0ce31b457,20
05800c2e685141ecb48fe59b499d84b6,06b02d057d574f24a6cac30186bf0bf2,5
05800c2e685141ecb48fe59b499d84b6,57b361f6d4ca424299264c668e836e47,5
05800c2e685141ecb48fe59b499d84b6,f06cfae5902b4db099f1844f9dcad801,5
05800c2e685141ecb48fe59b499d84b6,f151b1920ab84738857f2e5a6ccdff85,10
064f627c77a54926aac5e4c6b665a883,a27e6ccbd699476c823afe67c91324cf,15
064f627c77a54926aac5e4c6b665a883,efb26d7be5e646dca9278cde2f59dbc3,5
06b02d057d574f24a6cac30186bf0bf2,3d412537e19344628642e97d2a0d1e3e,5
06b02d057d574f24a6cac30186bf0bf2,5982f524a99e420f8aeee7d90187dd55,10
06b02d057d574f24a6cac30186bf0bf2,8fa03b1b2994424a877f41676e31bb08,5
06b02d057d574f24a6cac30186bf0bf2,cee509fdc136413c8c3e182d487c2b86,5
06b02d057d574f24a6cac30186bf0bf2,ea1d651f18c34e6fa36ee0f68962ecb9,5
06b02d057d574f24a6cac30186bf0bf2,f06cfae5902b4db099f1844f9dcad801,5
0704a9032b0b4dfebc92a428247b2a14,0552f7dc52d14cf5b15daed9c4229342,5
0704a9032b0b4dfebc92a428247b2a14,2ad839c226ab44539d98e2a1e84e439f,5
0704a9032b0b4dfebc92a428247b2a14,5a6ade785e5944dc9bba9be67da62d09,5
0704a9032b0b4dfebc92a428247b2a14,6209866a51f94d1982106374115c7594,5
0704a9032b0b4dfebc92a428247b2a14,744dad1a12a449ebbfc22c507e1e0e1f,5
0704a9032b0b4dfebc92a428247b2a14,ad172c9eaecf4a59bba2238ca2bb3990,5
0704a9032b0b4dfebc92a428247b2a14,aedac84ad12f487db1c88dbe3c82abde,5
