source,target,exemplar
None,401ee1f6f3684be7b6124490f34adc5a,0
401ee1f6f3684be7b6124490f34adc5a,27bf430c96cb4d8da7368c4697de187b,0
27bf430c96cb4d8da7368c4697de187b,401ee1f6f3684be7b6124490f34adc5a,0
401ee1f6f3684be7b6124490f34adc5a,9b9fc7fd30954d7d9ad7d8f8e1cc11d8,0
9b9fc7fd30954d7d9ad7d8f8e1cc11d8,04d85100616943f8a3d2b084f403ba5f,0
04d85100616943f8a3d2b084f403ba5f,d538c2a9c6004cc3b62a2514ff7d24f5,0
d538c2a9c6004cc3b62a2514ff7d24f5,ea676035d8d84252b7c2c117a74dfe5d,0
ea676035d8d84252b7c2c117a74dfe5d,fdccb644786547c5893474584cdfd58b,0
fdccb644786547c5893474584cdfd58b,53e13f644d1f4c73ba7f5bfd8020e71f,0
53e13f644d1f4c73ba7f5bfd8020e71f,2f6febb9f2514c06827aa6a4bfe1e69d,0
2f6febb9f2514c06827aa6a4bfe1e69d,53e13f644d1f4c73ba7f5bfd8020e71f,0
53e13f644d1f4c73ba7f5bfd8020e71f,44acee2074d5456593cfdab9b680dcab,0
44acee2074d5456593cfdab9b680dcab,a67e937f9f1941a9bb6052316e2f2fc4,0
a67e937f9f1941a9bb6052316e2f2fc4,e42dc56d1f8d46ef902e3d38a93e0324,0
e42dc56d1f8d46ef902e3d38a93e0324,2e1dcff64f8741438099a3b28ba6c42d,0
2e1dcff64f8741438099a3b28ba6c42d,5bdb6e60ab5c477f9244243bacb6c984,0
5bdb6e60ab5c477f9244243bacb6c984,9c375fe94f4a47fb8074dc6870cf8820,0
9c375fe94f4a47fb8074dc6870cf8820,20c18c18d1424607bd03030afc0dabc9,0
20c18c18d1424607bd03030afc0dabc9,fe15037ed0db47ee8afde8f7847b94e6,0
fe15037ed0db47ee8afde8f7847b94e6,f152314aca7a42a9a2e4d5ef6086c76e,0
f152314aca7a42a9a2e4d5ef6086c76e,2c91f40c1d484adbbe41b43c1dd57fce,0
2c91f40c1d484adbbe41b43c1dd57fce,2060d250adb14c9eb7e7957c563678f0,0
2060d250adb14c9eb7e7957c563678f0,2bd1769f30ce460b8cf38f3b71207d38,0
2bd1769f30ce460b8cf38f3b71207d38,b18bcca1d2984ccca2bbab4c41e85de5,0
b18bcca1d2984ccca2bbab4c41e85de5,2bd1769f30ce460b8cf38f3b71207d38,0
2bd1769f30ce460b8cf38f3b71207d38,3763b9f526ae44f2ac2ac49749c15661,0
3763b9f526ae44f2ac2ac49749c15661,2f6febb9f2514c06827aa6a4bfe1e69d,0
2f6febb9f2514c06827aa6a4bfe1e69d,a67e937f9f1941a9bb6052316e2f2fc4,0
a67e937f9f1941a9bb6052316e2f2fc4,e42dc56d1f8d46ef902e3d38a93e0324,0
e42dc56d1f8d46ef902e3d38a93e0324,2e1dcff64f8741438099a3b28ba6c42d,0
2e1dcff64f8741438099a3b28ba6c42d,5bdb6e60ab5c477f9244243bacb6c984,0
5bdb6e60ab5c477f9244243bacb6c984,2e1dcff64f8741438099a3b28ba6c42d,0
2e1dcff64f8741438099a3b28ba6c42d,9c375fe94f4a47fb8074dc6870cf8820,0
9c375fe94f4a47fb8074dc6870cf8820,20c18c18d1424607bd03030afc0dabc9,0
20c18c18d1424607bd03030afc0dabc9,fe15037ed0db47ee8afde8f7847b94e6,0
fe15037ed0db47ee8afde8f7847b94e6,f152314aca7a42a9a2e4d5ef6086c76e,0
f152314aca7a42a9a2e4d5ef6086c76e,2c91f40c1d484adbbe41b43c1dd57fce,0
2c91f40c1d484adbbe41b43c1dd57fce,2060d250adb14c9eb7e7957c563678f0,0
2060d250adb14c9eb7e7957c563678f0,2bd1769f30ce460b8cf38f3b71207d38,0
2bd1769f30ce460b8cf38f3b71207d38,3763b9f526ae44f2ac2ac49749c15661,0
3763b9f526ae44f2ac2ac49749c15661,2bd1769f30ce460b8cf38f3b71207d38,0
2bd1769f30ce460b8cf38f3b71207d38,b10ef23438f9466882d17e3f0abd0149,0
b10ef23438f9466882d17e3f0abd0149,a137964dcca34365ba31a7563531e07b,0
a137964dcca34365ba31a7563531e07b,5fa68b182e974d6b82927d21dd4e4f9a,0
5fa68b182e974d6b82927d21dd4e4f9a,b0a012fae6fe4eb0af63473d516476b7,0
b0a012fae6fe4eb0af63473d516476b7,4be29d7cb0e4400887b4848365b47a4d,0
4be29d7cb0e4400887b4848365b47a4d,8288c793632d4a81a50ef5e13bf8911c,0
8288c793632d4a81a50ef5e13bf8911c,083e170a98cc47909270dde338cffbff,0
083e170a98cc47909270dde338cffbff,3763b9f526ae44f2ac2ac49749c15661,0
3763b9f526ae44f2ac2ac49749c15661,043d02d4e89541cdb2c73ca0d2eca377,0
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,0
1ee01257a4174216a0bf6d64ad67decf,091e476b9c794d019c1660622a3a12f6,0
091e476b9c794d019c1660622a3a12f6,d4f85f1570bf4ced82ef64cab4fa68f4,0
d4f85f1570bf4ced82ef64cab4fa68f4,ca856b87daac457ab8b54e03644f4264,0
ca856b87daac457ab8b54e03644f4264,f0d9ed3b227a456f85ef40f79f56e546,0
f0d9ed3b227a456f85ef40f79f56e546,d59550403f9b49628189ff34f74d3b3d,0
d59550403f9b49628189ff34f74d3b3d,432e2e03af924d10b164b60c5fcb86a1,0
432e2e03af924d10b164b60c5fcb86a1,043d02d4e89541cdb2c73ca0d2eca377,0
043d02d4e89541cdb2c73ca0d2eca377,5fe15241fc4840f1a7fb294182265c39,0
5fe15241fc4840f1a7fb294182265c39,043d02d4e89541cdb2c73ca0d2eca377,0
043d02d4e89541cdb2c73ca0d2eca377,f3cfda7ffa804facb0183da6497283a6,0
f3cfda7ffa804facb0183da6497283a6,5fe15241fc4840f1a7fb294182265c39,0
5fe15241fc4840f1a7fb294182265c39,1afa468dc7ce4b91a590366c2a697707,0
1afa468dc7ce4b91a590366c2a697707,c69e8c4f31b84da1819bfbd83719e7d2,0
c69e8c4f31b84da1819bfbd83719e7d2,b30f0577ae11446a85aff7721bcfcf2f,0
b30f0577ae11446a85aff7721bcfcf2f,b6a4f407524b40eeb08d984b32836876,0
b6a4f407524b40eeb08d984b32836876,83df58e45bca4a728eb3dcb87532e1a1,0
83df58e45bca4a728eb3dcb87532e1a1,1a4bb735ff0049dba3a0633edf68276a,0
1a4bb735ff0049dba3a0633edf68276a,7228edcdafd748a8ba059ace1ec6a202,0
7228edcdafd748a8ba059ace1ec6a202,6ad12d818d9a441c87b8c41450b11f12,0
6ad12d818d9a441c87b8c41450b11f12,1afa468dc7ce4b91a590366c2a697707,0
1afa468dc7ce4b91a590366c2a697707,6ad12d818d9a441c87b8c41450b11f12,0
6ad12d818d9a441c87b8c41450b11f12,fc68686f026f4a1c8b21f5339ac0044c,0
fc68686f026f4a1c8b21f5339ac0044c,2afff631870d43df9cf42c91ff1c375f,0
2afff631870d43df9cf42c91ff1c375f,25a120914939487ab01f3e320cb238f4,0
25a120914939487ab01f3e320cb238f4,a8413f2779a14150bf1c83e9f5ea447c,0
a8413f2779a14150bf1c83e9f5ea447c,53b450f515af46c3b1eb571ec6d1fd4c,0
53b450f515af46c3b1eb571ec6d1fd4c,905f0cf9e2374c818bf1263e9d7e2c00,0
905f0cf9e2374c818bf1263e9d7e2c00,8b1109f1bac740fc8974fb4eca386560,0
8b1109f1bac740fc8974fb4eca386560,6ad12d818d9a441c87b8c41450b11f12,0
6ad12d818d9a441c87b8c41450b11f12,d5d74cf927094b04951635356b2c61a0,0
d5d74cf927094b04951635356b2c61a0,c9b70711831043beafffd7e1f034a339,0
c9b70711831043beafffd7e1f034a339,6dfd127f3e874ed3912d3372db0b3d35,0
6dfd127f3e874ed3912d3372db0b3d35,75e15653e2d84fcd84a2b1b2c0949dd0,0
75e15653e2d84fcd84a2b1b2c0949dd0,9e07d9bd17d84172858e4e2d7c7f3e4b,0
9e07d9bd17d84172858e4e2d7c7f3e4b,8b1109f1bac740fc8974fb4eca386560,0
8b1109f1bac740fc8974fb4eca386560,9e07d9bd17d84172858e4e2d7c7f3e4b,0
9e07d9bd17d84172858e4e2d7c7f3e4b,c4cb65c90b7145dca401224eabfa1241,0
c4cb65c90b7145dca401224eabfa1241,043d02d4e89541cdb2c73ca0d2eca377,0
043d02d4e89541cdb2c73ca0d2eca377,9e07d9bd17d84172858e4e2d7c7f3e4b,0
9e07d9bd17d84172858e4e2d7c7f3e4b,c4cb65c90b7145dca401224eabfa1241,0
c4cb65c90b7145dca401224eabfa1241,638d08a4940d462481093ee144f85401,0
638d08a4940d462481093ee144f85401,9e07d9bd17d84172858e4e2d7c7f3e4b,0
9e07d9bd17d84172858e4e2d7c7f3e4b,2ad839c226ab44539d98e2a1e84e439f,0
2ad839c226ab44539d98e2a1e84e439f,9e07d9bd17d84172858e4e2d7c7f3e4b,0
9e07d9bd17d84172858e4e2d7c7f3e4b,c076a6e427c34d0c99c5bb95cbce05e5,0
c076a6e427c34d0c99c5bb95cbce05e5,d96704d24a68401eaad4628b30fdb889,0
d96704d24a68401eaad4628b30fdb889,c076a6e427c34d0c99c5bb95cbce05e5,0
c076a6e427c34d0c99c5bb95cbce05e5,17707229e69e428f8b8350b8c87c157e,0
17707229e69e428f8b8350b8c87c157e,d96704d24a68401eaad4628b30fdb889,0
d96704d24a68401eaad4628b30fdb889,89f61d355af44e16ac1f9654029f89e0,0
89f61d355af44e16ac1f9654029f89e0,3763b9f526ae44f2ac2ac49749c15661,0
3763b9f526ae44f2ac2ac49749c15661,d96704d24a68401eaad4628b30fdb889,0
d96704d24a68401eaad4628b30fdb889,17707229e69e428f8b8350b8c87c157e,0
17707229e69e428f8b8350b8c87c157e,d96704d24a68401eaad4628b30fdb889,0
d96704d24a68401eaad4628b30fdb889,89f61d355af44e16ac1f9654029f89e0,0
89f61d355af44e16ac1f9654029f89e0,49bc2f8db38b47f9b378f26dde2a6e64,0
49bc2f8db38b47f9b378f26dde2a6e64,c7b26f5c177645f8915da5083313c6cf,0
c7b26f5c177645f8915da5083313c6cf,d02f35406ea04ba3a7720453a1f354cc,0
d02f35406ea04ba3a7720453a1f354cc,dd6d0ae279474847af7841a0c0b4d5a5,0
dd6d0ae279474847af7841a0c0b4d5a5,ec173897e6254e50812116be2dc37a94,0
ec173897e6254e50812116be2dc37a94,d5d74cf927094b04951635356b2c61a0,0
d5d74cf927094b04951635356b2c61a0,ec173897e6254e50812116be2dc37a94,0
ec173897e6254e50812116be2dc37a94,043d02d4e89541cdb2c73ca0d2eca377,0
043d02d4e89541cdb2c73ca0d2eca377,c076a6e427c34d0c99c5bb95cbce05e5,0
c076a6e427c34d0c99c5bb95cbce05e5,2ad839c226ab44539d98e2a1e84e439f,0
2ad839c226ab44539d98e2a1e84e439f,49bc2f8db38b47f9b378f26dde2a6e64,0
49bc2f8db38b47f9b378f26dde2a6e64,ac3ba61065f84433a945ac8c71b537f4,0
ac3ba61065f84433a945ac8c71b537f4,ec173897e6254e50812116be2dc37a94,0
ec173897e6254e50812116be2dc37a94,ac3ba61065f84433a945ac8c71b537f4,0
ac3ba61065f84433a945ac8c71b537f4,553c1e0f782e43f492dadd97e6bef776,0
553c1e0f782e43f492dadd97e6bef776,902dff85d0d34920814ee3729329d2d2,0
902dff85d0d34920814ee3729329d2d2,6be9622646964f02a8368b937bd8a304,0
6be9622646964f02a8368b937bd8a304,8460c1a442324bf6a54498d85b28cfe0,0
8460c1a442324bf6a54498d85b28cfe0,c08a68b3db574534a7bee42ec660d1a3,0
c08a68b3db574534a7bee42ec660d1a3,553c1e0f782e43f492dadd97e6bef776,0
553c1e0f782e43f492dadd97e6bef776,2126522cd4b94bd68b2999261978d881,0
2126522cd4b94bd68b2999261978d881,2ad839c226ab44539d98e2a1e84e439f,0
2ad839c226ab44539d98e2a1e84e439f,c076a6e427c34d0c99c5bb95cbce05e5,0
c076a6e427c34d0c99c5bb95cbce05e5,19f5efdd71494972b03a02f445dc98fa,0
