cluster id,user id
5,50251
3,133668
0,1893018
3,4396150
2,4637137
6,5315643
3,5597733
3,5603337
5,5610165
2,6258725
2,6536839
5,7542749
9,7958154
5,10226345
5,11375718
9,11376224
9,11376921
5,11377118
5,11377320
0,11377382
5,11382073
1,11382647
4,11383081
9,11385589
2,11405888
1,11409997
1,11420834
5,11429711
3,11430422
2,11432133
5,11450666
5,11473942
2,11474084
3,11475002
5,11484557
9,11504878
8,11514771
2,11544924
2,11554675
5,11562839
2,11576370
0,11578688
2,11579924
2,11602343
5,11611201
5,11624920
5,11625360
6,11625548
2,11626079
5,11626163
4,11637562
5,11639089
9,11639461
6,11640030
5,11663696
7,11670414
4,11687393
2,11692571
5,11694319
4,11694965
5,11695328
2,11696424
5,11699371
6,11714769
3,11714851
5,11719366
1,11725602
3,11734557
3,11771983
0,11776308
9,11778071
3,11779529
5,11789269
5,11794912
5,11796160
2,11801550
3,11806123
2,11808747
6,11814548
8,11815195
2,11815546
5,11854154
5,11863087
4,11874160
5,11882127
9,11885157
1,11888041
4,11897884
2,11899192
3,11901766
2,11922808
5,11925767
6,11929048
5,11929612
5,11932401
6,11933656
2,11940492
9,11944389
2,11944799
9,11954907
4,11955659
5,11957077
5,11960109
6,11969335
2,11971028
4,11995228
3,12017067
5,12186429
4,12865176
5,13092706
6,13225960
9,13666363
3,13819815
3,14011289
6,14069134
1,14096218
4,14125714
5,14125907
3,14138314
0,14166860
3,14172563
4,14537644
7,15239283
5,15297019
2,15467148
2,15505464
2,15534640
5,15567259
5,15567420
5,15571272
2,15605745
2,15616932
4,15630272
8,15657300
3,15668841
7,15688667
4,15690797
2,15694961
5,15703811
9,15717899
5,15718383
3,15731729
2,15779327
2,15819321
6,15819902
5,15882102
5,15886017
5,15886568
2,15919535
5,15937866
9,16033716
3,16115725
2,16404773
5,16785703
8,16903990
2,17144602
7,17178053
5,17179860
2,17220098
3,17505240
5,17615260
9,18295404
2,18307196
3,18313838
3,18316742
5,18321871
3,18340514
3,18360871
2,18373780
5,18373888
5,18373985
3,18374076
0,18374218
2,18374332
5,18374399
2,18374653
5,18374691
6,18374835
5,18374924
5,18375063
6,18375853
