cluster id,user id
0,3185286
1,3198738
1,4396150
0,5638709
1,6258725
0,7542749
2,8685800
1,10682767
1,11209053
1,11381737
0,11382474
3,11385589
0,11405163
1,11407214
0,11615808
1,11686401
1,11764856
0,11776687
0,11817705
1,11863087
0,11888112
2,11899953
0,11913213
1,11932916
1,11969892
1,13831471
0,14092396
0,15044247
0,15603897
0,15604417
0,15719564
2,15916291
3,16010095
0,17456436
1,18461474
0,18524205
1,18922232
1,19103096
0,19556365
0,19558289
1,20162872
3,20260339
1,20387421
1,20722395
0,20757153
1,21235938
3,21937630
3,22071696
1,22136774
0,22298983
2,22368716
2,22850074
2,22850075
3,22850084
3,22850106
1,22850109
2,22850121
1,22850136
0,22850177
1,22850235
1,22850298
2,22850355
0,22850502
1,22850531
0,22850542
3,22850590
0,22850595
2,22850817
1,22850911
0,22850958
1,22851025
1,22851258
1,22851296
1,22851301
1,22851445
3,22851474
1,22851525
2,22851593
2,22851664
1,22851681
1,22851714
0,22851736
1,22851744
1,22851757
1,22851777
0,22851876
2,22851902
2,22851949
1,22852086
3,22852517
3,22852637
3,22852678
1,22852816
1,22852834
2,22852860
1,22853320
3,22853418
1,22853513
0,22853622
2,22853626
3,22853670
2,22853789
0,22853821
2,22854375
1,22854388
0,22854389
0,22854502
3,22854564
1,22854604
1,22854633
0,22854679
1,22854891
3,22854917
0,22854969
0,22855013
0,22855139
2,22855176
1,22855182
1,22855186
2,22855232
2,22855361
1,22855366
0,22855392
2,22855438
2,22855491
0,22855511
1,22855575
1,22855577
1,22855588
1,22855678
0,22855679
0,22855683
1,22855693
1,22855757
3,22855791
1,22856019
3,22856027
1,22856039
1,22856073
0,22856155
2,22856177
1,22856184
1,22856213
1,22856220
3,22856227
1,22856228
1,22856237
0,22856273
0,22856294
2,22856350
0,22856354
3,22856366
3,22856446
1,22856466
1,22856473
1,22856497
2,22856528
1,22856572
0,22856578
0,22856637
0,22856730
0,22856815
2,22856849
1,22856931
1,22857042
1,22857180
3,22857219
0,22857301
0,22857335
1,22857398
1,22857549
0,22857573
3,22857661
0,22857747
0,22857837
1,22857843
1,22858105
1,22858192
1,22858690
1,22859033
0,22859250
3,22859334
1,22860074
3,22860165
3,22860435
1,22860715
2,22862565
0,22866133
3,22877758
3,22878634
0,22880621
0,22882512
1,22883218
0,22883254
1,22884496
1,22884602
1,22884842
1,22885048
1,22885323
2,22886094
1,22886186
0,22886492
0,22886652
1,22886946
1,22887025
0,22887498
1,22887794
0,22888374
1,22889201
1,22889244
3,22889675
1,22890823
0,22890827
2,22891963
3,22899445
2,22899628
1,22900204
0,22900214
0,22900437
1,22900463
0,22900468
0,22900626
2,22900813
1,22900977
2,22901385
1,22901585
0,22901783
2,22901966
2,22902417
1,22902623
1,22903543
0,22905304
1,22906796
1,22908148
2,22909863
1,22913375
1,22916934
1,22924037
3,22928179
0,22930920
0,23023961
