cluster id,user id
1,3185286
4,3198738
4,4396150
0,5638709
1,6258725
3,7542749
0,8685800
1,10682767
1,11209053
1,11381737
1,11382474
4,11385589
4,11405163
1,11407214
1,11615808
1,11686401
1,11764856
1,11776687
1,11817705
1,11863087
1,11888112
2,11899953
1,11913213
1,11932916
1,11969892
1,13831471
0,14092396
0,15044247
0,15603897
1,15604417
0,15719564
2,15916291
4,16010095
4,17456436
1,18461474
2,18524205
1,18922232
1,19103096
1,19556365
0,19558289
1,20162872
3,20260339
0,20387421
1,20722395
0,20757153
1,21235938
4,21937630
3,22071696
0,22136774
0,22298983
2,22368716
2,22850074
4,22850075
3,22850084
4,22850106
1,22850109
2,22850121
0,22850136
4,22850177
1,22850235
0,22850298
2,22850355
0,22850502
1,22850531
3,22850542
3,22850590
1,22850595
4,22850817
1,22850911
1,22850958
0,22851025
1,22851258
0,22851296
0,22851301
1,22851445
3,22851474
1,22851525
4,22851593
4,22851664
0,22851681
1,22851714
0,22851736
4,22851744
1,22851757
4,22851777
0,22851876
2,22851902
2,22851949
1,22852086
3,22852517
4,22852637
3,22852678
4,22852816
0,22852834
2,22852860
1,22853320
4,22853418
1,22853513
0,22853622
2,22853626
3,22853670
2,22853789
0,22853821
2,22854375
1,22854388
0,22854389
2,22854502
4,22854564
1,22854604
1,22854633
1,22854679
1,22854891
3,22854917
1,22854969
1,22855013
4,22855139
2,22855176
1,22855182
1,22855186
2,22855232
2,22855361
1,22855366
4,22855392
2,22855438
2,22855491
1,22855511
0,22855575
1,22855577
1,22855588
1,22855678
2,22855679
0,22855683
0,22855693
1,22855757
3,22855791
1,22856019
3,22856027
1,22856039
1,22856073
4,22856155
2,22856177
0,22856184
1,22856213
1,22856220
3,22856227
1,22856228
1,22856237
1,22856273
1,22856294
2,22856350
1,22856354
3,22856366
3,22856446
1,22856466
1,22856473
1,22856497
2,22856528
1,22856572
1,22856578
2,22856637
1,22856730
4,22856815
2,22856849
1,22856931
1,22857042
4,22857180
3,22857219
1,22857301
2,22857335
1,22857398
1,22857549
0,22857573
3,22857661
4,22857747
0,22857837
1,22857843
1,22858105
1,22858192
0,22858690
1,22859033
3,22859250
4,22859334
0,22860074
3,22860165
4,22860435
1,22860715
2,22862565
1,22866133
3,22877758
3,22878634
0,22880621
4,22882512
1,22883218
1,22883254
1,22884496
1,22884602
0,22884842
1,22885048
1,22885323
2,22886094
1,22886186
0,22886492
4,22886652
1,22886946
1,22887025
4,22887498
0,22887794
2,22888374
1,22889201
1,22889244
3,22889675
0,22890823
1,22890827
2,22891963
3,22899445
4,22899628
1,22900204
0,22900214
4,22900437
1,22900463
3,22900468
2,22900626
0,22900813
1,22900977
2,22901385
0,22901585
3,22901783
0,22901966
2,22902417
1,22902623
0,22903543
3,22905304
0,22906796
1,22908148
0,22909863
0,22913375
1,22916934
1,22924037
3,22928179
2,22930920
0,23023961
