id,percent_grade,date_joined,enroll_created_date,cert_status,certGrp
22851474,0.23,3/8/2019 4:58,3/8/2019 5:06,,Not certified (> 65% Grade)
22851525,0.34,3/8/2019 5:05,3/8/2019 5:08,,Not certified (> 65% Grade)
22851593,0.26,3/8/2019 5:15,3/8/2019 5:15,,Not certified (> 65% Grade)
22851664,0.24,3/8/2019 5:23,3/8/2019 5:24,,Not certified (> 65% Grade)
22851681,0.17,3/8/2019 5:26,3/8/2019 5:26,,Not certified (> 65% Grade)
22851714,0.25,3/8/2019 5:31,3/8/2019 5:32,,Not certified (> 65% Grade)
22851736,0.02,3/8/2019 5:35,3/8/2019 5:35,,Not certified (> 65% Grade)
22851744,0.47,3/8/2019 5:36,3/8/2019 5:37,,Not certified (> 65% Grade)
22851777,0.56,3/8/2019 5:41,3/8/2019 5:41,,Not certified (> 65% Grade)
22851902,0.24,3/8/2019 6:02,3/8/2019 6:03,,Not certified (> 65% Grade)
22851876,0.17,3/8/2019 5:58,3/8/2019 6:05,,Not certified (> 65% Grade)
22851949,0.46,3/8/2019 6:09,3/8/2019 6:10,,Not certified (> 65% Grade)
22852086,0.12,3/8/2019 6:28,3/8/2019 6:28,,Not certified (> 65% Grade)
22852517,0.69,3/8/2019 7:34,3/8/2019 7:38,Pass,Certified (< 65% Grade)
22852637,0.7,3/8/2019 7:54,3/8/2019 7:55,Pass,Certified (< 65% Grade)
22852678,0.66,3/8/2019 8:03,3/8/2019 8:04,Pass,Certified (< 65% Grade)
22852816,0.57,3/8/2019 8:26,3/8/2019 8:27,,Not certified (> 65% Grade)
22852834,0.05,3/8/2019 8:28,3/8/2019 8:29,,Not certified (> 65% Grade)
22852860,0.69,3/8/2019 8:32,3/8/2019 8:32,Pass,Certified (< 65% Grade)
22853320,0.4,3/8/2019 9:36,3/8/2019 9:37,,Not certified (> 65% Grade)
22853418,0.54,3/8/2019 9:49,3/8/2019 9:50,,Not certified (> 65% Grade)
22853513,0.39,3/8/2019 10:04,3/8/2019 10:04,,Not certified (> 65% Grade)
22853622,0.02,3/8/2019 10:21,3/8/2019 10:22,,Not certified (> 65% Grade)
22853626,0.28,3/8/2019 10:22,3/8/2019 10:23,,Not certified (> 65% Grade)
22853789,0.47,3/8/2019 10:44,3/8/2019 10:45,,Not certified (> 65% Grade)
22853821,0.09,3/8/2019 10:48,3/8/2019 10:49,,Not certified (> 65% Grade)
22851757,0.3,3/8/2019 5:37,3/8/2019 10:49,,Not certified (> 65% Grade)
5638709,0.02,10/27/2014 10:25,3/8/2019 11:54,,Not certified (> 65% Grade)
22854375,0.55,3/8/2019 12:08,3/8/2019 12:10,,Not certified (> 65% Grade)
22854388,0.39,3/8/2019 12:10,3/8/2019 12:10,,Not certified (> 65% Grade)
22854389,0.05,3/8/2019 12:10,3/8/2019 12:11,,Not certified (> 65% Grade)
22854502,0.62,3/8/2019 12:25,3/8/2019 12:27,,Not certified (> 65% Grade)
22854604,0.39,3/8/2019 12:39,3/8/2019 12:40,,Not certified (> 65% Grade)
22854564,0.54,3/8/2019 12:34,3/8/2019 12:40,,Not certified (> 65% Grade)
