"from","to","stds","weight","dis","sl"
"00f61990949545828dd12f1303d47504","2ae94c0cea4d480a9d5dca8fb1d7b542",13,15,-14,0
"00f61990949545828dd12f1303d47504","3434c10e561d488a914e0f7d71907abd",1,1,49,0
"00f61990949545828dd12f1303d47504","41b0048dde734bb280bac6116baa8e27",8,8,3,0
"00f61990949545828dd12f1303d47504","4a29443515bb404cb8924e1c60a63b73",2,2,29,0
"00f61990949545828dd12f1303d47504","66baf19b6b904b70922329068c63746d",1,1,120,0
"00f61990949545828dd12f1303d47504","67a089198fcb4e1c8f2385786c2b296f",1,1,-217,0
"00f61990949545828dd12f1303d47504","6e83e23f56544a19b94067c1c558d9c0",115,156,-9,0
"00f61990949545828dd12f1303d47504","7028800abe7d4e27b613d1d6cbe26bf7",1,1,11,0
"00f61990949545828dd12f1303d47504","78adeee1fa2c4fe0bc73f7bca9fcee86",2,2,-96,0
"00f61990949545828dd12f1303d47504","7aa76d3e993840d8805f097cbdbcd44b",2,2,5,0
"00f61990949545828dd12f1303d47504","8d7e0b55cf9849cda222a0f2440cec55",1,1,62,0
"00f61990949545828dd12f1303d47504","94cecc3f1e7d484b8e068e79241dfd73",2,2,25,0
"00f61990949545828dd12f1303d47504","b41c5a094a604ee0915327da5cc0beb7",3,3,4,0
"00f61990949545828dd12f1303d47504","d546341988904f069cfa86b21457d9d9",64,103,-5,0
"00f61990949545828dd12f1303d47504","d6d02b6ef04e4f17805504500b8ce441",3,3,119,0
"00f61990949545828dd12f1303d47504","d989ebcfc12a4b669f0100dc1aa14f1e",23,30,-1,0
"00f61990949545828dd12f1303d47504","df1de691dafe4549a18a4398ee9dfaf9",1,1,-117,0
"00f61990949545828dd12f1303d47504","ead7bb4b64e247d2ae632ab8a296b091",174,174,2,0
"00f61990949545828dd12f1303d47504","fa235f0f364d47e4ae1c87f47bf8e6ba",8,9,-4,0
"00f61990949545828dd12f1303d47504","fab84b4fab5940efb4ea868ef8d09396",1,1,28,0
"017d7ca8e0394b91aaadc9574df2202c","017d7ca8e0394b91aaadc9574df2202c",3,4,0,1
"017d7ca8e0394b91aaadc9574df2202c","07b44a7a51e94c78b411c753fc39dab0",5,5,-4,0
"017d7ca8e0394b91aaadc9574df2202c","0c7262dff33c4087bc660ccf40f92f9c",3,6,-24,0
"017d7ca8e0394b91aaadc9574df2202c","1c6721b1f63f4d30ba7746ea8af02a52",2,2,28,0
"017d7ca8e0394b91aaadc9574df2202c","2ae94c0cea4d480a9d5dca8fb1d7b542",1,1,49,0
"017d7ca8e0394b91aaadc9574df2202c","334c2344009840079b1d0e1b7ce3d5a7",7,7,12,0
"017d7ca8e0394b91aaadc9574df2202c","5152833676bf4c6cb317060be10f68db",1,1,35,0
"017d7ca8e0394b91aaadc9574df2202c","54e8e9f0ea3e45c4bf3b8ac799ee31b1",203,204,7,0
"017d7ca8e0394b91aaadc9574df2202c","6cd2dcaac46847d4a0bc53f296d90375",14,17,1,0
"017d7ca8e0394b91aaadc9574df2202c","7d932b23e1c84326ae5aa4d3c0d813d1",1,1,-5,0
"017d7ca8e0394b91aaadc9574df2202c","a6c21bd8b95249c7972820a7a7d76aff",8,8,9,0
"017d7ca8e0394b91aaadc9574df2202c","a875096404ef4a9984b62d74cda916f9",1,1,16,0
"017d7ca8e0394b91aaadc9574df2202c","a9ac840f098c4bd0a2ee896214ce29cd",1,1,-25,0
"017d7ca8e0394b91aaadc9574df2202c","ab11d94c6c8948ea90b88f19d2cd502b",13,16,-3,0
"017d7ca8e0394b91aaadc9574df2202c","bb329d880ab54120adaf203a693bb203",20,23,10,0
"017d7ca8e0394b91aaadc9574df2202c","c614a00911be4877a075f19315530fb0",2,2,8,0
"017d7ca8e0394b91aaadc9574df2202c","c8e371568a0c4391b25796ae4e91952e",27,34,-7,0
"017d7ca8e0394b91aaadc9574df2202c","d5e8e2bd12a2466b9d6d90855f0eb079",1,1,5,0
"017d7ca8e0394b91aaadc9574df2202c","d7f13c8d63ec4e2aa673fbb9cf9c6933",3,3,13,0
"017d7ca8e0394b91aaadc9574df2202c","f9170dd6bc6442b4acd832747609b09a",61,93,6,0
"017d7ca8e0394b91aaadc9574df2202c","f992451ed6ad4e68bb9e68ad6be7c4be",1,1,-1,0
"01b2051f8941460d89945e3b02d1ce78","09400e101c5d4b439cf9a26b03aae558",3,3,-7,0
"01b2051f8941460d89945e3b02d1ce78","0c7262dff33c4087bc660ccf40f92f9c",6,6,-48,0
"01b2051f8941460d89945e3b02d1ce78","1c6721b1f63f4d30ba7746ea8af02a52",26,30,4,0
"01b2051f8941460d89945e3b02d1ce78","309ccf3cc4fe429d9bfbaef53d3fa479",1,1,-157,0
"01b2051f8941460d89945e3b02d1ce78","363837c182e04711840d896ae1e0339c",12,13,1,0
"01b2051f8941460d89945e3b02d1ce78","4a29443515bb404cb8924e1c60a63b73",1,1,68,0
"01b2051f8941460d89945e3b02d1ce78","6e83e23f56544a19b94067c1c558d9c0",1,1,30,0
"01b2051f8941460d89945e3b02d1ce78","7108f0e4c2584f1f9c471689ae4c885c",1,1,-9,0
"01b2051f8941460d89945e3b02d1ce78","91125ca626c5470eb145501f8c37f8db",181,188,3,0
"01b2051f8941460d89945e3b02d1ce78","b860ee85d8bc4a2f97958cfb71be3533",1,1,-1,0
"01b2051f8941460d89945e3b02d1ce78","be502a7a43c44bf7b682698de79d9369",14,18,-3,0
"01b2051f8941460d89945e3b02d1ce78","be95c065e45447c1bd8215ea6f130c7a",23,25,2,0
"01b2051f8941460d89945e3b02d1ce78","d7f13c8d63ec4e2aa673fbb9cf9c6933",46,66,-11,0
"01b2051f8941460d89945e3b02d1ce78","ec341f459285443b8361f7f15638ff08",4,5,-4,0
"01b2051f8941460d89945e3b02d1ce78","f7fb1952f56b4189b86a9f8b7862d2b8",11,12,-2,0
"02b3a1bead9244c1ba2f857c7da8f82a","02b3a1bead9244c1ba2f857c7da8f82a",145,338,0,1
"02b3a1bead9244c1ba2f857c7da8f82a","1fd0f6dadbc14ebc965faf6122190b96",5,5,7,0
"02b3a1bead9244c1ba2f857c7da8f82a","24cf8786024543f19b89bc20034e60d7",1,1,20,0
"02b3a1bead9244c1ba2f857c7da8f82a","2add1669f08d4101913db15f8c23b3b7",2,2,8,0
"02b3a1bead9244c1ba2f857c7da8f82a","2b09a08242b54983aec7063990fb3f66",20,23,-8,0
"02b3a1bead9244c1ba2f857c7da8f82a","33a9d248b2e44588a5b07fc1342b9bc2",13,17,3,0
"02b3a1bead9244c1ba2f857c7da8f82a","3434c10e561d488a914e0f7d71907abd",1,1,-103,0
"02b3a1bead9244c1ba2f857c7da8f82a","3c8a22d2f9c146ea956609e3ed4f2559",3,3,-3,0
"02b3a1bead9244c1ba2f857c7da8f82a","58fc9094275e4c49be3f4ba6d4acc0a4",84,115,-2,0
"02b3a1bead9244c1ba2f857c7da8f82a","6206fc6479014bb193084c32409dc1b9",167,175,1,0
"02b3a1bead9244c1ba2f857c7da8f82a","66baf19b6b904b70922329068c63746d",7,7,-32,0
"02b3a1bead9244c1ba2f857c7da8f82a","67a089198fcb4e1c8f2385786c2b296f",1,1,-369,0
"02b3a1bead9244c1ba2f857c7da8f82a","687055dad9fc40c3982478fe33ec01bf",3,3,6,0
"02b3a1bead9244c1ba2f857c7da8f82a","6a5f020451db426dacba9e2ea3fcc62a",184,265,2,0
"02b3a1bead9244c1ba2f857c7da8f82a","901e92500aea43c79f19f1b279050668",1,1,34,0
"02b3a1bead9244c1ba2f857c7da8f82a","9428d8bd9c5a47b2a235b254e5e27ded",1,1,44,0
"02b3a1bead9244c1ba2f857c7da8f82a","a2b4bd40cee2481ebd3fc179d6a5cd62",1,1,9,0
"02b3a1bead9244c1ba2f857c7da8f82a","b2f0d654738f48158edff28e8d3a546e",1,1,41,0
"02b3a1bead9244c1ba2f857c7da8f82a","bec48fc2e1294c7eb3d0aca780d731b8",1,1,12,0
"02b3a1bead9244c1ba2f857c7da8f82a","c1c1be90b2b14c1ab4a5e1ee3c241902",1,1,-1,0
"02b3a1bead9244c1ba2f857c7da8f82a","c6f26bd420634f1cb7989e76fe6b16c0",1,1,4,0
"0380cd76a7d44bc3a4da1f15e4d68f89","0380cd76a7d44bc3a4da1f15e4d68f89",162,410,0,1
"0380cd76a7d44bc3a4da1f15e4d68f89","070600601c4c439288445d2f0724807d",106,147,-3,0
"0380cd76a7d44bc3a4da1f15e4d68f89","1823b6de7d334a7aaabc4570719af4d9",22,24,-1,0
