id,percent_grade,date_joined,enroll_created_date,cert_status,in_analysis
a527288,0.38,08/23/2016 22:41,03/08/2019 01:31,,1
a683297,0.02,08/14/2017 13:53,03/08/2019 01:31,,1
a582611,0.4,07/22/2016 12:46,03/08/2019 01:31,,1
a809908,0.02,09/17/2018 17:15,03/08/2019 01:31,,1
a654118,0.34,08/16/2016 20:59,03/08/2019 01:31,,1
a712103,0.62,01/08/2018 20:45,03/08/2019 01:31,,1
a176674,0.47,01/11/2014 18:23,03/08/2019 01:31,,1
a745349,0.39,07/25/2016 11:51,03/08/2019 01:31,,1
a328604,0.08,09/07/2016 01:13,03/08/2019 01:31,,1
a730811,0.54,08/29/2016 20:42,03/08/2019 01:31,,1
a189465,0.47,07/25/2016 15:41,03/08/2019 01:31,,1
a319863,0.07,01/13/2019 05:38,03/08/2019 01:31,,1
a253088,0.13,08/20/2018 18:07,03/08/2019 01:31,,1
a397198,0.39,09/10/2016 23:05,03/08/2019 01:31,,1
a172176,0.44,09/08/2016 19:30,03/08/2019 01:31,,1
a793194,0.54,04/17/2018 17:00,03/08/2019 01:31,,1
a946853,0,12/18/2017 17:28,03/08/2019 01:31,,0
a607739,0.28,09/07/2017 16:04,03/08/2019 01:31,,1
a624516,0.38,01/30/2019 16:49,03/08/2019 01:31,,1
a475557,0.5,09/09/2016 17:12,03/08/2019 01:31,,1
a888618,0.39,07/07/2015 01:16,03/08/2019 01:31,,1
a269733,0.26,05/27/2014 22:34,03/08/2019 01:31,,1
a572399,0,07/25/2016 19:33,03/08/2019 01:31,,0
a735831,0.39,09/12/2016 19:44,03/08/2019 01:31,,1
a820511,0.16,10/23/2018 21:23,03/08/2019 01:31,,1
a458997,0.05,08/30/2016 18:08,03/08/2019 01:31,,1
a253771,0.17,07/05/2016 17:53,03/08/2019 01:31,,1
a241708,0.35,08/02/2018 17:37,03/08/2019 01:31,,1
a533641,0.02,08/23/2017 19:52,03/08/2019 01:31,,1
a818027,0.47,06/12/2018 16:46,03/08/2019 01:31,,1
a888130,0.08,01/21/2015 19:00,03/08/2019 01:31,,1
a195820,0.32,08/14/2017 14:44,03/08/2019 01:31,,1
a415289,0.02,06/12/2018 19:38,03/08/2019 01:31,,1
a913968,0.58,09/14/2018 15:18,03/08/2019 01:31,,1
a714084,0.16,09/14/2017 04:55,03/08/2019 01:31,,1
a858127,0.41,01/13/2014 15:38,03/08/2019 01:31,,1
a710266,0.46,03/20/2018 02:05,03/08/2019 01:31,,1
a119809,0.45,07/22/2016 19:23,03/08/2019 01:31,,1
a779439,0.31,07/22/2016 10:53,03/08/2019 01:31,,1
a512149,0.44,05/03/2018 01:02,03/08/2019 01:31,,1
a923424,0.38,12/28/2018 04:59,03/08/2019 01:31,,1
a955900,0.47,08/10/2018 09:31,03/08/2019 01:31,,1
a156718,0.54,09/15/2016 17:23,03/08/2019 01:31,,1
a403988,0.28,03/15/2018 03:47,03/08/2019 01:31,,1
a884154,0.23,01/08/2019 11:08,03/08/2019 01:31,,1
a506218,0.57,03/08/2019 01:35,03/08/2019 01:35,,1
a421417,0.28,03/08/2019 01:35,03/08/2019 01:36,,1
a342376,0.53,03/08/2019 01:36,03/08/2019 01:37,,1
a471583,0.58,03/08/2019 01:38,03/08/2019 01:39,,1
a219482,0.43,03/08/2019 01:39,03/08/2019 01:39,,1
a972944,0.58,03/08/2019 01:40,03/08/2019 01:40,,1
a163732,0.16,03/08/2019 01:42,03/08/2019 01:42,,1
a182569,0.66,03/08/2019 01:48,03/08/2019 01:49,Pass,1
a333843,0.46,03/08/2019 01:57,03/08/2019 01:58,,1
a373523,0.16,03/08/2019 02:06,03/08/2019 02:11,,1
a429127,0.66,03/08/2019 02:16,03/08/2019 02:16,Pass,1
a202700,0.02,03/08/2019 02:35,03/08/2019 02:39,,1
a433881,0.45,03/08/2019 02:38,03/08/2019 02:40,,1
a797034,0.34,03/08/2019 02:40,03/08/2019 02:40,,1
a471709,0.58,03/08/2019 02:46,03/08/2019 02:47,,1
a367418,0.28,03/08/2019 02:47,03/08/2019 02:49,,1
a904442,0.39,03/08/2019 03:17,03/08/2019 03:18,,1
a866344,0,08/28/2013 13:34,03/08/2019 03:32,,0
a408399,0.51,03/08/2019 03:39,03/08/2019 03:39,,1
a389737,0.02,03/08/2019 03:47,03/08/2019 03:48,,1
a279626,0.62,03/08/2019 03:32,03/08/2019 03:49,,1
a832707,0.46,03/08/2019 04:24,03/08/2019 04:28,,1
a416414,0.04,03/08/2019 04:30,03/08/2019 04:31,,1
a875136,0.14,03/08/2019 04:31,03/08/2019 04:31,,1
a182365,0.49,03/08/2019 04:53,03/08/2019 04:56,,1
a980309,0.23,03/08/2019 04:58,03/08/2019 05:06,,1
a756212,0.34,03/08/2019 05:05,03/08/2019 05:08,,1
a440430,0.26,03/08/2019 05:15,03/08/2019 05:15,,1
a198534,0.24,03/08/2019 05:23,03/08/2019 05:24,,1
a996656,0.17,03/08/2019 05:26,03/08/2019 05:26,,1
a875339,0.25,03/08/2019 05:31,03/08/2019 05:32,,1
a905776,0.02,03/08/2019 05:35,03/08/2019 05:35,,1
a983568,0.47,03/08/2019 05:36,03/08/2019 05:37,,1
a575663,0.56,03/08/2019 05:41,03/08/2019 05:41,,1
a265833,0.24,03/08/2019 06:02,03/08/2019 06:03,,1
a194270,0.17,03/08/2019 05:58,03/08/2019 06:05,,1
a626451,0.46,03/08/2019 06:09,03/08/2019 06:10,,1
a173490,0.12,03/08/2019 06:28,03/08/2019 06:28,,1
a791537,0.69,03/08/2019 07:34,03/08/2019 07:38,Pass,1
a364716,0.7,03/08/2019 07:54,03/08/2019 07:55,Pass,1
a565874,0.66,03/08/2019 08:03,03/08/2019 08:04,Pass,1
a691711,0.57,03/08/2019 08:26,03/08/2019 08:27,,1
a931471,0.05,03/08/2019 08:28,03/08/2019 08:29,,1
a594573,0.69,03/08/2019 08:32,03/08/2019 08:32,Pass,1
a751969,0.4,03/08/2019 09:36,03/08/2019 09:37,,1
a471166,0.54,03/08/2019 09:49,03/08/2019 09:50,,1
a538920,0.39,03/08/2019 10:04,03/08/2019 10:04,,1
a784275,0.02,03/08/2019 10:21,03/08/2019 10:22,,1
a306414,0.28,03/08/2019 10:22,03/08/2019 10:23,,1
a399957,0.47,03/08/2019 10:44,03/08/2019 10:45,,1
a543850,0.09,03/08/2019 10:48,03/08/2019 10:49,,1
