"name","courseID","mod_type","order","chpModPar","seqModPar","vrtModPar","stds","count"
"b613861cecf84ffcab01afb23f660475","MITxPRO+LASERxB1+1T2019","problem",1,"41ad78dff2594088a4eb8b6b7ce406f3","c1b52a1ef69a404ea9132e95ad25093a","4aea5151404640ac8ebe81deff85def0",241,1610
"e2911e79efc2420eac45d9f671463d4b","MITxPRO+LASERxB1+1T2019","problem",2,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,1686
"519d1b8c59404d67b54e96c5c8a830b2","MITxPRO+LASERxB1+1T2019","problem",3,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,592
"531db53f81f646edb0cdcfe0085b03b7","MITxPRO+LASERxB1+1T2019","problem",4,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,566
"4f5f94b2f95141e0a9d53a61da2276da","MITxPRO+LASERxB1+1T2019","problem",5,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,571
"6d541c89590949f99af293c4f2333f67","MITxPRO+LASERxB1+1T2019","problem",6,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,546
"dd5cf0b9fe4c4f1d8f5ff8e4c04879cb","MITxPRO+LASERxB1+1T2019","problem",7,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,615
"f96261861edc426abe2248be4f0a709a","MITxPRO+LASERxB1+1T2019","problem",8,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,608
"66b5e16f4f75454fb5b8172079f0fa83","MITxPRO+LASERxB1+1T2019","problem",9,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,601
"0680571d4698477995e41842c36a54b2","MITxPRO+LASERxB1+1T2019","problem",10,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,597
"9112f2bffece48e08c6d2287be204085","MITxPRO+LASERxB1+1T2019","problem",11,"41ad78dff2594088a4eb8b6b7ce406f3","c07316dff77348caa08e94ddaed4bec3","0a393e10d08c453ea9659c51826bd65e",241,625
"56586aa865414f538729c7f7735d2bc6","MITxPRO+LASERxB1+1T2019","video",12,"41ad78dff2594088a4eb8b6b7ce406f3","ff431411da1d4bb1ab793e366c040c22","a8de6a7bd30a4d199199e9fdd3b2e0f2",241,2831
"b7f2b31585d94eb3bf86376714aa7070","MITxPRO+LASERxB1+1T2019","video",13,"41ad78dff2594088a4eb8b6b7ce406f3","ff431411da1d4bb1ab793e366c040c22","81f6688cafb74a9bad7355c1ae6be8b2",232,1243
"3f1c815879794b929260d224becaff7e","MITxPRO+LASERxB1+1T2019","html",14,"41ad78dff2594088a4eb8b6b7ce406f3","ff431411da1d4bb1ab793e366c040c22","96cd39646c4949cea85b7da09a3bccd5",223,421
"81c864a886d54a6b8ff85f7d736f4f95","MITxPRO+LASERxB1+1T2019","video",15,"41ad78dff2594088a4eb8b6b7ce406f3","ff431411da1d4bb1ab793e366c040c22","2fb5b5623552495580e2edbbad6bc942",215,319
