id,x,y,courseID,mod_type,order,stds,count,chapterModLabel,In-Degree,Out-Degree,Degree
b613861cecf84ffcab01afb23f660475,-882.02423f,2054.1257f,MITxPRO+LASERxB1+1T2019,problem,1,241,1610,Week 0: Get Started (40 min),22,23,45
e2911e79efc2420eac45d9f671463d4b,-758.68823f,2250.8474f,MITxPRO+LASERxB1+1T2019,problem,2,241,1686,Week 0: Get Started (40 min),23,21,44
519d1b8c59404d67b54e96c5c8a830b2,-902.5562f,2516.3157f,MITxPRO+LASERxB1+1T2019,problem,3,241,592,Week 0: Get Started (40 min),5,7,12
531db53f81f646edb0cdcfe0085b03b7,-943.9201f,2620.5632f,MITxPRO+LASERxB1+1T2019,problem,4,241,566,Week 0: Get Started (40 min),5,5,10
4f5f94b2f95141e0a9d53a61da2276da,-963.7683f,2726.7637f,MITxPRO+LASERxB1+1T2019,problem,5,241,571,Week 0: Get Started (40 min),5,8,13
6d541c89590949f99af293c4f2333f67,-938.30414f,2832.7026f,MITxPRO+LASERxB1+1T2019,problem,6,241,546,Week 0: Get Started (40 min),5,7,12
dd5cf0b9fe4c4f1d8f5ff8e4c04879cb,-854.4911f,2909.4714f,MITxPRO+LASERxB1+1T2019,problem,7,241,615,Week 0: Get Started (40 min),8,8,16
f96261861edc426abe2248be4f0a709a,-735.36957f,2890.4758f,MITxPRO+LASERxB1+1T2019,problem,8,241,608,Week 0: Get Started (40 min),8,6,14
66b5e16f4f75454fb5b8172079f0fa83,-662.53107f,2803.362f,MITxPRO+LASERxB1+1T2019,problem,9,241,601,Week 0: Get Started (40 min),6,6,12
0680571d4698477995e41842c36a54b2,-636.71423f,2694.941f,MITxPRO+LASERxB1+1T2019,problem,10,241,597,Week 0: Get Started (40 min),5,6,11
9112f2bffece48e08c6d2287be204085,-636.78925f,2572.013f,MITxPRO+LASERxB1+1T2019,problem,11,241,625,Week 0: Get Started (40 min),8,7,15
56586aa865414f538729c7f7735d2bc6,-530.782f,2068.7922f,MITxPRO+LASERxB1+1T2019,video,12,241,2831,Week 0: Get Started (40 min),30,24,54
b7f2b31585d94eb3bf86376714aa7070,-411.85645f,2177.3916f,MITxPRO+LASERxB1+1T2019,video,13,232,1243,Week 0: Get Started (40 min),7,8,15
3f1c815879794b929260d224becaff7e,-289.77197f,2154.0527f,MITxPRO+LASERxB1+1T2019,html,14,223,421,Week 0: Get Started (40 min),8,13,21
81c864a886d54a6b8ff85f7d736f4f95,-264.0443f,2040.4062f,MITxPRO+LASERxB1+1T2019,video,15,215,319,Week 0: Get Started (40 min),5,6,11
eb2a0eb537344a9e891c761662e400b6,-158.67128f,1910.0199f,MITxPRO+LASERxB1+1T2019,html,16,64,141,Week 0: Get Started (40 min),11,8,19
5c5ceeee4562457ba6d41515aeebfbb1,-342.94745f,1975.0068f,MITxPRO+LASERxB1+1T2019,video,17,226,881,Week 0: Get Started (40 min),9,10,19
9afd71a5298d4333b6849dfce1b9422c,-462.9938f,1661.4784f,MITxPRO+LASERxB1+1T2019,html,18,228,1087,Week 0: Get Started (40 min),20,18,38
daf8890a3c354459b8a962529aceb072,-699.2249f,1571.3026f,MITxPRO+LASERxB1+1T2019,html,19,6,22,Week 0: Get Started (40 min),1,2,3
b7719e26494940efa49512aedd0aac79,-390.83884f,1127.1227f,MITxPRO+LASERxB1+1T2019,html,20,227,1707,Week 0: Get Started (40 min),37,26,63
a49d1bb4328949299686242fd0be5584,-240.51755f,1250.1812f,MITxPRO+LASERxB1+1T2019,html,21,117,429,Week 0: Get Started (40 min),20,7,27
d4c3b003e8274e429d2fa688d73fde6d,-494.42987f,1303.4738f,MITxPRO+LASERxB1+1T2019,video,22,220,1079,Week 0: Get Started (40 min),8,18,26
b3323dfcc2d246d599e1c43b6be7751c,-884.5601f,1250.509f,MITxPRO+LASERxB1+1T2019,html,23,2,6,Week 0: Get Started (40 min),1,0,1
d4f45188d3c84a02ba08454e6403a818,-376.77124f,1319.816f,MITxPRO+LASERxB1+1T2019,lti_consumer,24,222,601,Week 0: Get Started (40 min),6,11,17
a8f52a1637e44afd96e621bf9efb473f,-879.8314f,50.034958f,MITxPRO+LASERxB1+1T2019,html,25,1,1,Week 0: Get Started (40 min),0,0,0
5bc03c8f16354d04bd51f5bb93559ad3,-493.14594f,1423.5538f,MITxPRO+LASERxB1+1T2019,lti_consumer,26,50,57,Week 0: Get Started (40 min),2,2,4
a23ae40d7a9e4ee4828cc06415a3218c,29.82773f,760.49097f,MITxPRO+LASERxB1+1T2019,html,27,17,42,Week 0: Get Started (40 min),5,3,8
afbf7250b99d47bea07172749483ca97,-359.86566f,937.4222f,MITxPRO+LASERxB1+1T2019,html,28,226,879,Week 0: Get Started (40 min),9,13,22
4e51676dc72045d99c19b9fa7b22f8bc,-355.377f,754.9117f,MITxPRO+LASERxB1+1T2019,html,29,223,1133,Week 0: Get Started (40 min),12,11,23
78ff5a07ecb5453ca82361aabca7c5ba,940.52094f,-836.07135f,MITxPRO+LASERxB1+1T2019,html,30,0,0,Week 0: Get Started (40 min),0,0,0
51970cfa30e643e894e66ae85c8024cc,-310.136f,666.89703f,MITxPRO+LASERxB1+1T2019,html,31,223,337,Week 0: Get Started (40 min),3,4,7
c9c52446b6294aa5a9c2abaed536c37e,-526.22876f,755.1157f,MITxPRO+LASERxB1+1T2019,html,32,37,51,Week 0: Get Started (40 min),6,4,10
0c253dd0ca8e4fc3893a27d753757ef5,-454.7823f,1017.62665f,MITxPRO+LASERxB1+1T2019,html,33,0,0,Week 0: Get Started (40 min),0,0,0
c33c17be71ae4d588da7369472e5bb1b,-406.7097f,565.7859f,MITxPRO+LASERxB1+1T2019,html,34,224,824,Week 0: Get Started (40 min),19,17,36
93679be414554a11b1893002f2229a93,-534.9566f,524.1879f,MITxPRO+LASERxB1+1T2019,html,35,222,724,Week 0: Get Started (40 min),7,7,14
7040a13096d746ac84b8fac8d9752058,-647.9163f,513.15f,MITxPRO+LASERxB1+1T2019,html,36,223,719,Week 0: Get Started (40 min),8,8,16
9a0dc646f934470daf08c4b56ccf73db,-760.65265f,529.37463f,MITxPRO+LASERxB1+1T2019,html,37,222,739,Week 0: Get Started (40 min),7,8,15
fc0e049d56024bc9a02c9a9c435c3df7,-889.0196f,563.16693f,MITxPRO+LASERxB1+1T2019,html,38,222,873,Week 0: Get Started (40 min),14,16,30
67a089198fcb4e1c8f2385786c2b296f,-1344.4308f,615.0425f,MITxPRO+LASERxB1+1T2019,html,39,235,1956,Week 1: Strategy (2.5 hrs),77,54,131
64d48c6c9c7940639a932219a6c87198,-1236.0428f,831.5842f,MITxPRO+LASERxB1+1T2019,video,40,231,1320,Week 1: Strategy (2.5 hrs),3,36,39
