id,percent_grade,date_joined,enroll_created_date,cert_status,certGrp
14172563,0.65,3/24/2017 14:25,3/8/2018 17:31,Pass,Not certified (> 70% Grade)
18373780,0.79,3/8/2018 17:49,3/8/2018 17:49,Pass,Certified (< 70% Grade)
15779327,0.8,8/28/2017 20:48,3/8/2018 18:07,Pass,Certified (< 70% Grade)
18373985,0.91,3/8/2018 18:08,3/8/2018 18:08,Pass,Certified (< 70% Grade)
18374076,0.16,3/8/2018 18:15,3/8/2018 18:15,,Not certified (> 70% Grade)
18374218,0.97,3/8/2018 18:27,3/8/2018 18:27,Pass,Certified (< 70% Grade)
18375063,0.9,3/8/2018 19:45,3/8/2018 19:51,Pass,Certified (< 70% Grade)
18374332,0.93,3/8/2018 18:36,3/8/2018 19:53,Pass,Certified (< 70% Grade)
18374399,0.81,3/8/2018 18:43,3/8/2018 19:53,Pass,Certified (< 70% Grade)
18374835,0.88,3/8/2018 19:24,3/8/2018 19:53,Pass,Certified (< 70% Grade)
18374691,0.94,3/8/2018 19:11,3/8/2018 19:54,Pass,Certified (< 70% Grade)
18374653,0.26,3/8/2018 19:07,3/8/2018 19:54,,Not certified (> 70% Grade)
11901766,0.05,9/9/2016 20:09,3/8/2018 19:56,,Not certified (> 70% Grade)
16404773,0.74,10/13/2017 20:03,3/8/2018 19:57,Pass,Certified (< 70% Grade)
18374924,0.99,3/8/2018 19:33,3/8/2018 19:57,Pass,Certified (< 70% Grade)
11376224,0.85,7/21/2016 19:08,3/8/2018 19:58,Pass,Certified (< 70% Grade)
7958154,0.79,8/18/2015 14:32,3/8/2018 20:22,Pass,Certified (< 70% Grade)
15703811,0.95,8/22/2017 18:09,3/8/2018 20:39,Pass,Certified (< 70% Grade)
4637137,0.57,6/30/2014 3:34,3/8/2018 20:55,,Not certified (> 70% Grade)
18375853,0.97,3/8/2018 20:56,3/8/2018 20:56,Pass,Certified (< 70% Grade)
5597733,0.4,10/20/2014 21:47,3/8/2018 20:57,,Not certified (> 70% Grade)
11815546,0.63,9/2/2016 17:31,3/8/2018 21:01,Pass,Not certified (> 70% Grade)
11475002,0.73,8/1/2016 21:01,3/8/2018 21:03,Pass,Certified (< 70% Grade)
18376104,0.98,3/8/2018 21:16,3/8/2018 21:16,Pass,Certified (< 70% Grade)
