id,order,courseID,x,y
401ee1f6f3684be7b6124490f34adc5a,1,MITxPRO+AMxB+1T2018,3320.646f,1849.8555f
27bf430c96cb4d8da7368c4697de187b,2,MITxPRO+AMxB+1T2018,3294.163f,1790.2518f
0fec97a46b71456d9d9037e5edac7bb0,3,MITxPRO+AMxB+1T2018,3329.961f,2021.0798f
9b9fc7fd30954d7d9ad7d8f8e1cc11d8,4,MITxPRO+AMxB+1T2018,3232.3418f,1825.8632f
04d85100616943f8a3d2b084f403ba5f,5,MITxPRO+AMxB+1T2018,3144.6797f,1783.7239f
d538c2a9c6004cc3b62a2514ff7d24f5,6,MITxPRO+AMxB+1T2018,2993.4106f,1710.892f
8f607acba97e43d5b0426a4cccc4e61f,7,MITxPRO+AMxB+1T2018,3049.9202f,1862.644f
ea676035d8d84252b7c2c117a74dfe5d,8,MITxPRO+AMxB+1T2018,2862.429f,1753.7063f
fdccb644786547c5893474584cdfd58b,9,MITxPRO+AMxB+1T2018,2785.0908f,1775.809f
53e13f644d1f4c73ba7f5bfd8020e71f,10,MITxPRO+AMxB+1T2018,2722.1494f,1797.1642f
2f6febb9f2514c06827aa6a4bfe1e69d,11,MITxPRO+AMxB+1T2018,2644.1875f,1831.3956f
44acee2074d5456593cfdab9b680dcab,12,MITxPRO+AMxB+1T2018,1927.3363f,1934.9159f
7e3aba021b714e3180b14422eaf7cacb,13,MITxPRO+AMxB+1T2018,-1313.472f,4057.8022f
f17dc8f749c043d78ae4dfe383e55009,14,MITxPRO+AMxB+1T2018,-3914.6223f,404.53168f
a0077e8aad874abba1a1ec5c20ca947b,15,MITxPRO+AMxB+1T2018,-3816.4043f,-1915.7836f
7bb3394632054742b3fff216a77b015e,16,MITxPRO+AMxB+1T2018,-1287.5342f,4123.7607f
08823b78df0e4a3eb4c35cb2b838dee3,17,MITxPRO+AMxB+1T2018,-3584.1277f,-1202.0526f
c3c0f88fff1f4523b144a41a6c2dbcd6,18,MITxPRO+AMxB+1T2018,-1197.4114f,-4435.18f
3cce707300cc4bb99e13edcd32209318,19,MITxPRO+AMxB+1T2018,4421.9985f,765.42554f
089719b517f043f5b39636578e7ee001,20,MITxPRO+AMxB+1T2018,2817.9824f,1164.5851f
a67e937f9f1941a9bb6052316e2f2fc4,21,MITxPRO+AMxB+1T2018,2564.6067f,1855.1688f
2349ef7ca9ce436caad6190a30656821,22,MITxPRO+AMxB+1T2018,-4138.149f,37.014435f
5e49b3b1846c46a188f097e6520c706a,23,MITxPRO+AMxB+1T2018,-3655.9438f,2863.9116f
2a112bc1a1e048129e8e68e170e39248,24,MITxPRO+AMxB+1T2018,-4150.977f,77.74549f
7c052992ccd9437b9b017f4a234bb68c,25,MITxPRO+AMxB+1T2018,-4103.758f,769.94257f
