source,target,stds,path,dis,sl,weight
00c23be7a0584af395428ab3a704e552,0e3c2d8cac1e44af8bd7fabc48f8d079,1,1,1,0,0.83186587
00c23be7a0584af395428ab3a704e552,9af4973779c443ac986aa5b2a63462d6,1,1,-1,0,0.83186587
0120d60dd7c74a658f369244cc09a745,0120d60dd7c74a658f369244cc09a745,71,272,0,1,2.918062469
0120d60dd7c74a658f369244cc09a745,5b42266d225e4a83bcf7833af7143417,1,1,20,0,0.83186587
0120d60dd7c74a658f369244cc09a745,5fc036d992354184aea63c6a2b129671,1,1,-5,0,0.83186587
0120d60dd7c74a658f369244cc09a745,6864be53ce914d5c9666940de4b4c76d,2,2,2,0,0.839564013
0120d60dd7c74a658f369244cc09a745,75fdee1a2b714e34bdfdbc1a138d443f,1,1,-1,0,0.83186587
0120d60dd7c74a658f369244cc09a745,af0046c8954e4c4dacf9446dd407d0f6,78,85,1,0,1.478509835
0120d60dd7c74a658f369244cc09a745,c19b76c838684b42a5ad229ce72f2e95,1,1,-3,0,0.83186587
0121a1bd90774a95a014f487a3717bd8,29df4d70694a4f5fb9cf4a296c9d6826,1,1,-1,0,0.83186587
0121a1bd90774a95a014f487a3717bd8,2bbb47defdd44b6e95be6aff50d550d1,1,1,20,0,0.83186587
0121a1bd90774a95a014f487a3717bd8,4037cb08917c43238c4691dbe8895637,1,1,-83,0,0.83186587
0121a1bd90774a95a014f487a3717bd8,7d04272687d34281b60b3377d46cd231,1,1,-2,0,0.83186587
02c1922963db4602bcd8eb9ddf730b86,6c4de1af411a4fa49e43b982961edcab,1,1,11,0,0.83186587
02c1922963db4602bcd8eb9ddf730b86,ad02db4c9df74936a7ecf964b1697197,1,1,-208,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,0388b15dc0a94dd4a553c1df67123109,124,478,0,1,4.50387981
0388b15dc0a94dd4a553c1df67123109,2352eea7a7014e7990cfd2e3470795a2,1,1,5,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,2bbb47defdd44b6e95be6aff50d550d1,1,1,28,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,5cc9c5960b654f42829ef46a9c3a1444,1,1,-68,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,8a99f0d5d8164c528a85554f9184271b,1,1,1,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,9e71015683e549b5b13c178144b1531f,1,1,-35,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,ab522985e16d436a970f0eda5c9a1591,122,124,2,0,1.77873739
0388b15dc0a94dd4a553c1df67123109,b493f3f110234cfdabab9fc55ba06661,4,4,-1,0,0.854960298
0388b15dc0a94dd4a553c1df67123109,c1decbb7d1cc46d3b662207a884ac71e,1,1,-14,0,0.83186587
0388b15dc0a94dd4a553c1df67123109,d1651d2f65e9428693a519450d5f321f,2,2,-2,0,0.839564013
0388b15dc0a94dd4a553c1df67123109,d8a02e7515a74c9998f997f6df75771d,2,2,32,0,0.839564013
0388b15dc0a94dd4a553c1df67123109,eb58bfe7027d4f70912c319251e6e417,3,3,3,0,0.847262155
03b3a59fd4b5420b8096f9a4f032651c,085d322fab7a4a70bb44caaf20312501,1,2,-2,0,0.839564013
03b3a59fd4b5420b8096f9a4f032651c,3a32d27772ce468e941a09b8dd76aec3,1,1,-143,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,043d02d4e89541cdb2c73ca0d2eca377,73,124,0,1,1.77873739
043d02d4e89541cdb2c73ca0d2eca377,064f627c77a54926aac5e4c6b665a883,1,1,353,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,083e170a98cc47909270dde338cffbff,3,3,-1,0,0.847262155
043d02d4e89541cdb2c73ca0d2eca377,091e476b9c794d019c1660622a3a12f6,14,16,2,0,0.947338007
043d02d4e89541cdb2c73ca0d2eca377,1afa468dc7ce4b91a590366c2a697707,28,30,16,0,1.055112001
043d02d4e89541cdb2c73ca0d2eca377,1c671d329ded428288dd93458a0a2667,1,1,274,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,120,146,1,0,1.948096523
043d02d4e89541cdb2c73ca0d2eca377,26772bf1f08f4f96ab44e6007c4c6976,1,1,81,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,2ad839c226ab44539d98e2a1e84e439f,4,4,46,0,0.854960298
043d02d4e89541cdb2c73ca0d2eca377,2bd1769f30ce460b8cf38f3b71207d38,5,5,-14,0,0.86265844
043d02d4e89541cdb2c73ca0d2eca377,2e1dcff64f8741438099a3b28ba6c42d,1,1,-52,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,3763b9f526ae44f2ac2ac49749c15661,95,132,-10,0,1.840322529
043d02d4e89541cdb2c73ca0d2eca377,432e2e03af924d10b164b60c5fcb86a1,4,4,8,0,0.854960298
043d02d4e89541cdb2c73ca0d2eca377,497ff981f4384b3897c43a1b51306d5d,1,1,194,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,54ce11d3d7d146868c49330c5988da72,2,2,12,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,5bdb6e60ab5c477f9244243bacb6c984,2,2,-21,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,5fa68b182e974d6b82927d21dd4e4f9a,2,2,-5,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,5fe15241fc4840f1a7fb294182265c39,148,311,9,0,3.218290024
043d02d4e89541cdb2c73ca0d2eca377,611f718731804acf8b5f757f24bcdf64,1,1,335,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,6ac9f21a57ba4218b9e3b13a36f263be,1,1,48,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,6ad12d818d9a441c87b8c41450b11f12,2,2,24,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,89f61d355af44e16ac1f9654029f89e0,4,4,52,0,0.854960298
043d02d4e89541cdb2c73ca0d2eca377,8a10cc79e71240fbbaef15137c988bf5,1,1,100,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,8b1109f1bac740fc8974fb4eca386560,2,2,33,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,8f607acba97e43d5b0426a4cccc4e61f,1,1,-75,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,900887df98e3499f8fd3ca09e1e84d3a,1,1,-39,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,9269d78b31de4957afa1c5a67f81edc1,1,1,436,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,98170a572e6644028150554eb5722cb4,2,2,270,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,a137964dcca34365ba31a7563531e07b,3,3,-7,0,0.847262155
043d02d4e89541cdb2c73ca0d2eca377,b10ef23438f9466882d17e3f0abd0149,3,3,-9,0,0.847262155
043d02d4e89541cdb2c73ca0d2eca377,b4e40f400718476dad4c66477ccb68d0,2,2,4,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,c076a6e427c34d0c99c5bb95cbce05e5,3,3,47,0,0.847262155
043d02d4e89541cdb2c73ca0d2eca377,c9543052dcba40b58909ec53da262aaa,1,1,159,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,ca856b87daac457ab8b54e03644f4264,15,18,5,0,0.962734292
043d02d4e89541cdb2c73ca0d2eca377,cd8f0da1ce0040ce994e2bf3c1a061fa,1,1,218,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,d457def4b5744eda84b61b030ba37c4d,1,1,11,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,d4f85f1570bf4ced82ef64cab4fa68f4,5,5,3,0,0.86265844
043d02d4e89541cdb2c73ca0d2eca377,d538c2a9c6004cc3b62a2514ff7d24f5,5,5,-76,0,0.86265844
043d02d4e89541cdb2c73ca0d2eca377,d59550403f9b49628189ff34f74d3b3d,9,9,7,0,0.89345101
043d02d4e89541cdb2c73ca0d2eca377,d96704d24a68401eaad4628b30fdb889,1,1,50,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,e0c99d2be84f4d4caf2352d0f048c0ce,1,1,181,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,ec173897e6254e50812116be2dc37a94,1,1,61,0,0.83186587
043d02d4e89541cdb2c73ca0d2eca377,f0d9ed3b227a456f85ef40f79f56e546,2,2,6,0,0.839564013
043d02d4e89541cdb2c73ca0d2eca377,f3cfda7ffa804facb0183da6497283a6,35,35,10,0,1.093602713
043d02d4e89541cdb2c73ca0d2eca377,fc68686f026f4a1c8b21f5339ac0044c,1,1,25,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,043d02d4e89541cdb2c73ca0d2eca377,1,1,77,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,04d85100616943f8a3d2b084f403ba5f,87,118,0,1,1.732548535
04d85100616943f8a3d2b084f403ba5f,1b1d901e57774ed4aac7ad952c9bb03d,1,1,35,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,1dc93dd0b4a4496884b7a642e928e9d2,1,1,713,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,1f5002403e13485da7e7b1f5896e81ee,1,1,203,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,2060d250adb14c9eb7e7957c563678f0,1,1,62,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,27bf430c96cb4d8da7368c4697de187b,11,13,-3,0,0.92424358
04d85100616943f8a3d2b084f403ba5f,2bd1769f30ce460b8cf38f3b71207d38,4,4,63,0,0.854960298
04d85100616943f8a3d2b084f403ba5f,2f6febb9f2514c06827aa6a4bfe1e69d,1,1,6,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,3763b9f526ae44f2ac2ac49749c15661,1,1,67,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,401ee1f6f3684be7b6124490f34adc5a,1,1,-4,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,504d2512a7124c439fd2861dbf720058,1,1,700,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,5bdb6e60ab5c477f9244243bacb6c984,1,1,56,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,60fdad9fc19541e3b135991de184af75,1,1,341,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,8f607acba97e43d5b0426a4cccc4e61f,5,5,2,0,0.86265844
04d85100616943f8a3d2b084f403ba5f,9b9fc7fd30954d7d9ad7d8f8e1cc11d8,76,93,-1,0,1.540094974
04d85100616943f8a3d2b084f403ba5f,a653f4a798964771b51fbc7cb8a7a276,1,1,411,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,d538c2a9c6004cc3b62a2514ff7d24f5,163,226,1,0,2.563947918
04d85100616943f8a3d2b084f403ba5f,d8a02e7515a74c9998f997f6df75771d,1,1,348,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,d96704d24a68401eaad4628b30fdb889,1,1,127,0,0.83186587
04d85100616943f8a3d2b084f403ba5f,ea676035d8d84252b7c2c117a74dfe5d,23,23,3,0,1.001225004
04d85100616943f8a3d2b084f403ba5f,fdccb644786547c5893474584cdfd58b,1,1,4,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,0552f7dc52d14cf5b15daed9c4229342,4,5,0,1,0.86265844
0552f7dc52d14cf5b15daed9c4229342,0704a9032b0b4dfebc92a428247b2a14,4,4,269,0,0.854960298
0552f7dc52d14cf5b15daed9c4229342,0b8e4be0cef9409cabbce305b9eb4e11,1,1,191,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,0cd55e8d087d4dd7b4abe0c9eeb53ee9,54,86,-3,0,1.486207977
0552f7dc52d14cf5b15daed9c4229342,0e3c2d8cac1e44af8bd7fabc48f8d079,2,2,26,0,0.839564013
0552f7dc52d14cf5b15daed9c4229342,0fc9573794ea433ca88f5be6758b560e,1,1,11,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,134da9dee6614b159e933f632fc9246b,1,1,532,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,151ff258d4a74e6dbe9efde0ce31b457,168,336,1,0,3.410743585
0552f7dc52d14cf5b15daed9c4229342,1f5002403e13485da7e7b1f5896e81ee,3,3,20,0,0.847262155
0552f7dc52d14cf5b15daed9c4229342,2126522cd4b94bd68b2999261978d881,3,3,-38,0,0.847262155
0552f7dc52d14cf5b15daed9c4229342,26772bf1f08f4f96ab44e6007c4c6976,1,1,-25,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,276eb91bb71649698c5d0281235cbd59,1,1,23,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,2a07f16983744ee4b619e6822558732e,3,3,4,0,0.847262155
0552f7dc52d14cf5b15daed9c4229342,2bbb47defdd44b6e95be6aff50d550d1,4,4,161,0,0.854960298
0552f7dc52d14cf5b15daed9c4229342,2bd1769f30ce460b8cf38f3b71207d38,1,1,-120,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,334c250757224648b03c5fcdc8ab25b4,1,1,-32,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,35fb6234757c420ea8007b976a49044a,1,1,-31,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,4278a11746804def8e613a8a8da29a7c,2,2,-15,0,0.839564013
0552f7dc52d14cf5b15daed9c4229342,4454aaa65b6d49ca89add710ba15514e,3,4,14,0,0.854960298
0552f7dc52d14cf5b15daed9c4229342,49bc2f8db38b47f9b378f26dde2a6e64,2,2,-52,0,0.839564013
0552f7dc52d14cf5b15daed9c4229342,4ddee52f520141a192396264e12e939c,1,1,3,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,57b361f6d4ca424299264c668e836e47,1,1,187,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,5cc9c5960b654f42829ef46a9c3a1444,1,1,65,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,66e3bd0917b64e4e96809be332b6d1a2,1,1,515,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,67aa56ef4f504d889c6068052bab302b,1,1,-35,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,7a2bcd65cf024f3684c99f341cb74362,1,1,190,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,89f61d355af44e16ac1f9654029f89e0,1,1,-54,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,8a10cc79e71240fbbaef15137c988bf5,30,39,-6,0,1.124395283
0552f7dc52d14cf5b15daed9c4229342,8b1109f1bac740fc8974fb4eca386560,1,1,-73,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,8c70a939146b49cd91d826eaa1b1aaf8,1,1,10,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,98170a572e6644028150554eb5722cb4,1,1,164,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,a30c1e8242864e299e15046983824275,1,1,82,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,aa516ea305b74209ad16d2533b32050c,1,1,169,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,ac3ba61065f84433a945ac8c71b537f4,1,1,-44,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,aedac84ad12f487db1c88dbe3c82abde,4,4,7,0,0.854960298
0552f7dc52d14cf5b15daed9c4229342,b44d071a81c142198d7e7ca14f5442f6,2,2,-22,0,0.839564013
0552f7dc52d14cf5b15daed9c4229342,b47999fa192a4c07897ef0655c1f458f,1,1,-16,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,b6e111cfb4a9471b8d1efe4384681e27,1,1,-1,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,bd6795cfc41241159ab06425ce1bf3d7,1,1,117,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,c1e3057887ae4756b3983ee71103080a,33,51,2,0,1.216772992
0552f7dc52d14cf5b15daed9c4229342,c7a736e53c6341f684a77474fbbbe64f,3,3,163,0,0.847262155
0552f7dc52d14cf5b15daed9c4229342,c9543052dcba40b58909ec53da262aaa,1,1,53,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,cfc8fb9e455e4fc592f63e75803bc5e9,8,9,13,0,0.89345101
0552f7dc52d14cf5b15daed9c4229342,d6f5e62f53b24133ad80b6ae4fbb1c67,1,1,-5,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,d77d619ea3504014b454c5e1b3960386,1,1,460,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,d9dd2a4989284d94b66c5a100745f102,1,1,256,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,deead91c4b084361847e1f6596966bb8,1,1,-14,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,ea1d651f18c34e6fa36ee0f68962ecb9,1,1,271,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,ec173897e6254e50812116be2dc37a94,1,1,-45,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,efad98624b054b5fbe2cc340e3df324d,1,1,51,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,f151b1920ab84738857f2e5a6ccdff85,1,1,177,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,f1d1cf08839f4d9abcd0fb93a8253bc4,1,1,423,0,0.83186587
0552f7dc52d14cf5b15daed9c4229342,fff3e875d114460785d458c9a20db4c4,1,1,194,0,0.83186587
05777fc145714e21b5bc652ac8cec7cf,26772bf1f08f4f96ab44e6007c4c6976,1,1,-8,0,0.83186587
05777fc145714e21b5bc652ac8cec7cf,5b303a0f1b8c4aa4be49f74f2fc89c9e,1,1,-1,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,0552f7dc52d14cf5b15daed9c4229342,1,1,-176,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,05800c2e685141ecb48fe59b499d84b6,74,130,0,1,1.824926244
05800c2e685141ecb48fe59b499d84b6,06b02d057d574f24a6cac30186bf0bf2,31,40,3,0,1.132093425
05800c2e685141ecb48fe59b499d84b6,0704a9032b0b4dfebc92a428247b2a14,12,14,93,0,0.931941722
05800c2e685141ecb48fe59b499d84b6,0cd55e8d087d4dd7b4abe0c9eeb53ee9,1,1,-179,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,15335471891841108d686d567db618a6,1,1,31,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,1f5002403e13485da7e7b1f5896e81ee,1,1,-156,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,2126522cd4b94bd68b2999261978d881,1,1,-214,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,3a32d27772ce468e941a09b8dd76aec3,1,1,19,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,4037cb08917c43238c4691dbe8895637,1,1,-118,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,49bc2f8db38b47f9b378f26dde2a6e64,2,2,-228,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,4f37a9d9ffc24f5e82cc2cb1409df6f3,1,1,5,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,57b361f6d4ca424299264c668e836e47,1,1,11,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,5982f524a99e420f8aeee7d90187dd55,4,4,4,0,0.854960298
05800c2e685141ecb48fe59b499d84b6,5bdb6e60ab5c477f9244243bacb6c984,1,1,-303,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,5c59b11e8d4847a68a4443a434cf2f17,1,1,134,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,5cc9c5960b654f42829ef46a9c3a1444,1,1,-111,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,5fe15241fc4840f1a7fb294182265c39,1,1,-273,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,66e3bd0917b64e4e96809be332b6d1a2,1,1,339,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,6a1b1998400e4f52aa3d3768633a7dd5,1,1,89,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,6a3fd2c28384465589f148598410fbdd,1,1,58,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,7a2bcd65cf024f3684c99f341cb74362,2,2,14,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,7afbe0f3ab05461ab5a3765ad3631052,2,2,13,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,7d62e87889ed4954bf9c388d171ee30a,2,2,-5,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,8946402cfec84b0aa9abf2968a314b27,1,1,234,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,89f61d355af44e16ac1f9654029f89e0,1,1,-230,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,8a10cc79e71240fbbaef15137c988bf5,1,1,-182,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,93168ca1ec6a4944b57d75ac98797c0b,13,15,2,0,0.939639865
05800c2e685141ecb48fe59b499d84b6,98032f7703934ecc960828e8931290bd,16,16,-1,0,0.947338007
05800c2e685141ecb48fe59b499d84b6,a27e6ccbd699476c823afe67c91324cf,2,2,76,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,aa516ea305b74209ad16d2533b32050c,1,1,-7,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,ad02db4c9df74936a7ecf964b1697197,1,1,8,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,aedac84ad12f487db1c88dbe3c82abde,3,3,-169,0,0.847262155
05800c2e685141ecb48fe59b499d84b6,c9543052dcba40b58909ec53da262aaa,1,1,-123,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,cee509fdc136413c8c3e182d487c2b86,4,4,7,0,0.854960298
05800c2e685141ecb48fe59b499d84b6,d07f5cabb83841ebb911eb33d653a517,1,1,-3,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,d538c2a9c6004cc3b62a2514ff7d24f5,2,2,-358,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,d8a02e7515a74c9998f997f6df75771d,1,1,-11,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,dd8ccb96b2cb40fc99395cd96e9f5597,1,1,100,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,e9bcc373b6ae4ec3abef5be040a02711,2,2,96,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,ea1d651f18c34e6fa36ee0f68962ecb9,2,2,95,0,0.839564013
05800c2e685141ecb48fe59b499d84b6,ed791190f0844f5bb153bfb96967d518,1,1,131,0,0.83186587
05800c2e685141ecb48fe59b499d84b6,f06cfae5902b4db099f1844f9dcad801,113,171,-4,0,2.140550084
05800c2e685141ecb48fe59b499d84b6,f151b1920ab84738857f2e5a6ccdff85,138,255,1,0,2.787194048
064f627c77a54926aac5e4c6b665a883,064f627c77a54926aac5e4c6b665a883,165,723,0,1,6.389924706
064f627c77a54926aac5e4c6b665a883,06b02d057d574f24a6cac30186bf0bf2,2,2,-68,0,0.839564013
064f627c77a54926aac5e4c6b665a883,0704a9032b0b4dfebc92a428247b2a14,16,20,22,0,0.978130577
064f627c77a54926aac5e4c6b665a883,0da137981c784fff80a5768bc626dca7,28,33,-7,0,1.078206428
064f627c77a54926aac5e4c6b665a883,1c264c5f7377466b9165af2037ec7924,1,1,264,0,0.83186587
064f627c77a54926aac5e4c6b665a883,1dc93dd0b4a4496884b7a642e928e9d2,1,1,283,0,0.83186587
064f627c77a54926aac5e4c6b665a883,202fe760f26e4bd7a5a9cd1926e3f678,109,178,-4,0,2.194437081
064f627c77a54926aac5e4c6b665a883,22b9e7f1eabc4cb28d8af1feaa0bc27d,1,3,-22,0,0.847262155
064f627c77a54926aac5e4c6b665a883,253c3d95e42f47a192997f25c3fd5881,1,1,317,0,0.83186587
064f627c77a54926aac5e4c6b665a883,284121c6292646548b8d11d26466f6b1,1,1,238,0,0.83186587
064f627c77a54926aac5e4c6b665a883,2b0c1a20f8f441c3ab4e320b0bde00e1,1,1,-293,0,0.83186587
064f627c77a54926aac5e4c6b665a883,2bbb47defdd44b6e95be6aff50d550d1,1,1,-86,0,0.83186587
