source,target,stds,path,dis,sl,weight
00c23be7a0584af395428ab3a704e552,0e3c2d8cac1e44af8bd7fabc48f8d079,1,1,1,0,0.795922839
0120d60dd7c74a658f369244cc09a745,0120d60dd7c74a658f369244cc09a745,2,11,0,1,0.925551274
0120d60dd7c74a658f369244cc09a745,253c3d95e42f47a192997f25c3fd5881,1,1,21,0,0.795922839
0120d60dd7c74a658f369244cc09a745,6864be53ce914d5c9666940de4b4c76d,1,1,2,0,0.795922839
0120d60dd7c74a658f369244cc09a745,af0046c8954e4c4dacf9446dd407d0f6,2,2,1,0,0.808885683
02c1922963db4602bcd8eb9ddf730b86,d5834a3d440842cfb49bd2ae4155ce16,2,2,135,0,0.808885683
0388b15dc0a94dd4a553c1df67123109,0388b15dc0a94dd4a553c1df67123109,21,53,0,1,1.469990701
0388b15dc0a94dd4a553c1df67123109,0c92f804b6ee498091114e20947b5ca4,1,1,4,0,0.795922839
0388b15dc0a94dd4a553c1df67123109,ab522985e16d436a970f0eda5c9a1591,20,20,2,0,1.042216866
0388b15dc0a94dd4a553c1df67123109,d1651d2f65e9428693a519450d5f321f,3,3,-2,0,0.821848526
043d02d4e89541cdb2c73ca0d2eca377,043d02d4e89541cdb2c73ca0d2eca377,55,97,0,1,2.040355814
043d02d4e89541cdb2c73ca0d2eca377,0704a9032b0b4dfebc92a428247b2a14,2,5,375,0,0.847774213
043d02d4e89541cdb2c73ca0d2eca377,083e170a98cc47909270dde338cffbff,3,3,-1,0,0.821848526
043d02d4e89541cdb2c73ca0d2eca377,091e476b9c794d019c1660622a3a12f6,17,19,2,0,1.029254022
043d02d4e89541cdb2c73ca0d2eca377,1afa468dc7ce4b91a590366c2a697707,20,23,16,0,1.081105396
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,78,95,1,0,2.014430127
043d02d4e89541cdb2c73ca0d2eca377,253c3d95e42f47a192997f25c3fd5881,1,1,670,0,0.795922839
043d02d4e89541cdb2c73ca0d2eca377,2ad839c226ab44539d98e2a1e84e439f,4,7,46,0,0.8736999
043d02d4e89541cdb2c73ca0d2eca377,2bbb47defdd44b6e95be6aff50d550d1,4,5,267,0,0.847774213
043d02d4e89541cdb2c73ca0d2eca377,2bd1769f30ce460b8cf38f3b71207d38,5,5,-14,0,0.847774213
043d02d4e89541cdb2c73ca0d2eca377,2f6febb9f2514c06827aa6a4bfe1e69d,1,1,-71,0,0.795922839
043d02d4e89541cdb2c73ca0d2eca377,3763b9f526ae44f2ac2ac49749c15661,94,126,-10,0,2.416278276
043d02d4e89541cdb2c73ca0d2eca377,3e4ef77de6bf43dd8ba014f6897dcae6,1,1,83,0,0.795922839
