id,courseID,mod_type,order,chapterModLabel,stds,count,x,y
9a0dc646f934470daf08c4b56ccf73db,MITxPRO+LASERxB1+1T2019,html,37,Week 0: Get Started (40 min),34,113,-760.65265f,529.37463f
fc0e049d56024bc9a02c9a9c435c3df7,MITxPRO+LASERxB1+1T2019,html,38,Week 0: Get Started (40 min),34,126,-889.0196f,563.16693f
67a089198fcb4e1c8f2385786c2b296f,MITxPRO+LASERxB1+1T2019,html,39,Week 1: Strategy (2.5 hrs),34,309,-1344.4308f,615.0425f
64d48c6c9c7940639a932219a6c87198,MITxPRO+LASERxB1+1T2019,video,40,Week 1: Strategy (2.5 hrs),34,213,-1236.0428f,831.5842f
b534b89233134e30a9b5645138bfa9ee,MITxPRO+LASERxB1+1T2019,html,41,Week 1: Strategy (2.5 hrs),34,240,-1702.3512f,1316.9302f
fc5d3a81023c41d8ab70b19d4c5c50eb,MITxPRO+LASERxB1+1T2019,html,42,Week 1: Strategy (2.5 hrs),1,1,-1857.6392f,1688.6023f
296fbfa7fce5408484f55d759d80d7b7,MITxPRO+LASERxB1+1T2019,html,43,Week 1: Strategy (2.5 hrs),0,0,-1163.4855f,1381.4379f
0e37b720d23b4e7f8b313e79313fd107,MITxPRO+LASERxB1+1T2019,problem,44,Week 1: Strategy (2.5 hrs),33,88,-1493.5278f,1223.4491f
6875d67fdd5f48168b62719df449bebd,MITxPRO+LASERxB1+1T2019,problem,45,Week 1: Strategy (2.5 hrs),34,83,-1506.9172f,1317.0549f
d9c8d8c444a64dadbbb508652c721e17,MITxPRO+LASERxB1+1T2019,html,46,Week 1: Strategy (2.5 hrs),34,88,-1568.3347f,1813.6472f
6e13d61a7bdb44bca949c9f86fab3be5,MITxPRO+LASERxB1+1T2019,video,47,Week 1: Strategy (2.5 hrs),34,252,-1621.8794f,1535.1986f
7ddaf94446db4e3d8f70d0ed3883700d,MITxPRO+LASERxB1+1T2019,html,48,Week 1: Strategy (2.5 hrs),0,0,-393.51212f,-1064.7415f
195f78799f984cc2b06c48dfe36be751,MITxPRO+LASERxB1+1T2019,problem,49,Week 1: Strategy (2.5 hrs),34,119,-1580.308f,1678.87f
f924752d8a1149668870b1e7698486f7,MITxPRO+LASERxB1+1T2019,html,50,Week 1: Strategy (2.5 hrs),34,85,-1728.9265f,2292.8818f
d0c74f735e024943943e40333d6d337f,MITxPRO+LASERxB1+1T2019,video,51,Week 1: Strategy (2.5 hrs),34,152,-1571.8699f,1965.6831f
2b160a91c44d44c89ba74b6b07b25629,MITxPRO+LASERxB1+1T2019,html,52,Week 1: Strategy (2.5 hrs),0,0,1099.5453f,-454.47833f
983f8ff320594b279a7f4a6fe132f9c5,MITxPRO+LASERxB1+1T2019,problem,53,Week 1: Strategy (2.5 hrs),34,113,-1492.955f,2123.5615f
35adfa5d923046aebabfefd98f35ff05,MITxPRO+LASERxB1+1T2019,problem,54,Week 1: Strategy (2.5 hrs),34,181,-1462.6436f,2238.7554f
