"cluster.id","students","mean_path","sd_path"
0,46,135.869565217391,92.6284354458181
1,101,549.712871287129,74.9789752708936
2,34,607.411764705882,89.4959344419618
3,28,580.678571428571,89.958860379879
4,32,664.5625,135.632077636048
