k=2,k=3,k=4,k=5,k=6,k=7
0.11270127,0.10274713,0.09204663,0.02314704,0.21206888,0.21478995
0.11483911,0.10491476,0.09739139,0.11105782,0.02314704,0.02314704
,0.16238891,0.14428612,0.1289487,0.11040569,0.11151622
,,0.18022378,0.12795333,0.12867447,0.12867447
,,,0.21309056,0.12733563,0.12733563
,,,,0.12082144,0.12082144
,,,,,0.11370201
