source,target,stds,weight_c,dis,sl
00c23be7a0584af395428ab3a704e552,0e3c2d8cac1e44af8bd7fabc48f8d079,8,8,1,0
00c23be7a0584af395428ab3a704e552,1f5002403e13485da7e7b1f5896e81ee,3,4,-5,0
00c23be7a0584af395428ab3a704e552,9af4973779c443ac986aa5b2a63462d6,3,4,-1,0
00c23be7a0584af395428ab3a704e552,aedac84ad12f487db1c88dbe3c82abde,1,1,-18,0
00c23be7a0584af395428ab3a704e552,c8a31966713e4ef18f4f06cd4a79d374,1,1,2,0
0120d60dd7c74a658f369244cc09a745,0120d60dd7c74a658f369244cc09a745,368,1591,0,1
0120d60dd7c74a658f369244cc09a745,1dc93dd0b4a4496884b7a642e928e9d2,1,1,-13,0
0120d60dd7c74a658f369244cc09a745,253c3d95e42f47a192997f25c3fd5881,1,1,21,0
0120d60dd7c74a658f369244cc09a745,49ae4fed6c184199bd02484d214fab98,1,1,-7,0
0120d60dd7c74a658f369244cc09a745,51998570743849d09c8854a35fd0e899,1,4,-6,0
0120d60dd7c74a658f369244cc09a745,5b42266d225e4a83bcf7833af7143417,1,1,20,0
0120d60dd7c74a658f369244cc09a745,5fc036d992354184aea63c6a2b129671,5,6,-5,0
0120d60dd7c74a658f369244cc09a745,6223568957ad410cb2ab109abb9d7af1,8,8,-4,0
0120d60dd7c74a658f369244cc09a745,6864be53ce914d5c9666940de4b4c76d,14,14,2,0
0120d60dd7c74a658f369244cc09a745,6a3fd2c28384465589f148598410fbdd,1,1,-309,0
0120d60dd7c74a658f369244cc09a745,744dad1a12a449ebbfc22c507e1e0e1f,1,1,-25,0
0120d60dd7c74a658f369244cc09a745,75fdee1a2b714e34bdfdbc1a138d443f,3,3,-1,0
0120d60dd7c74a658f369244cc09a745,7d262be6d9b74836b47447db1b70289d,2,2,22,0
0120d60dd7c74a658f369244cc09a745,7f8714239b3e42749cc5e54064cdf33b,1,1,-2,0
0120d60dd7c74a658f369244cc09a745,8b1109f1bac740fc8974fb4eca386560,1,1,-616,0
0120d60dd7c74a658f369244cc09a745,a0764fe284df432a93f3c3633162d815,1,2,-10,0
0120d60dd7c74a658f369244cc09a745,af0046c8954e4c4dacf9446dd407d0f6,419,453,1,0
0120d60dd7c74a658f369244cc09a745,b44d071a81c142198d7e7ca14f5442f6,1,1,-565,0
0120d60dd7c74a658f369244cc09a745,b87d7692f55a4b3fb61ec362d003f121,1,1,-19,0
0120d60dd7c74a658f369244cc09a745,c19b76c838684b42a5ad229ce72f2e95,1,1,-3,0
0120d60dd7c74a658f369244cc09a745,d75c5a25b091478d9e5fdf297101562d,1,1,10,0
0120d60dd7c74a658f369244cc09a745,fd91554a3bf54ebdbf6ea67124fbd06c,1,1,-22,0
0121a1bd90774a95a014f487a3717bd8,1f5002403e13485da7e7b1f5896e81ee,1,1,-121,0
0121a1bd90774a95a014f487a3717bd8,29df4d70694a4f5fb9cf4a296c9d6826,4,4,-1,0
0121a1bd90774a95a014f487a3717bd8,2bbb47defdd44b6e95be6aff50d550d1,1,1,20,0
0121a1bd90774a95a014f487a3717bd8,4037cb08917c43238c4691dbe8895637,1,1,-83,0
0121a1bd90774a95a014f487a3717bd8,57b361f6d4ca424299264c668e836e47,1,1,46,0
0121a1bd90774a95a014f487a3717bd8,7d04272687d34281b60b3377d46cd231,2,2,-2,0
0121a1bd90774a95a014f487a3717bd8,98a13e95e8484ecb9727be0d96c5a670,1,1,2,0
02c1922963db4602bcd8eb9ddf730b86,1c264c5f7377466b9165af2037ec7924,1,1,119,0
02c1922963db4602bcd8eb9ddf730b86,1dc93dd0b4a4496884b7a642e928e9d2,1,1,138,0
02c1922963db4602bcd8eb9ddf730b86,6c4de1af411a4fa49e43b982961edcab,1,1,11,0
02c1922963db4602bcd8eb9ddf730b86,ad02db4c9df74936a7ecf964b1697197,1,1,-208,0
02c1922963db4602bcd8eb9ddf730b86,d5834a3d440842cfb49bd2ae4155ce16,2,2,135,0
0388b15dc0a94dd4a553c1df67123109,0388b15dc0a94dd4a553c1df67123109,577,1990,0,1
0388b15dc0a94dd4a553c1df67123109,0c92f804b6ee498091114e20947b5ca4,3,3,4,0
0388b15dc0a94dd4a553c1df67123109,176c36fa520e4f7eb03738c18bd564a5,1,1,15,0
0388b15dc0a94dd4a553c1df67123109,2352eea7a7014e7990cfd2e3470795a2,5,5,5,0
0388b15dc0a94dd4a553c1df67123109,26772bf1f08f4f96ab44e6007c4c6976,1,1,-158,0
0388b15dc0a94dd4a553c1df67123109,2bbb47defdd44b6e95be6aff50d550d1,3,3,28,0
0388b15dc0a94dd4a553c1df67123109,5cc9c5960b654f42829ef46a9c3a1444,1,1,-68,0
0388b15dc0a94dd4a553c1df67123109,60fdad9fc19541e3b135991de184af75,1,1,25,0
0388b15dc0a94dd4a553c1df67123109,8a10cc79e71240fbbaef15137c988bf5,1,1,-139,0
0388b15dc0a94dd4a553c1df67123109,8a99f0d5d8164c528a85554f9184271b,3,3,1,0
0388b15dc0a94dd4a553c1df67123109,98170a572e6644028150554eb5722cb4,1,1,31,0
0388b15dc0a94dd4a553c1df67123109,9e71015683e549b5b13c178144b1531f,1,1,-35,0
