source,target,stds,weight_c,dis,sl
0388b15dc0a94dd4a553c1df67123109,ab522985e16d436a970f0eda5c9a1591,570,603,2,0
0388b15dc0a94dd4a553c1df67123109,b493f3f110234cfdabab9fc55ba06661,10,12,-1,0
0388b15dc0a94dd4a553c1df67123109,ba8fc22784274180b82fd5ce5c8fcfa5,1,1,-55,0
0388b15dc0a94dd4a553c1df67123109,c1decbb7d1cc46d3b662207a884ac71e,1,1,-14,0
0388b15dc0a94dd4a553c1df67123109,d1651d2f65e9428693a519450d5f321f,14,14,-2,0
0388b15dc0a94dd4a553c1df67123109,d8a02e7515a74c9998f997f6df75771d,3,3,32,0
0388b15dc0a94dd4a553c1df67123109,eb58bfe7027d4f70912c319251e6e417,4,4,3,0
0388b15dc0a94dd4a553c1df67123109,ecbaf140af704a42a78099a2e680c946,1,1,242,0
03b3a59fd4b5420b8096f9a4f032651c,085d322fab7a4a70bb44caaf20312501,2,3,-2,0
03b3a59fd4b5420b8096f9a4f032651c,3a32d27772ce468e941a09b8dd76aec3,1,1,-143,0
03b3a59fd4b5420b8096f9a4f032651c,99042009daed49118fd9cfa1616859d1,1,1,-1,0
043d02d4e89541cdb2c73ca0d2eca377,043d02d4e89541cdb2c73ca0d2eca377,346,705,0,1
043d02d4e89541cdb2c73ca0d2eca377,04d85100616943f8a3d2b084f403ba5f,1,1,-77,0
043d02d4e89541cdb2c73ca0d2eca377,0552f7dc52d14cf5b15daed9c4229342,1,1,106,0
043d02d4e89541cdb2c73ca0d2eca377,064f627c77a54926aac5e4c6b665a883,1,1,353,0
043d02d4e89541cdb2c73ca0d2eca377,06b02d057d574f24a6cac30186bf0bf2,1,1,285,0
043d02d4e89541cdb2c73ca0d2eca377,0704a9032b0b4dfebc92a428247b2a14,5,12,375,0
043d02d4e89541cdb2c73ca0d2eca377,0809efd87b0c45139a1edc4cc58fd1f5,1,1,236,0
043d02d4e89541cdb2c73ca0d2eca377,083e170a98cc47909270dde338cffbff,17,17,-1,0
043d02d4e89541cdb2c73ca0d2eca377,091e476b9c794d019c1660622a3a12f6,73,80,2,0
043d02d4e89541cdb2c73ca0d2eca377,134da9dee6614b159e933f632fc9246b,1,1,638,0
043d02d4e89541cdb2c73ca0d2eca377,151ff258d4a74e6dbe9efde0ce31b457,1,1,107,0
043d02d4e89541cdb2c73ca0d2eca377,1afa468dc7ce4b91a590366c2a697707,182,227,16,0
043d02d4e89541cdb2c73ca0d2eca377,1c264c5f7377466b9165af2037ec7924,4,4,617,0
043d02d4e89541cdb2c73ca0d2eca377,1c671d329ded428288dd93458a0a2667,1,1,274,0
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,589,724,1,0
043d02d4e89541cdb2c73ca0d2eca377,1f5002403e13485da7e7b1f5896e81ee,2,2,126,0
043d02d4e89541cdb2c73ca0d2eca377,2126522cd4b94bd68b2999261978d881,3,3,68,0
043d02d4e89541cdb2c73ca0d2eca377,253c3d95e42f47a192997f25c3fd5881,2,2,670,0
043d02d4e89541cdb2c73ca0d2eca377,26772bf1f08f4f96ab44e6007c4c6976,7,7,81,0
043d02d4e89541cdb2c73ca0d2eca377,27bf430c96cb4d8da7368c4697de187b,2,2,-80,0
043d02d4e89541cdb2c73ca0d2eca377,2ad839c226ab44539d98e2a1e84e439f,15,18,46,0
043d02d4e89541cdb2c73ca0d2eca377,2aed08cdf76c457d88c9e15470bd6585,1,1,604,0
043d02d4e89541cdb2c73ca0d2eca377,2bbb47defdd44b6e95be6aff50d550d1,5,7,267,0
043d02d4e89541cdb2c73ca0d2eca377,2bd1769f30ce460b8cf38f3b71207d38,19,19,-14,0
043d02d4e89541cdb2c73ca0d2eca377,2c91f40c1d484adbbe41b43c1dd57fce,1,1,-16,0
043d02d4e89541cdb2c73ca0d2eca377,2e1dcff64f8741438099a3b28ba6c42d,3,3,-52,0
043d02d4e89541cdb2c73ca0d2eca377,2f6febb9f2514c06827aa6a4bfe1e69d,14,15,-71,0
043d02d4e89541cdb2c73ca0d2eca377,3763b9f526ae44f2ac2ac49749c15661,524,797,-10,0
043d02d4e89541cdb2c73ca0d2eca377,3e4ef77de6bf43dd8ba014f6897dcae6,1,1,83,0
043d02d4e89541cdb2c73ca0d2eca377,401ee1f6f3684be7b6124490f34adc5a,3,3,-81,0
043d02d4e89541cdb2c73ca0d2eca377,432e2e03af924d10b164b60c5fcb86a1,40,43,8,0
043d02d4e89541cdb2c73ca0d2eca377,497ff981f4384b3897c43a1b51306d5d,2,2,194,0
043d02d4e89541cdb2c73ca0d2eca377,49bc2f8db38b47f9b378f26dde2a6e64,4,4,54,0
043d02d4e89541cdb2c73ca0d2eca377,4be29d7cb0e4400887b4848365b47a4d,1,1,-3,0
043d02d4e89541cdb2c73ca0d2eca377,50d4b24c0dfd4452a253ac7a61291669,1,1,466,0
043d02d4e89541cdb2c73ca0d2eca377,53e13f644d1f4c73ba7f5bfd8020e71f,1,1,-72,0
043d02d4e89541cdb2c73ca0d2eca377,54ce11d3d7d146868c49330c5988da72,11,11,12,0
043d02d4e89541cdb2c73ca0d2eca377,550b719286db44248d48173c92970f5b,1,1,26,0
043d02d4e89541cdb2c73ca0d2eca377,57b361f6d4ca424299264c668e836e47,1,1,293,0
043d02d4e89541cdb2c73ca0d2eca377,583b77e74455472aa7d00ccb022c2204,1,1,662,0
043d02d4e89541cdb2c73ca0d2eca377,5903be23ba854b8aa1f21152e2a6c042,1,1,515,0
043d02d4e89541cdb2c73ca0d2eca377,5b303a0f1b8c4aa4be49f74f2fc89c9e,1,1,88,0
043d02d4e89541cdb2c73ca0d2eca377,5b7be604e0a24022b6e4c88a2391e099,1,2,-6,0
043d02d4e89541cdb2c73ca0d2eca377,5bdb6e60ab5c477f9244243bacb6c984,11,11,-21,0
043d02d4e89541cdb2c73ca0d2eca377,5f4a737d4d744b21a68e7f81caaaa00c,1,1,217,0
043d02d4e89541cdb2c73ca0d2eca377,5fa68b182e974d6b82927d21dd4e4f9a,19,19,-5,0
043d02d4e89541cdb2c73ca0d2eca377,5fcfdbc511594d9fb3d368bcbc0adf84,1,2,21,0
043d02d4e89541cdb2c73ca0d2eca377,5fe15241fc4840f1a7fb294182265c39,749,1530,9,0
043d02d4e89541cdb2c73ca0d2eca377,611f718731804acf8b5f757f24bcdf64,1,1,335,0
043d02d4e89541cdb2c73ca0d2eca377,61856830155142bcaeace6aa59bd78ff,3,3,140,0
043d02d4e89541cdb2c73ca0d2eca377,66062755e4fd44e988f9260830023061,1,1,618,0
043d02d4e89541cdb2c73ca0d2eca377,66e3bd0917b64e4e96809be332b6d1a2,2,4,621,0
043d02d4e89541cdb2c73ca0d2eca377,6ac9f21a57ba4218b9e3b13a36f263be,6,6,48,0
043d02d4e89541cdb2c73ca0d2eca377,6ad12d818d9a441c87b8c41450b11f12,11,11,24,0
043d02d4e89541cdb2c73ca0d2eca377,7450b070eb784ee9a9e597d1e0880de2,1,1,-11,0
043d02d4e89541cdb2c73ca0d2eca377,797a6e6ad6a9498396d577b377aec258,1,1,336,0
043d02d4e89541cdb2c73ca0d2eca377,805062b8b4664ff098462ad506b43de9,1,1,628,0
043d02d4e89541cdb2c73ca0d2eca377,816859832b434afe828f482770a8052c,1,2,376,0
043d02d4e89541cdb2c73ca0d2eca377,8288c793632d4a81a50ef5e13bf8911c,1,1,-2,0
043d02d4e89541cdb2c73ca0d2eca377,83df58e45bca4a728eb3dcb87532e1a1,1,1,20,0
043d02d4e89541cdb2c73ca0d2eca377,84328e99640749658be2a3b14ca9c720,1,1,557,0
043d02d4e89541cdb2c73ca0d2eca377,8460c1a442324bf6a54498d85b28cfe0,1,1,66,0
043d02d4e89541cdb2c73ca0d2eca377,89f61d355af44e16ac1f9654029f89e0,9,9,52,0
043d02d4e89541cdb2c73ca0d2eca377,8a10cc79e71240fbbaef15137c988bf5,3,3,100,0
043d02d4e89541cdb2c73ca0d2eca377,8b1109f1bac740fc8974fb4eca386560,10,10,33,0
043d02d4e89541cdb2c73ca0d2eca377,8c70a939146b49cd91d826eaa1b1aaf8,1,1,116,0
043d02d4e89541cdb2c73ca0d2eca377,8f607acba97e43d5b0426a4cccc4e61f,2,2,-75,0
043d02d4e89541cdb2c73ca0d2eca377,8fa03b1b2994424a877f41676e31bb08,1,1,511,0
043d02d4e89541cdb2c73ca0d2eca377,8feb7788f1184ed2ad654a08738e6e3b,1,1,175,0
043d02d4e89541cdb2c73ca0d2eca377,900887df98e3499f8fd3ca09e1e84d3a,1,1,-39,0
043d02d4e89541cdb2c73ca0d2eca377,9269d78b31de4957afa1c5a67f81edc1,1,1,436,0
043d02d4e89541cdb2c73ca0d2eca377,98170a572e6644028150554eb5722cb4,6,6,270,0
043d02d4e89541cdb2c73ca0d2eca377,9e07d9bd17d84172858e4e2d7c7f3e4b,8,8,40,0
043d02d4e89541cdb2c73ca0d2eca377,a0fb917edc9b4d19a3459d96dd3263a8,1,1,478,0
043d02d4e89541cdb2c73ca0d2eca377,a122be78c0d543548d7ba0efee3b9203,1,1,619,0
043d02d4e89541cdb2c73ca0d2eca377,a137964dcca34365ba31a7563531e07b,27,28,-7,0
043d02d4e89541cdb2c73ca0d2eca377,a67aaef4c52642538086867a9ff4ba99,1,1,496,0
043d02d4e89541cdb2c73ca0d2eca377,a67e937f9f1941a9bb6052316e2f2fc4,5,5,-61,0
043d02d4e89541cdb2c73ca0d2eca377,aedac84ad12f487db1c88dbe3c82abde,1,1,113,0
043d02d4e89541cdb2c73ca0d2eca377,b0a012fae6fe4eb0af63473d516476b7,2,2,-4,0
043d02d4e89541cdb2c73ca0d2eca377,b10ef23438f9466882d17e3f0abd0149,29,30,-9,0
043d02d4e89541cdb2c73ca0d2eca377,b18bcca1d2984ccca2bbab4c41e85de5,1,1,-13,0
043d02d4e89541cdb2c73ca0d2eca377,b4e40f400718476dad4c66477ccb68d0,21,23,4,0
043d02d4e89541cdb2c73ca0d2eca377,b6a4f407524b40eeb08d984b32836876,2,2,19,0
043d02d4e89541cdb2c73ca0d2eca377,bd6795cfc41241159ab06425ce1bf3d7,1,1,223,0
043d02d4e89541cdb2c73ca0d2eca377,bfbf924018314d4fa3a626a8507b8d90,1,1,280,0
043d02d4e89541cdb2c73ca0d2eca377,c076a6e427c34d0c99c5bb95cbce05e5,16,16,47,0
043d02d4e89541cdb2c73ca0d2eca377,c1122deeb2054701b18e043764535747,1,1,600,0
043d02d4e89541cdb2c73ca0d2eca377,c31fb3fb9d2345daa85acc888c3a7722,1,1,625,0
043d02d4e89541cdb2c73ca0d2eca377,c3a17ced051f48f9aecf9ed2dba5040e,1,1,626,0
043d02d4e89541cdb2c73ca0d2eca377,c7a736e53c6341f684a77474fbbbe64f,1,1,269,0
043d02d4e89541cdb2c73ca0d2eca377,c8a31966713e4ef18f4f06cd4a79d374,1,1,133,0
043d02d4e89541cdb2c73ca0d2eca377,c9543052dcba40b58909ec53da262aaa,2,2,159,0
043d02d4e89541cdb2c73ca0d2eca377,c9b70711831043beafffd7e1f034a339,1,1,36,0
043d02d4e89541cdb2c73ca0d2eca377,ca856b87daac457ab8b54e03644f4264,76,80,5,0
043d02d4e89541cdb2c73ca0d2eca377,cd8f0da1ce0040ce994e2bf3c1a061fa,2,2,218,0
043d02d4e89541cdb2c73ca0d2eca377,d1651d2f65e9428693a519450d5f321f,1,1,237,0
043d02d4e89541cdb2c73ca0d2eca377,d1676d2cecee4010a1bfe838e2e963e0,1,1,590,0
043d02d4e89541cdb2c73ca0d2eca377,d42aec80f3c1448680ab4dc52e06d244,1,1,614,0
043d02d4e89541cdb2c73ca0d2eca377,d457def4b5744eda84b61b030ba37c4d,2,2,11,0
043d02d4e89541cdb2c73ca0d2eca377,d4f85f1570bf4ced82ef64cab4fa68f4,24,25,3,0
043d02d4e89541cdb2c73ca0d2eca377,d538c2a9c6004cc3b62a2514ff7d24f5,20,21,-76,0
043d02d4e89541cdb2c73ca0d2eca377,d59550403f9b49628189ff34f74d3b3d,46,50,7,0
043d02d4e89541cdb2c73ca0d2eca377,d5d74cf927094b04951635356b2c61a0,2,2,34,0
043d02d4e89541cdb2c73ca0d2eca377,d8a02e7515a74c9998f997f6df75771d,1,3,271,0
043d02d4e89541cdb2c73ca0d2eca377,d96704d24a68401eaad4628b30fdb889,4,4,50,0
043d02d4e89541cdb2c73ca0d2eca377,d9dd2a4989284d94b66c5a100745f102,1,1,362,0
043d02d4e89541cdb2c73ca0d2eca377,dd2e225706cb4e44a7fef817b25fc695,1,2,603,0
043d02d4e89541cdb2c73ca0d2eca377,de6931cbf03f4c25a93022f69f40e59d,1,1,318,0
043d02d4e89541cdb2c73ca0d2eca377,deead91c4b084361847e1f6596966bb8,2,2,92,0
043d02d4e89541cdb2c73ca0d2eca377,e0c99d2be84f4d4caf2352d0f048c0ce,1,1,181,0
043d02d4e89541cdb2c73ca0d2eca377,ea676035d8d84252b7c2c117a74dfe5d,4,4,-74,0
043d02d4e89541cdb2c73ca0d2eca377,ec173897e6254e50812116be2dc37a94,1,1,61,0
043d02d4e89541cdb2c73ca0d2eca377,efad98624b054b5fbe2cc340e3df324d,4,4,157,0
043d02d4e89541cdb2c73ca0d2eca377,f06cfae5902b4db099f1844f9dcad801,1,1,278,0
043d02d4e89541cdb2c73ca0d2eca377,f0d9ed3b227a456f85ef40f79f56e546,17,18,6,0
043d02d4e89541cdb2c73ca0d2eca377,f3cfda7ffa804facb0183da6497283a6,283,294,10,0
043d02d4e89541cdb2c73ca0d2eca377,f5a6533820e946beacbefa8eb7a9c063,2,3,379,0
043d02d4e89541cdb2c73ca0d2eca377,fc68686f026f4a1c8b21f5339ac0044c,1,1,25,0
043d02d4e89541cdb2c73ca0d2eca377,fd91554a3bf54ebdbf6ea67124fbd06c,1,1,627,0
04d85100616943f8a3d2b084f403ba5f,043d02d4e89541cdb2c73ca0d2eca377,2,2,77,0
04d85100616943f8a3d2b084f403ba5f,04d85100616943f8a3d2b084f403ba5f,460,610,0,1
04d85100616943f8a3d2b084f403ba5f,0704a9032b0b4dfebc92a428247b2a14,3,6,452,0
04d85100616943f8a3d2b084f403ba5f,0d05ee4b348f479293d6143d99f9cf17,1,1,679,0
04d85100616943f8a3d2b084f403ba5f,0e9814b3e2a94eddae75b154afe501f3,1,4,697,0
04d85100616943f8a3d2b084f403ba5f,151ff258d4a74e6dbe9efde0ce31b457,1,1,184,0
04d85100616943f8a3d2b084f403ba5f,1afa468dc7ce4b91a590366c2a697707,2,2,93,0
04d85100616943f8a3d2b084f403ba5f,1b1d901e57774ed4aac7ad952c9bb03d,1,1,35,0
04d85100616943f8a3d2b084f403ba5f,1c264c5f7377466b9165af2037ec7924,1,1,694,0
04d85100616943f8a3d2b084f403ba5f,1dc93dd0b4a4496884b7a642e928e9d2,1,1,713,0
04d85100616943f8a3d2b084f403ba5f,1ed230eb23af43aab786739fdd13ea89,1,1,228,0
04d85100616943f8a3d2b084f403ba5f,1f5002403e13485da7e7b1f5896e81ee,1,1,203,0
04d85100616943f8a3d2b084f403ba5f,2060d250adb14c9eb7e7957c563678f0,1,1,62,0
04d85100616943f8a3d2b084f403ba5f,20c18c18d1424607bd03030afc0dabc9,1,1,58,0
04d85100616943f8a3d2b084f403ba5f,2126522cd4b94bd68b2999261978d881,1,1,145,0
04d85100616943f8a3d2b084f403ba5f,27bf430c96cb4d8da7368c4697de187b,49,54,-3,0
04d85100616943f8a3d2b084f403ba5f,284121c6292646548b8d11d26466f6b1,1,1,668,0
04d85100616943f8a3d2b084f403ba5f,2ad839c226ab44539d98e2a1e84e439f,6,6,123,0
04d85100616943f8a3d2b084f403ba5f,2bbb47defdd44b6e95be6aff50d550d1,3,3,344,0
04d85100616943f8a3d2b084f403ba5f,2bd1769f30ce460b8cf38f3b71207d38,12,13,63,0
04d85100616943f8a3d2b084f403ba5f,2c91f40c1d484adbbe41b43c1dd57fce,2,2,61,0
04d85100616943f8a3d2b084f403ba5f,2f6febb9f2514c06827aa6a4bfe1e69d,3,3,6,0
04d85100616943f8a3d2b084f403ba5f,30aea0ab9d50468387ce90b94ce24b88,1,1,264,0
04d85100616943f8a3d2b084f403ba5f,3763b9f526ae44f2ac2ac49749c15661,2,2,67,0
04d85100616943f8a3d2b084f403ba5f,401ee1f6f3684be7b6124490f34adc5a,7,7,-4,0
04d85100616943f8a3d2b084f403ba5f,4278a11746804def8e613a8a8da29a7c,1,2,168,0
04d85100616943f8a3d2b084f403ba5f,4454aaa65b6d49ca89add710ba15514e,1,1,197,0
04d85100616943f8a3d2b084f403ba5f,44a09f185c624f388d29e488f28999d2,1,1,191,0
04d85100616943f8a3d2b084f403ba5f,49bc2f8db38b47f9b378f26dde2a6e64,1,1,131,0
04d85100616943f8a3d2b084f403ba5f,4e7f6237dba14b9cabab572a9032820e,1,1,440,0
04d85100616943f8a3d2b084f403ba5f,504d2512a7124c439fd2861dbf720058,2,2,700,0
04d85100616943f8a3d2b084f403ba5f,50d4b24c0dfd4452a253ac7a61291669,1,1,543,0
04d85100616943f8a3d2b084f403ba5f,53e13f644d1f4c73ba7f5bfd8020e71f,1,1,5,0
04d85100616943f8a3d2b084f403ba5f,54ce11d3d7d146868c49330c5988da72,1,1,89,0
04d85100616943f8a3d2b084f403ba5f,5bdb6e60ab5c477f9244243bacb6c984,4,4,56,0
04d85100616943f8a3d2b084f403ba5f,5fe15241fc4840f1a7fb294182265c39,4,4,86,0
04d85100616943f8a3d2b084f403ba5f,60fdad9fc19541e3b135991de184af75,1,1,341,0
04d85100616943f8a3d2b084f403ba5f,664871c85f90481e8ce08ed81e13204f,1,1,256,0
04d85100616943f8a3d2b084f403ba5f,66e3bd0917b64e4e96809be332b6d1a2,2,3,698,0
04d85100616943f8a3d2b084f403ba5f,6dfd127f3e874ed3912d3372db0b3d35,1,1,115,0
04d85100616943f8a3d2b084f403ba5f,744dad1a12a449ebbfc22c507e1e0e1f,1,1,701,0
04d85100616943f8a3d2b084f403ba5f,7d262be6d9b74836b47447db1b70289d,1,1,748,0
04d85100616943f8a3d2b084f403ba5f,805062b8b4664ff098462ad506b43de9,1,1,705,0
04d85100616943f8a3d2b084f403ba5f,89f61d355af44e16ac1f9654029f89e0,2,2,129,0
04d85100616943f8a3d2b084f403ba5f,8f607acba97e43d5b0426a4cccc4e61f,11,11,2,0
04d85100616943f8a3d2b084f403ba5f,9b9fc7fd30954d7d9ad7d8f8e1cc11d8,444,511,-1,0
04d85100616943f8a3d2b084f403ba5f,9e07d9bd17d84172858e4e2d7c7f3e4b,2,2,117,0
04d85100616943f8a3d2b084f403ba5f,a122be78c0d543548d7ba0efee3b9203,1,1,696,0
04d85100616943f8a3d2b084f403ba5f,a653f4a798964771b51fbc7cb8a7a276,1,1,411,0
04d85100616943f8a3d2b084f403ba5f,abd495a6f2e348afae1693f8b5b81259,1,1,568,0
04d85100616943f8a3d2b084f403ba5f,ac3ba61065f84433a945ac8c71b537f4,1,1,139,0
04d85100616943f8a3d2b084f403ba5f,b18bcca1d2984ccca2bbab4c41e85de5,2,2,64,0
04d85100616943f8a3d2b084f403ba5f,b47999fa192a4c07897ef0655c1f458f,1,1,167,0
04d85100616943f8a3d2b084f403ba5f,c076a6e427c34d0c99c5bb95cbce05e5,7,7,124,0
04d85100616943f8a3d2b084f403ba5f,c8a31966713e4ef18f4f06cd4a79d374,1,1,210,0
04d85100616943f8a3d2b084f403ba5f,c9543052dcba40b58909ec53da262aaa,1,1,236,0
04d85100616943f8a3d2b084f403ba5f,ca8aac0be163430e8baaad776c32ddd2,1,1,421,0
04d85100616943f8a3d2b084f403ba5f,d1676d2cecee4010a1bfe838e2e963e0,2,2,667,0
04d85100616943f8a3d2b084f403ba5f,d538c2a9c6004cc3b62a2514ff7d24f5,902,1330,1,0
04d85100616943f8a3d2b084f403ba5f,d8a02e7515a74c9998f997f6df75771d,1,1,348,0
04d85100616943f8a3d2b084f403ba5f,d96704d24a68401eaad4628b30fdb889,2,2,127,0
04d85100616943f8a3d2b084f403ba5f,ea676035d8d84252b7c2c117a74dfe5d,109,111,3,0
04d85100616943f8a3d2b084f403ba5f,efad98624b054b5fbe2cc340e3df324d,1,1,234,0
04d85100616943f8a3d2b084f403ba5f,f261241e0f5c429bba37335f9c8a71e0,1,1,345,0
04d85100616943f8a3d2b084f403ba5f,fd55de7129e347ba9c4463f56efa7bcf,1,2,628,0
04d85100616943f8a3d2b084f403ba5f,fdccb644786547c5893474584cdfd58b,2,2,4,0
04d85100616943f8a3d2b084f403ba5f,fee22a2f9dfa4fc5abd8a82aa14880ab,1,1,659,0
0552f7dc52d14cf5b15daed9c4229342,0552f7dc52d14cf5b15daed9c4229342,22,26,0,1
0552f7dc52d14cf5b15daed9c4229342,05800c2e685141ecb48fe59b499d84b6,1,1,176,0
0552f7dc52d14cf5b15daed9c4229342,0704a9032b0b4dfebc92a428247b2a14,10,10,269,0
0552f7dc52d14cf5b15daed9c4229342,0b8e4be0cef9409cabbce305b9eb4e11,2,2,191,0
0552f7dc52d14cf5b15daed9c4229342,0cd55e8d087d4dd7b4abe0c9eeb53ee9,271,439,-3,0
0552f7dc52d14cf5b15daed9c4229342,0e3c2d8cac1e44af8bd7fabc48f8d079,8,8,26,0
0552f7dc52d14cf5b15daed9c4229342,0fc9573794ea433ca88f5be6758b560e,1,1,11,0
0552f7dc52d14cf5b15daed9c4229342,134da9dee6614b159e933f632fc9246b,1,1,532,0
0552f7dc52d14cf5b15daed9c4229342,151ff258d4a74e6dbe9efde0ce31b457,865,1706,1,0
0552f7dc52d14cf5b15daed9c4229342,1c264c5f7377466b9165af2037ec7924,1,1,511,0
0552f7dc52d14cf5b15daed9c4229342,1f5002403e13485da7e7b1f5896e81ee,4,4,20,0
0552f7dc52d14cf5b15daed9c4229342,2126522cd4b94bd68b2999261978d881,4,4,-38,0
0552f7dc52d14cf5b15daed9c4229342,26772bf1f08f4f96ab44e6007c4c6976,7,7,-25,0
0552f7dc52d14cf5b15daed9c4229342,276eb91bb71649698c5d0281235cbd59,2,2,23,0
0552f7dc52d14cf5b15daed9c4229342,2a07f16983744ee4b619e6822558732e,16,16,4,0
0552f7dc52d14cf5b15daed9c4229342,2bbb47defdd44b6e95be6aff50d550d1,8,8,161,0
0552f7dc52d14cf5b15daed9c4229342,2bd1769f30ce460b8cf38f3b71207d38,1,1,-120,0
0552f7dc52d14cf5b15daed9c4229342,2f6febb9f2514c06827aa6a4bfe1e69d,1,1,-177,0
0552f7dc52d14cf5b15daed9c4229342,334c250757224648b03c5fcdc8ab25b4,5,5,-32,0
