"mod_hex_id","courseID","module.type","desc","L2","L2label","L1","L1label","order","unq_stu","sessions","days","events","totalTime","progress_i","recurse_i","forward_o","backward_o","sl","attempts","points","loads","load_time","plays","play_time","pauses","pause_time","seeks","seek_time","user_id"
"401ee1f6f3684be7b6124490f34adc5a","MITxPRO+AMxB+1T2018","html",NA,"5589ca87f02147ec8452cead30cc4d5f","Entrance Survey (5 min, required)","b9dd2cb6d3a44e96aedb515388e02405","Entrance Survey (5 min, required)",5,1,1,1,2,7.18333333333334,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"27bf430c96cb4d8da7368c4697de187b","MITxPRO+AMxB+1T2018","html",NA,"a43d4c2220e245c5bb6ef4649f6813e5","Pre-Assessment (10 min, required)","3237e864a8b44a14b443a0f0a2067c83","Pre-Assessment (10 min, required)",9,1,1,1,2,5,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"0fec97a46b71456d9d9037e5edac7bb0","MITxPRO+AMxB+1T2018","html",NA,"a43d4c2220e245c5bb6ef4649f6813e5","Pre-Assessment (10 min, required)","3237e864a8b44a14b443a0f0a2067c83","Pre-Assessment (10 min, required)",10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"9b9fc7fd30954d7d9ad7d8f8e1cc11d8","MITxPRO+AMxB+1T2018","problem","Confirmation","a43d4c2220e245c5bb6ef4649f6813e5","Pre-Assessment (10 min, required)","3237e864a8b44a14b443a0f0a2067c83","Pre-Assessment (10 min, required)",12,1,1,1,6,2.48333333333333,2,4,2,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"04d85100616943f8a3d2b084f403ba5f","MITxPRO+AMxB+1T2018","html",NA,"b4100fe285a442a2ba6de2e94b28642b","Welcome (1 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",16,1,1,1,2,0,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"d538c2a9c6004cc3b62a2514ff7d24f5","MITxPRO+AMxB+1T2018","html",NA,"86f2c3ccbdbd4c6fae404600dd5b1c31","Course Schedule (3 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",19,1,1,1,3,2.16666666666666,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"8f607acba97e43d5b0426a4cccc4e61f","MITxPRO+AMxB+1T2018","html",NA,"86f2c3ccbdbd4c6fae404600dd5b1c31","Course Schedule (3 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",20,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"ea676035d8d84252b7c2c117a74dfe5d","MITxPRO+AMxB+1T2018","html",NA,"83e51ce161474919a8f63ddbb2279e31","Discussion Forum (5 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",23,1,3,3,10,31.8416666666666,1,9,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"fdccb644786547c5893474584cdfd58b","MITxPRO+AMxB+1T2018","html",NA,"83e51ce161474919a8f63ddbb2279e31","Discussion Forum (5 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",25,1,1,1,4,1.23333333333333,2,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"53e13f644d1f4c73ba7f5bfd8020e71f","MITxPRO+AMxB+1T2018","html","IFrame Tool","bb160d0fff2641898a874eff3944d2b9","Who's in the Course (2 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",28,1,1,1,5,22,3,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"2f6febb9f2514c06827aa6a4bfe1e69d","MITxPRO+AMxB+1T2018","html",NA,"3c6dc4f66afe4ccfa9f314023a14e19e","Who's Teaching This Course (5 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",31,1,3,2,13,3.55,2,11,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"44acee2074d5456593cfdab9b680dcab","MITxPRO+AMxB+1T2018","html","Text","3c6dc4f66afe4ccfa9f314023a14e19e","Who's Teaching This Course (5 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",32,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
"7e3aba021b714e3180b14422eaf7cacb","MITxPRO+AMxB+1T2018","html","Text","3c6dc4f66afe4ccfa9f314023a14e19e","Who's Teaching This Course (5 min)","3e2b8f40ac004d56a2e85e503e0e635b","Get Started (25 min)",33,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a966666"
