cluster.id,user.id,is.exemplar
0,a880017,0
1,a307221,0
2,a287260,0
1,a254189,0
0,a777932,0
0,a797381,0
1,a746533,0
1,a709562,0
0,a847233,0
0,a870947,0
0,a467405,0
0,a905459,0
0,a766819,0
0,a219050,0
0,a213523,0
0,a296907,0
3,a213442,0
0,a318973,0
0,a784632,0
2,a158776,0
0,a859373,0
0,a899115,0
3,a965175,0
2,a838363,0
3,a261660,0
3,a250521,0
2,a132221,0
0,a363982,0
1,a102526,0
2,a222057,0
0,a527336,0
0,a938185,0
1,a786398,0
1,a907027,0
0,a586728,0
3,a771849,0
2,a799054,0
3,a700256,0
0,a759147,0
0,a813400,0
3,a693807,0
2,a627042,0
1,a772967,0
3,a119126,0
0,a419809,0
0,a198939,0
0,a911185,0
0,a515243,0
1,a200065,0
0,a676155,0
3,a248494,0
0,a147672,0
1,a967265,0
0,a635294,0
0,a714593,0
3,a601840,0
3,a962173,0
1,a475226,0
0,a950599,0
3,a601756,0
0,a980965,0
0,a211742,0
0,a627085,0
0,a403457,0
1,a196485,0
0,a266176,0
0,a110635,0
1,a431011,0
1,a773026,0
2,a553753,0
3,a568014,0
1,a581433,0
0,a387451,0
0,a689670,0
0,a172005,0
1,a250034,0
1,a199888,0
1,a165764,0
2,a591341,0
0,a913885,0
1,a153441,0
0,a413311,0
0,a204699,0
3,a559832,0
0,a893329,0
2,a100467,0
3,a834391,0
3,a757778,0
1,a280509,0
1,a115086,0
1,a644328,0
0,a292904,0
0,a993847,0
0,a307203,0
0,a520629,0
0,a729272,0
1,a795042,0
3,a634552,0
2,a566257,0
3,a938791,0
3,a319645,0
0,a830549,0
0,a671736,0
0,a113396,0
0,a669682,0
3,a947602,0
1,a752493,0
0,a923229,0
3,a462500,0
0,a767999,0
3,a257737,0
3,a900051,0
1,a902990,0
1,a130874,0
2,a499654,0
2,a610476,0
3,a939512,0
0,a495860,0
1,a957868,0
2,a996531,0
1,a958661,0
3,a326896,0
3,a339318,0
0,a128289,0
1,a707961,0
1,a166462,0
0,a500246,0
0,a683127,0
0,a710711,0
0,a536554,0
1,a703525,0
3,a107289,0
3,a665824,0
0,a147751,0
1,a817236,0
0,a196610,0
3,a100932,0
1,a331416,0
0,a532715,0
2,a369492,0
0,a685212,0
1,a515596,0
1,a756553,0
1,a370204,0
2,a572523,0
0,a714436,0
0,a684155,1
0,a590341,0
1,a581024,0
0,a358929,0
0,a298814,0
1,a331684,0
1,a709966,0
0,a898244,0
0,a818742,0
0,a334094,0
2,a188448,0
0,a801100,0
1,a355740,0
1,a876572,0
0,a116261,0
2,a325056,0
2,a388674,0
1,a448397,0
1,a907084,0
0,a845347,0
1,a568914,0
1,a236131,0
1,a140847,0
0,a686767,0
0,a117596,0
1,a747164,0
2,a814112,0
2,a844904,0
0,a527900,0
2,a841238,0
0,a327839,0
3,a167448,0
0,a136921,0
0,a791319,0
0,a500668,0
1,a338703,0
3,a747653,0
2,a705854,0
1,a313261,0
0,a284377,0
0,a911466,0
0,a724433,0
0,a557384,0
0,a979118,0
3,a845948,0
2,a286916,0
3,a228608,0
3,a439214,0
1,a606534,0
1,a588912,0
1,a123469,0
2,a819352,0
3,a219062,0
0,a943184,0
0,a373755,0
3,a460013,0
1,a221027,0
3,a893416,0
0,a319383,0
0,a738537,0
2,a402862,0
2,a495077,0
0,a413827,0
1,a985407,0
3,a489196,0
0,a391454,0
2,a183773,0
0,a834318,0
3,a433201,0
0,a667324,0
2,a813145,0
2,a118355,0
0,a730225,0
2,a551478,0
1,a530145,0
1,a248527,0
0,a802745,0
0,a580263,0
2,a979440,0
1,a380323,0
0,a847253,0
3,a793157,0
2,a771314,0
0,a543024,0
2,a431571,0
1,a942044,0
0,a941514,0
3,a483925,0
0,a777757,0
3,a361753,0
0,a785167,0
0,a386426,0
0,a742225,0
0,a248253,0
0,a405030,0
0,a305209,0
0,a820378,0
0,a824037,0
1,a685843,0
0,a677022,0
3,a987702,0
0,a911091,0
2,a187852,0
3,a548541,0
3,a824498,0
3,a475895,0
0,a632012,0
2,a568028,0
0,a111731,0
2,a629621,0
3,a758837,0
3,a695055,0
0,a879535,0
0,a302604,0
3,a629148,0
0,a398369,0
1,a596641,0
2,a768063,0
0,a779194,0
0,a931946,0
0,a801536,0
3,a762070,0
3,a852549,0
3,a562563,0
3,a870807,0
0,a174827,0
0,a613527,0
3,a727927,0
1,a485284,0
3,a468197,0
1,a125925,0
1,a341512,0
1,a173853,0
1,a760389,0
2,a798047,0
2,a194423,0
0,a298027,0
0,a149039,0
3,a981240,0
1,a394985,0
2,a515153,0
2,a173658,0
1,a251220,0
0,a329153,0
2,a162786,0
0,a269711,0
3,a721360,0
0,a171414,0
0,a582049,0
0,a815910,0
0,a386415,0
1,a568897,0
3,a951227,0
1,a711382,0
0,a256319,0
1,a535022,0
0,a716130,0
1,a449909,0
0,a152956,0
3,a253955,0
3,a657072,0
3,a290819,0
2,a613948,0
1,a279439,0
3,a778255,0
0,a249578,0
0,a962637,0
0,a194198,0
0,a486564,0
2,a842374,0
0,a889015,0
0,a894616,0
3,a355770,0
0,a299603,0
0,a458877,0
0,a650594,0
2,a557238,0
1,a944683,0
2,a228366,0
0,a603643,0
0,a611910,0
0,a281900,0
3,a829847,0
2,a157453,0
3,a903097,0
3,a124512,0
2,a173198,0
0,a845246,0
2,a473003,0
0,a150796,0
1,a451551,0
3,a689580,0
2,a751622,0
0,a668657,0
0,a678282,0
3,a756042,0
1,a932188,0
3,a577033,0
2,a389720,0
2,a563791,0
2,a470203,0
2,a613284,0
3,a755309,0
3,a297819,0
1,a445090,0
0,a489814,0
0,a955224,0
3,a550906,0
3,a635665,0
0,a181383,0
2,a480483,0
2,a765151,0
2,a596084,0
2,a211649,0
0,a820888,0
2,a989276,0
3,a732059,0
0,a667600,0
1,a799328,0
2,a705050,0
0,a920285,0
3,a858138,0
0,a151642,0
2,a674160,0
0,a874686,0
2,a639694,0
0,a632161,0
3,a413885,0
0,a768740,0
0,a246145,0
0,a145782,0
2,a455259,0
2,a837840,0
0,a264374,0
3,a985488,0
2,a880648,0
0,a717742,0
0,a171542,0
