id,x,y,courseID,mod_type,order,stds,count,chpModLabel,seqModLabel,In-Degree,Out-Degree,Degree,name
None,1591.1262f,1043.7539f,MITxPRO+AMxB+1T2018,None,0,930,0,Dj,dj,0,0,0,None
401ee1f6f3684be7b6124490f34adc5a,1594.1262f,1048.7539f,MITxPRO+AMxB+1T2018,html,1,907,2300,"Entrance Survey (5 min, required)",Entrance Survey-Html,16,14,30,401ee1f6f3684be7b6124490f34adc5a
27bf430c96cb4d8da7368c4697de187b,1580.7435f,1018.63403f,MITxPRO+AMxB+1T2018,html,2,922,1853,"Pre-Assessment (10 min, required)",Pre-Assessment-Html,10,8,18,27bf430c96cb4d8da7368c4697de187b
0fec97a46b71456d9d9037e5edac7bb0,1598.8334f,1135.2795f,MITxPRO+AMxB+1T2018,html,3,26,29,"Pre-Assessment (10 min, required)",Pre-Assessment-Html,2,2,4,0fec97a46b71456d9d9037e5edac7bb0
9b9fc7fd30954d7d9ad7d8f8e1cc11d8,1549.503f,1036.6296f,MITxPRO+AMxB+1T2018,problem,4,930,5195,"Pre-Assessment (10 min, required)",Pre-Assessment Completion Confirmation,5,7,12,9b9fc7fd30954d7d9ad7d8f8e1cc11d8
04d85100616943f8a3d2b084f403ba5f,1505.2043f,1015.3352f,MITxPRO+AMxB+1T2018,html,5,928,2750,Get Started (25 min),Welcome-Html,19,14,33,04d85100616943f8a3d2b084f403ba5f
d538c2a9c6004cc3b62a2514ff7d24f5,1428.7627f,978.5307f,MITxPRO+AMxB+1T2018,html,6,925,5165,Get Started (25 min),Schedule-Html,109,97,206,d538c2a9c6004cc3b62a2514ff7d24f5
8f607acba97e43d5b0426a4cccc4e61f,1457.319f,1055.2164f,MITxPRO+AMxB+1T2018,html,7,84,113,Get Started (25 min),Schedule-Html,4,3,7,8f607acba97e43d5b0426a4cccc4e61f
ea676035d8d84252b7c2c117a74dfe5d,1362.5731f,1000.16626f,MITxPRO+AMxB+1T2018,html,8,916,2314,Get Started (25 min),Discussion Forum-Html,13,18,31,ea676035d8d84252b7c2c117a74dfe5d
fdccb644786547c5893474584cdfd58b,1323.4915f,1011.3355f,MITxPRO+AMxB+1T2018,html,9,913,2523,Get Started (25 min),Discussion Etiquette-Html,5,6,11,fdccb644786547c5893474584cdfd58b
53e13f644d1f4c73ba7f5bfd8020e71f,1291.6849f,1022.1271f,MITxPRO+AMxB+1T2018,html,10,915,2664,Get Started (25 min),Tell Us About Yourself-IFrame Tool,8,11,19,53e13f644d1f4c73ba7f5bfd8020e71f
2f6febb9f2514c06827aa6a4bfe1e69d,1252.2881f,1039.4254f,MITxPRO+AMxB+1T2018,html,11,915,2955,Get Started (25 min),MIT Instructors-Html,49,17,66,2f6febb9f2514c06827aa6a4bfe1e69d
44acee2074d5456593cfdab9b680dcab,890.0381f,1091.7378f,MITxPRO+AMxB+1T2018,html,12,7,8,Get Started (25 min),MIT Instructors-Html,1,1,2,44acee2074d5456593cfdab9b680dcab
7e3aba021b714e3180b14422eaf7cacb,-747.6559f,2164.5066f,MITxPRO+AMxB+1T2018,html,13,3,3,Get Started (25 min),MIT Instructors-Html,0,0,0,7e3aba021b714e3180b14422eaf7cacb
f17dc8f749c043d78ae4dfe383e55009,-2062.1084f,318.38113f,MITxPRO+AMxB+1T2018,html,14,3,4,Get Started (25 min),MIT Instructors-Html,0,0,0,f17dc8f749c043d78ae4dfe383e55009
a0077e8aad874abba1a1ec5c20ca947b,-2012.4753f,-854.1555f,MITxPRO+AMxB+1T2018,html,15,1,1,Get Started (25 min),MIT Instructors-Html,0,0,0,a0077e8aad874abba1a1ec5c20ca947b
7bb3394632054742b3fff216a77b015e,-734.5486f,2197.8376f,MITxPRO+AMxB+1T2018,html,16,4,4,Get Started (25 min),MIT Instructors-Html,0,0,0,7bb3394632054742b3fff216a77b015e
08823b78df0e4a3eb4c35cb2b838dee3,-1895.0978f,-493.4822f,MITxPRO+AMxB+1T2018,html,17,2,2,Get Started (25 min),MIT Instructors-Html,0,0,0,08823b78df0e4a3eb4c35cb2b838dee3
c3c0f88fff1f4523b144a41a6c2dbcd6,-689.00635f,-2127.295f,MITxPRO+AMxB+1T2018,html,18,1,1,Get Started (25 min),MIT Instructors-Html,0,0,0,c3c0f88fff1f4523b144a41a6c2dbcd6
3cce707300cc4bb99e13edcd32209318,2150.6782f,500.75342f,MITxPRO+AMxB+1T2018,html,19,5,6,Get Started (25 min),MIT Instructors-Html,0,0,0,3cce707300cc4bb99e13edcd32209318
089719b517f043f5b39636578e7ee001,1340.1127f,702.4627f,MITxPRO+AMxB+1T2018,html,20,24,44,Get Started (25 min),MIT Instructors-Html,3,3,6,089719b517f043f5b39636578e7ee001
a67e937f9f1941a9bb6052316e2f2fc4,1212.0731f,1051.4388f,MITxPRO+AMxB+1T2018,html,21,913,2394,Get Started (25 min),MIT Course Assistants-Html,13,12,25,a67e937f9f1941a9bb6052316e2f2fc4
2349ef7ca9ce436caad6190a30656821,-2175.0642f,132.66176f,MITxPRO+AMxB+1T2018,html,22,3,4,Get Started (25 min),MIT Course Assistants-Html,0,0,0,2349ef7ca9ce436caad6190a30656821
5e49b3b1846c46a188f097e6520c706a,-1931.389f,1561.192f,MITxPRO+AMxB+1T2018,html,23,0,0,Get Started (25 min),MIT Course Assistants-Html,0,0,0,5e49b3b1846c46a188f097e6520c706a
2a112bc1a1e048129e8e68e170e39248,-2181.5466f,153.2446f,MITxPRO+AMxB+1T2018,html,24,3,4,Get Started (25 min),MIT Course Assistants-Html,0,0,0,2a112bc1a1e048129e8e68e170e39248
